wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
6760.818,4.389,-4.047,c5D,7P*,31,0,c5D,none,c,x,label,label-absent->energy-route-disabled,False
6767.516,3.449,-4.037,b3G,z5G*,16,48,b3G,z5G*,c,c,label,label,True
6769.109,4.855,-2.43,b1G,v3G*,41,121,b1G,v3G*,c,c,label,label,True
6770.872,4.446,-5.184,c3F,u5D*,32,99,c3F,u5D*,c,c,label,label,True
6771.702,4.402,-3.155,c5D,w3D*,31,98,c5D,w3D*,c,c,label,label,True
6774.123,3.41,-2.181,z7D*,e7D,15,46,z7D*,e7D,c,c,label,label,True
6774.324,4.447,-4.636,b3H,u5D*,33,99,b3H,u5D*,c,c,label,label,True
6774.657,3.887,-3.031,a5F,y3D*,23,63,a5F,y3D*,c,c,label,label,True
6775.168,3.41,-2.253,z7D*,e7D,15,46,z7D*,e7D,c,c,label,label,True
6775.949,3.41,-2.649,z7D*,e7D,15,46,z7D*,e7D,c,c,label,label,True
6775.976,3.888,-2.649,a5F,y3D*,23,63,a5F,y3D*,c,c,label,label,True
6779.626,4.096,-4.37,b3F,v5D*,26,76,b3F,v5D*,c,c,label,label,True
6780.143,4.186,-1.755,z3P*,f5D,30,84,z3P*,f5D,c,c,label,label,True
6780.16,3.889,-4.123,a5F,y3D*,23,63,a5F,y3D*,c,c,label,label,True
6780.638,4.44,-4.64,c3F,u5D*,32,99,c3F,u5D*,c,c,label,label,True
6787.52,3.887,-3.442,a5F,w5D*,23,64,a5F,w5D*,c,c,label,label,True
6789.092,4.099,-4.09,b3F,v5D*,26,76,b3F,v5D*,c,c,label,label,True
6789.161,3.845,-1.665,b3D,y3P*,20,60,b3D,y3P*,c,c,label,label,True
6789.463,3.887,-2.368,a5F,y3D*,23,63,a5F,y3D*,c,c,label,label,True
6790.788,3.888,-3.102,a5F,y3D*,23,63,a5F,y3D*,c,c,label,label,True
6792.62,3.966,-5.004,a1G,w5F*,24,65,a1G,w5F*,c,c,label,label,True
6792.717,2.708,-13.22,a5P,d3F*,5,0,a5P,none,c,x,label,label-absent->energy-route-disabled,False
6792.717,2.708,-13.07,a5P,d3F*,5,0,a5P,none,c,x,label,label-absent->energy-route-disabled,False
6796.515,4.402,-0.711,c5D,s5F*,31,96,c5D,s5F*,c,c,label,label,True
6798.065,3.847,-1.91,b3D,y3P*,20,60,b3D,y3P*,c,c,label,label,True
6800.165,2.71,-12.84,a5P,d3F*,5,0,a5P,none,c,x,label,label-absent->energy-route-disabled,False
6800.165,2.71,-12.35,a5P,d3F*,5,0,a5P,none,c,x,label,label-absent->energy-route-disabled,False
6800.274,4.207,-2.344,c3D,3F*,29,0,c3D,none,c,x,label,label-absent->energy-route-disabled,False
6800.311,4.106,-4.354,b3F,v5D*,26,76,b3F,v5D*,c,c,label,label,True
6800.326,3.966,-7.194,a1G,w5F*,24,65,a1G,w5F*,c,c,label,label,True
6800.556,4.208,-2.5,c3D,3F*,29,0,c3D,none,c,x,label,label-absent->energy-route-disabled,False
6802.788,4.402,-2.698,c5D,7P*,31,0,c5D,none,c,x,label,label-absent->energy-route-disabled,False
6803.383,4.446,-4.138,c3F,u5D*,32,99,c3F,u5D*,c,c,label,label,True
6803.705,3.889,-3.965,a5F,y3F*,23,62,a5F,y3F*,c,c,label,label,True
6803.847,3.849,-7.509,a3I,y5H*,21,59,a3I,y5H*,c,c,label,label,True
6804.429,3.85,-6.867,a3I,y5H*,21,59,a3I,y5H*,c,c,label,label,True
6805.029,3.847,-1.943,b3D,y3P*,20,60,b3D,y3P*,c,c,label,label,True
6807.55,3.85,-2.843,b3D,y3P*,20,60,b3D,y3P*,c,c,label,label,True
6808.802,4.402,-3.436,c5D,w3D*,31,98,c5D,w3D*,c,c,label,label,True
6808.878,4.186,-2.933,b1I,y3H*,28,80,b1I,y3H*,c,c,label,label,True
6809.883,4.106,-5.014,b3F,x5H*,26,77,b3F,x5H*,c,c,label,label,True
6809.956,3.89,-3.61,a5F,y3F*,23,62,a5F,y3F*,c,c,label,label,True
6811.059,3.839,-9.282,z5F*,f7S,22,58,z5F*,f7S,c,c,label,label,True
6813.001,3.85,-2.326,b3D,y3P*,20,60,b3D,y3P*,c,c,label,label,True
6813.223,4.449,-4.126,b3H,u5D*,33,99,b3H,u5D*,c,c,label,label,True
6813.908,3.648,-3.783,y5P*,e5D,19,51,y5P*,e5D,c,c,label,label,True
6814.534,3.85,-2.229,b3D,y3P*,20,60,b3D,y3P*,c,c,label,label,True
6815.627,3.648,-3.489,y5P*,e5D,19,51,y5P*,e5D,c,c,label,label,True
6818.866,4.203,-1.873,z3P*,f5D,30,84,z3P*,f5D,c,c,label,label,True
6819.338,3.648,-3.766,y5P*,e5D,19,51,y5P*,e5D,c,c,label,label,True
6819.493,3.568,-9.36,2D2,2F*,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
6819.694,3.849,-3.837,a3I,y5H*,21,59,a3I,y5H*,c,c,label,label,True
