wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
4729.793,11.788,-5.974,4D*,6G,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
4729.852,11.667,-2.024,x6D*,6D,269,0,x6D*,none,c,x,label,label-absent->energy-route-disabled,False
4729.87,11.933,-8.19,y2S*,4P,273,0,y2S*,none,c,x,label,label-absent->energy-route-disabled,False
4729.97,8.063,-2.954,z2S*,e4S,194,240,z2S*,e4S,c,c,label,label,True
4730.169,11.81,-4.176,4D*,6P,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
4730.279,11.076,-4.225,e4P,4F*,249,0,e4P,none,c,x,label,label-absent->energy-route-disabled,False
4736.999,4.156,-2.872,b4G,z4D*,162,186,b4G,z4D*,c,c,label,label,True
4740.182,10.726,-5.212,v2D*,4D,241,0,v2D*,none,c,x,label,label-absent->energy-route-disabled,False
4740.593,10.454,-5.904,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4742.162,4.143,-3.223,b4G,z4D*,162,186,b4G,z4D*,c,c,label,label,True
4747.587,5.662,-4.062,c2D,y4P*,176,199,c2D,y4P*,c,c,label,label,True
4749.568,11.7,-5.539,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4749.611,11.7,-4.03,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4749.775,6.605,-2.733,c4F,w4F*,185,219,c4F,w4F*,c,c,label,label,True
4749.945,10.683,-5.154,e4S,q2D*,240,330,e4S,q2D*,c,c,label,label,True
4749.947,11.7,-6.739,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4750.202,11.686,-3.095,4F*,6D,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
4750.536,11.81,-4.575,4D*,6P,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
4760.07,6.605,-3.048,c4F,w4F*,185,219,c4F,w4F*,c,c,label,label,True
4760.363,10.754,-7.55,e6G,q2G*,243,336,e6G,q2G*,c,c,label,label,True
4761.428,5.67,-2.345,c2D,y4P*,176,199,c2D,y4P*,c,c,label,label,True
4765.109,5.662,-2.359,c2D,z2P*,176,200,c2D,z2P*,c,c,label,label,True
4769.75,11.711,-4.661,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4769.793,11.711,-3.015,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4770.305,10.76,-9.322,e6P,q2G*,242,336,e6P,q2G*,c,c,label,label,True
4770.353,9.955,-5.179,w2D*,f4F,230,288,w2D*,f4F,c,c,label,label,True
4779.053,5.67,-2.409,c2D,z2P*,176,200,c2D,z2P*,c,c,label,label,True
4779.309,6.641,-5.015,c4F,x4P*,185,222,c4F,x4P*,c,c,label,label,True
4779.718,10.072,-1.642,v2F*,f2F,231,293,v2F*,f2F,c,c,label,label,True
4780.374,10.476,-4.685,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4789.326,8.634,-4.464,4F*,e4F,0,254,none,e4F,x,c,label-absent->energy-route-disabled,label,False
4790.136,10.784,-9.945,e6G,x2I*,243,338,e6G,x2I*,c,c,label,label,True
4790.257,6.641,-3.618,c4F,x2F*,185,218,c4F,x2F*,c,c,label,label,True
4790.515,11.788,-5.847,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4790.54,10.505,-6.806,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4793.124,6.641,-2.53,c4F,w4F*,185,219,c4F,w4F*,c,c,label,label,True
4799.415,10.762,-4.767,u4G*,6D,244,0,u4G*,none,c,x,label,label-absent->energy-route-disabled,False
4799.482,10.798,-3.065,u4G*,h4H,244,339,u4G*,h4H,c,c,label,label,True
4799.722,11.075,-6.554,e4G,6F*,250,0,e4G,none,c,x,label,label-absent->energy-route-disabled,False
4799.754,6.805,-5.326,d4F,w2G*,187,225,d4F,w2G*,c,c,label,label,True
4800.625,9.971,-6.094,w2D*,f4F,230,288,w2D*,f4F,c,c,label,label,True
4805.189,3.827,-4.423,b4P,z4F*,157,183,b4P,z4F*,c,c,label,label,True
4809.121,8.273,-5.295,y4P*,f6D,199,245,y4P*,f6D,c,c,label,label,True
