wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
4762.5252	4762.52473	0.0015	3.0	270000.0	C	T6070n	L12175c183	7.48277598    -   10.085377438	7.48277598	-2.346787486224656	25.0	4762.5252
4766.6698	4766.6676	0.0008	3.0	240000.0	C	T6070n	L12175c183	7.48277598    -   10.083115460	7.48277598	-2.619788758288394	25.0	4766.6698
4770.02392	4770.02376	0.0012	3.0	1100000.0	C	T6070n	L12175c183	7.48277598    -   10.08128590	7.48277598	-2.4436974992327127	25.0	4770.02392
4771.73346	4771.73374	0.0027	5.0	800000.0	C	T6070n	L12175c183	7.48779869    -   10.085377438	7.48779869	-1.869666231504994	25.0	4771.73346
4775.907	4775.89266	0.00099	5.0	480000.0	C	T6070n	L17684	7.48779869    -   10.083115460	7.48779869	-2.305394801066431	25.0	4775.907
4777.08	4777.08		3.0				L2138	8.53709962    -   11.13177	8.53709962			4777.08
4783.795	4783.8018		7.0				L17684	7.945771557   -   10.53679751	7.945771557			4783.795
4791.71	4791.734		7.0				L17684	7.945771557   -   10.532508	7.945771557			4791.71
4792.649	4792.658		5.0				L17684	7.94627046    -   10.532508	7.94627046			4792.649
4795.878	4795.866		3.0				L17684	7.94613476    -   10.5306428	7.94613476			4795.878
4796.082	4796.118		5.0				L17684	7.94627046    -   10.5306428	7.94627046			4796.082
4806.25	4806.38		7.0				L2138	8.647160399   -   11.22601	8.647160399			4806.25
4808.67	4808.63		5.0				L2138	8.643023685   -   11.22067	8.643023685			4808.67
4812.916	4812.91668	0.00042	1.0	40000.0	C	T6070n	L17684	7.48039414    -   10.055746371	7.48039414	-3.3767507096020997	25.0	4812.916
4817.371	4817.37213	0.0003	3.0	88000.0	C	T6070n	L17684	7.48277598    -   10.055746371	7.48277598	-3.0457574905606752	25.0	4817.371
4826.804	4826.79468	0.00013	5.0	63000.0	C	T6070n	L17684	7.48779869    -   10.055746371	7.48779869	-3.1870866433571443	25.0	4826.804
4836.764	4836.763		3.0				L17684	8.53709962    -   11.099755	8.53709962			4836.764
4840.09	4840.299		3.0				L2138	8.53709962    -   11.097883	8.53709962			4840.09
4841.91	4841.93		7.0				L2138	8.647160399   -   11.20708	8.647160399			4841.91
4847.64	4847.79		5.0				L2138	8.643023685   -   11.19985	8.643023685			4847.64
4853.98	4854.074		3.0				L2138	8.53709962    -   11.090616	8.53709962			4853.98
4858.98	4858.877		3.0				L2138	8.53709962    -   11.088092	8.53709962			4858.98
4874.08	4874.06		7.0				L2138	8.647160399   -   11.19021	8.647160399			4874.08
4880.0	4880.01		7.0				L7393	8.647160399   -   11.18711	8.647160399			4880.0
4888.91	4888.84905		1.0				L17684	7.48039414    -   10.01574721	7.48039414			4888.91
4888.9402	4888.93777		3.0				L12175c183	7.48277598    -   10.018083033	7.48277598			4888.9402
4890.645	4890.65379		5.0				L17684	7.48779869    -   10.022216175	7.48779869			4890.645
