band,holding,species,wavelength_air_A,ep_eV,loggf,canonical_line_id,measurement_eligibility,status,ew_mA,core_depth,method,provenance,reason
H,solar_crires_plus_h_rya1094,Si I,15122.5492,6.7206,-1.277,gf_172891,HOLD,DIAGNOSTIC_SERVED,30.9111,0.22492,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,"side-band 95th pct is 0.9428, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
H,solar_crires_plus_h_rya1094,Si I,15127.9131,7.2297,-1.904,gf_172894,HOLD,DIAGNOSTIC_SERVED,2.6976,0.01982,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15147.1046,7.166,-2.853,gf_172910,HOLD,DIAGNOSTIC_SERVED,-1.6,-0.00026,"integrated over +/-0.220 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15150.603,7.0644,-1.909,gf_172912,HOLD,DIAGNOSTIC_SERVED,0.4652,0.00417,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15154.0478,7.0644,-2.168,gf_172920,HOLD,DIAGNOSTIC_SERVED,1.8643,0.01181,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15173.287299999998,7.1038,-2.531,gf_172939,HOLD,DIAGNOSTIC_SERVED,0.3808,0.00776,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15203.0902,7.0399,-1.914,gf_172954,HOLD,DIAGNOSTIC_SERVED,3.1231,0.015,"integrated over +/-0.149 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15224.1329,7.0693,-1.701,gf_172981,HOLD,DIAGNOSTIC_SERVED,2.8046,0.01681,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15232.8596,7.1343,-2.613,gf_172991,HOLD,DIAGNOSTIC_SERVED,9.6762,0.0133,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15243.588,6.7271,-0.867,gf_172998,HOLD,DIAGNOSTIC_SERVED,11.0023,0.06432,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15249.4522,7.1079,-2.229,gf_173003,HOLD,DIAGNOSTIC_SERVED,6.8805,0.01212,"integrated over +/-0.428 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15254.019700000004,7.166,-0.658,gf_173006,HOLD,DIAGNOSTIC_SERVED,3.0147,0.02147,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15265.8735,7.1038,-2.384,gf_173017,HOLD,DIAGNOSTIC_SERVED,0.0852,0.00368,"integrated over +/-0.147 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15277.110699999996,7.1343,-2.624,gf_173024,HOLD,DIAGNOSTIC_SERVED,2.3253,0.02167,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15279.7725,6.7341,-2.214,gf_173026,HOLD,DIAGNOSTIC_SERVED,-0.8207,5e-05,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15286.954799999998,7.166,-2.524,gf_173029,HOLD,DIAGNOSTIC_SERVED,-1.2044,-0.00478,"integrated over +/-0.189 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
