wavelength_air_A,flux_normalized
1.029168928379946374e+04,1.002363991839941404e+00
1.029171827337248942e+04,1.002964015988940805e+00
1.029174726294552056e+04,1.008863850311050525e+00
1.029177625251853897e+04,1.001264168292982593e+00
1.029180524209157011e+04,9.980643283490340245e-01
1.029183423166459579e+04,9.984643596364337625e-01
1.029186322123761965e+04,9.995643660281096077e-01
1.029189221081065261e+04,9.950645719160186031e-01
1.029192120038367648e+04,1.002764343620794030e+00
1.029195018995669852e+04,1.003064378833355530e+00
1.029197917952972784e+04,1.000164527583978780e+00
1.029200816910275171e+04,1.003664449405576864e+00
1.029203715867578467e+04,1.003664495377384336e+00
1.029206614824881035e+04,1.000364657952886871e+00
1.029209513782183603e+04,1.000464700288336006e+00
1.029212412739485808e+04,9.997647708434095337e-01
1.029215311696788558e+04,9.978648835841009701e-01
1.029218210654091672e+04,9.956650067151191497e-01
1.029221109611394058e+04,1.001664841857961896e+00
1.029224008568696809e+04,9.994649650042766176e-01
1.029226907525999195e+04,1.005364804416749802e+00
1.029229806483301945e+04,1.007764766755330887e+00
1.029232705440604332e+04,1.003364966755182497e+00
1.029235604397907264e+04,1.003565005976402080e+00
1.029238503355209832e+04,1.005164996486125117e+00
1.029241402312512582e+04,1.004265074105686439e+00
1.029244301269814787e+04,1.003365151663779820e+00
1.029247200227117901e+04,9.989653505547925194e-01
1.029250099184420469e+04,9.997653689436736268e-01
1.029252998141723037e+04,1.005665211009517224e+00
1.029255897099025606e+04,9.984655061894945893e-01
1.029258796056328538e+04,9.961656316783922271e-01
1.029261695013630742e+04,9.992655709287423527e-01
1.029264593970933674e+04,1.001865527690601221e+00
1.029267492928236425e+04,9.987656805701952134e-01
1.029270391885538993e+04,9.963658091640882342e-01
1.029273290842841561e+04,9.968658381796260404e-01
1.029276189800144493e+04,9.960659117509828020e-01
1.029279088757446880e+04,9.984658759082879476e-01
1.029281987714749448e+04,9.971659665866579036e-01
1.029284886672052198e+04,9.995659310601426872e-01
1.029287785629354585e+04,1.004165820898170747e+00
1.029290684586657517e+04,9.988660476828618018e-01
1.029293583543960085e+04,9.982661144631681527e-01
1.029296482501262653e+04,9.977661778192754571e-01
1.029299381458565222e+04,1.008865848487266570e+00
1.029302280415867972e+04,1.009165885289566855e+00
1.029305179373170358e+04,1.002166168568559224e+00
1.029308078330473109e+04,1.006866056803049192e+00
1.029310977287776041e+04,1.001566282136818975e+00
1.029313876245078245e+04,9.959665170830820369e-01
1.029316775202381177e+04,1.004566274823633476e+00
1.029319674159683927e+04,1.000866445734184262e+00
1.029322573116986860e+04,9.944667067096616409e-01
1.029325472074289064e+04,1.000066565940020524e+00
1.029328371031591996e+04,9.997666226803200162e-01
1.029331269988894201e+04,9.952668194302490834e-01
1.029334168946197315e+04,9.974667927342071305e-01
1.029337067903499701e+04,9.990667862113292719e-01
1.029339966860802451e+04,1.001466753301834656e+00
1.029342865818104838e+04,1.005266674228155743e+00
1.029345764775407588e+04,1.002566810702705702e+00
1.029348663732710338e+04,1.004466794886181846e+00
1.029351562690012724e+04,1.006266782569996465e+00
1.029354461647315657e+04,1.003566918775451455e+00
1.029357360604618225e+04,1.006666863838109327e+00
1.029360259561920975e+04,1.004266989990794556e+00
1.029363158519223543e+04,9.998671815826716269e-01
1.029366057476526294e+04,1.001367179411446262e+00
1.029368956433828862e+04,1.002167200311764095e+00
1.029371855391131612e+04,9.997673258865582557e-01
1.029374754348433999e+04,1.002367288088663377e+00
1.029377653305736931e+04,1.004667260332627654e+00
1.029380552263039135e+04,1.000467444320557453e+00
1.029383451220342067e+04,1.002567423232429533e+00
1.029386350177644817e+04,1.004367412096930590e+00
1.029389249134947204e+04,1.001667546943255660e+00
1.029392148092249954e+04,1.003367539212435489e+00
1.029395047049552886e+04,9.993677157936607935e-01
1.029397946006855091e+04,9.980678049260098827e-01
1.029400844964157841e+04,1.000967758678267483e+00
1.029403743921460409e+04,9.981678960481875640e-01
1.029406642878763159e+04,9.947680524430598803e-01
1.029409541836065546e+04,9.992679552059906545e-01
1.029412440793368478e+04,1.002167909647671884e+00
1.029415339750670864e+04,1.001367982683448954e+00
1.029418238707973796e+04,1.003667956696412844e+00
1.029421137665276365e+04,9.985681668440266057e-01
1.029424036622578933e+04,1.008867886341382469e+00
1.029426935579881501e+04,9.999682170691732708e-01
1.029429834537184433e+04,1.001268223271543745e+00
1.029432733494487184e+04,1.008468042659168784e+00
1.029435632451789388e+04,1.005768175992661773e+00
1.029438531409092320e+04,1.003168305931372073e+00
1.029441430366394707e+04,1.001268413562129034e+00
1.029444329323697457e+04,9.989685336322975395e-01
1.029447228281000389e+04,9.994685654437502897e-01
1.029450127238302957e+04,9.994686130250500788e-01
1.029453026195605162e+04,1.004268510123016434e+00
1.029455925152908094e+04,1.000168686335184631e+00
1.029458824110210844e+04,9.972688246657885891e-01
1.029461723067513594e+04,1.012168407166267547e+00
1.029464622024815981e+04,1.001568785799925587e+00
1.029467520982118913e+04,9.967689829665175028e-01
1.029470419939421117e+04,1.004168800655573346e+00
1.029473318896724049e+04,1.005168817607394294e+00
1.029476217854026800e+04,1.001768970958228033e+00
1.029479116811329368e+04,1.001869015765727955e+00
1.029482015768631936e+04,1.001869063691446682e+00
