wavelength_air_A,model_flux
8.677821999999894615e+03,9.854951483251059852e-01
8.677823999999893203e+03,9.853324493311417243e-01
8.677825999999893611e+03,9.851788611655415417e-01
8.677827999999892199e+03,9.850347476539088598e-01
8.677829999999892607e+03,9.849004519035052807e-01
8.677831999999891195e+03,9.847762955909481475e-01
8.677833999999891603e+03,9.846625783872425819e-01
8.677835999999890191e+03,9.845595770999617802e-01
8.677837999999890599e+03,9.844675442770921547e-01
8.677839999999889187e+03,9.843867062121812728e-01
8.677841999999889595e+03,9.843172608801887824e-01
8.677843999999888183e+03,9.842593767277582062e-01
8.677845999999888591e+03,9.842131926805770537e-01
8.677847999999887179e+03,9.841788187055805492e-01
8.677849999999887586e+03,9.841563358602968270e-01
8.677851999999886175e+03,9.841457955290405790e-01
8.677853999999886582e+03,9.841472184384820743e-01
8.677855999999885171e+03,9.841605940833487720e-01
8.677857999999885578e+03,9.841858808329680963e-01
8.677859999999884167e+03,9.842230066691578516e-01
8.677861999999884574e+03,9.842718702295142341e-01
8.677863999999883163e+03,9.843323415464774184e-01
8.677865999999883570e+03,9.844042619531505611e-01
8.677867999999882159e+03,9.844874435173385230e-01
8.677869999999882566e+03,9.845816691062586612e-01
8.677871999999881155e+03,9.846866937364561201e-01
8.677873999999881562e+03,9.848022467818541292e-01
8.677875999999880150e+03,9.849280340389003907e-01
8.677877999999880558e+03,9.850637391124480446e-01
8.677879999999879146e+03,9.852090242614783833e-01
8.677881999999879554e+03,9.853635310399527780e-01
8.677883999999878142e+03,9.855268811400859086e-01
8.677885999999878550e+03,9.856986778367957669e-01
8.677887999999877138e+03,9.858785081040454257e-01
8.677889999999877546e+03,9.860659449448661018e-01
8.677891999999876134e+03,9.862605492731024714e-01
8.677893999999876542e+03,9.864618712275516899e-01
8.677895999999875130e+03,9.866694514080494027e-01
8.677897999999875537e+03,9.868828224782266734e-01
8.677899999999874126e+03,9.871015111572412071e-01
8.677901999999874533e+03,9.873250403109939954e-01
8.677903999999873122e+03,9.875529309016428670e-01
8.677905999999873529e+03,9.877847036844895623e-01
8.677907999999872118e+03,9.880198806029011349e-01
8.677909999999872525e+03,9.882579860151300410e-01
8.677911999999871114e+03,9.884985480391285106e-01
8.677913999999871521e+03,9.887411001873775973e-01
8.677915999999870110e+03,9.889851831627560763e-01
8.677917999999870517e+03,9.892303464988053685e-01
8.677919999999869106e+03,9.894761498884171447e-01
8.677921999999869513e+03,9.897221642992348745e-01
8.677923999999868101e+03,9.899679730262944677e-01
8.677925999999868509e+03,9.902131727144862783e-01
8.677927999999867097e+03,9.904573742752221799e-01
8.677929999999867505e+03,9.907002036846294102e-01
8.677931999999866093e+03,9.909413027605370461e-01
8.677933999999866501e+03,9.911803299985312288e-01
8.677935999999865089e+03,9.914169613936353320e-01
8.677937999999865497e+03,9.916508910647979791e-01
8.677939999999864085e+03,9.918818315854301959e-01
8.677941999999864493e+03,9.921095140819407021e-01
8.677943999999863081e+03,9.923336882298887662e-01
8.677945999999863488e+03,9.925541222692749743e-01
8.677947999999862077e+03,9.927706031424681221e-01
8.677949999999862484e+03,9.929829367948512786e-01
8.677951999999861073e+03,9.931909484557542855e-01
8.677953999999861480e+03,9.933944825644600574e-01
8.677955999999860069e+03,9.935934022213980255e-01
8.677957999999860476e+03,9.937875884331986986e-01
8.677959999999859065e+03,9.939769395580041467e-01
8.677961999999859472e+03,9.941613710515506686e-01
8.677963999999858061e+03,9.943408152721632254e-01
8.677965999999858468e+03,9.945152211008125853e-01
8.677967999999857057e+03,9.946845532844970084e-01
8.677969999999857464e+03,9.948487915388410929e-01
8.677971999999856052e+03,9.950079295625828824e-01
8.677973999999856460e+03,9.951619742354506082e-01
