canonical_line_id,historical_source_class,historical_gf_grade,verified_source_class,reference_membership,codex_membership,deep_membership,replication_membership,disposition_reason
alphys_I_2071.5198_0037,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.5428_0038,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.5678_0039,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.5938_0040,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.6208_0041,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.6488_0042,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.6778_0043,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.7088_0044,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.7407_0045,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.7737_0046,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.8087_0047,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.8457_0048,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.8847_0049,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.9247_0050,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.9677_0051,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.0126_0052,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.0596_0053,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.1086_0054,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.1606_0055,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.2040_0056,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.2170_0057,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.2610_0058,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.2750_0059,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.3220_0060,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.3360_0061,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.3860_0062,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.4010_0063,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.4540_0064,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.4700_0065,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.5260_0066,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.5440_0067,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.6030_0068,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.6210_0069,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.6850_0070,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.7040_0071,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.7710_0072,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.7920_0073,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.8640_0074,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.8860_0075,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.9620_0076,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2072.9860_0077,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.0680_0078,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.0930_0079,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.1800_0080,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.2070_0081,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.3010_0082,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.3300_0083,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.4310_0084,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
