canonical_line_id,species,wavelength_air,lower_EP,historical_band,historical_gf_source,historical_gf_grade,historical_source_class,historical_loggf,historical_gf_sigma_dex,verified_source_record_id,bibliography_chain,verified_source_class,verified_loggf,gf_uncertainty_bound_dex,uncertainty_basis,reference_membership,disposition_reason,physical_identity_status,component_semantics,hfs_component_status,codex_membership,deep_membership,external_membership,source_candidate_count,feature_depth,component_count,raw_component_sum_loggf,blend_flag,atomic_handoff_status,replication_membership
alphys_I_2077.8970_0162,Al I,2077.897,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.573,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.4,1.0,-4.573,False,HOLD,NONMEMBER
alphys_I_2077.9220_0163,Al I,2077.922,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-3.0935127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.973,2.0,-3.0935127992,False,HOLD,NONMEMBER
alphys_I_2078.0100_0164,Al I,2078.01,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.545,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.421,1.0,-4.545,False,HOLD,NONMEMBER
alphys_I_2078.0370_0165,Al I,2078.037,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-3.0645127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.974,2.0,-3.0645127992,False,HOLD,NONMEMBER
alphys_I_2078.0740_0166,Al I,2078.074,0.0,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.18,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.703,1.0,-4.18,False,HOLD,NONMEMBER
alphys_I_2078.1320_0167,Al I,2078.132,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.515,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.443,1.0,-4.515,False,HOLD,NONMEMBER
alphys_I_2078.1601_0168,Al I,2078.1601,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-3.0345127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.974,2.0,-3.0345127992,False,HOLD,NONMEMBER
alphys_I_2078.2080_0169,Al I,2078.208,0.0,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-2.68,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.985,1.0,-2.68,False,HOLD,NONMEMBER
alphys_I_2078.2620_0170,Al I,2078.262,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.485,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.464,1.0,-4.485,False,HOLD,NONMEMBER
alphys_I_2078.2930_0171,Al I,2078.293,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-3.0035127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.975,2.0,-3.0035127992,False,HOLD,NONMEMBER
alphys_I_2078.4020_0172,Al I,2078.402,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.455,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.484,1.0,-4.455,False,HOLD,NONMEMBER
alphys_I_2078.4360_0173,Al I,2078.436,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-2.9725127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.976,2.0,-2.9725127992,False,HOLD,NONMEMBER
alphys_I_2078.5540_0174,Al I,2078.554,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.423,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.506,1.0,-4.423,False,HOLD,NONMEMBER
alphys_I_2078.5891_0175,Al I,2078.5891,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-2.9405127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.977,2.0,-2.9405127992,False,HOLD,NONMEMBER
alphys_I_2078.7010_0176,Al I,2078.701,0.0,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.131,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.735,1.0,-4.131,False,HOLD,NONMEMBER
alphys_I_2078.7170_0177,Al I,2078.717,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.391,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.529,1.0,-4.391,False,HOLD,NONMEMBER
alphys_I_2078.7551_0178,Al I,2078.7551,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-2.9075127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.978,2.0,-2.9075127992,False,HOLD,NONMEMBER
