species,system,wavelength_air_A,j_lower,j_upper,branch,sym_lower,e_upper,e_lower,f_value,einstein_A,source
NH,A-X,3380.2243,5,4,pP3(5),e,30258.75738,683.4144964,0.001548671,1104360.978,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3360.3236,5,5,qQ1(5),e,30076.23206,325.7417926,0.003819762,2255104.89,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3340.5623,5,5,rQ21(5),e,30252.21673,325.7417926,0.000352853,210788.4098,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3318.4171,5,5,sQ31(5),e,30451.92263,325.7417926,2.33E-06,1408.02985,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3401.2157,5,5,oQ13(5),e,30076.23206,683.4144964,3.20E-06,1846.896658,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3380.9720,5,5,pQ23(5),e,30252.21673,683.4144964,0.000215388,125611.8522,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.2896,5,5,qQ3(5),e,30451.92263,683.4144964,0.003967162,2344964.799,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3341.8229,5,6,rR1(5),e,30240.92883,325.7417926,0.002705796,1366690.074,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3319.3096,5,6,sR21(5),e,30443.82186,325.7417926,4.22E-05,21586.11846,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3293.8265,5,6,tR31(5),e,30676.82669,325.7417926,1.24E-08,6.444335576,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3382.2632,5,6,pR13(5),e,30240.92883,683.4144964,6.06E-06,2990.406914,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3359.2038,5,6,qR23(5),e,30443.82186,683.4144964,0.000242151,121047.3556,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3333.1068,5,6,rR3(5),e,30676.82669,683.4144964,0.002498898,1268796.19,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3378.7262,6,5,pP1(6),e,30076.71476,488.2591531,0.001384039,955181.236,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3359.0225,6,5,qP21(6),e,30250.27278,488.2591531,0.000264306,184554.8019,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3336.4398,6,5,rP31(6),e,30451.71018,488.2591531,4.09E-06,2891.993699,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3427.5785,6,5,nP13(6),e,30076.71476,909.9615691,2.39E-07,160.5213694,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3407.3026,6,5,oP23(6),e,30250.27278,909.9615691,1.95E-05,13228.95176,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3384.0683,6,5,pP3(6),e,30451.71018,909.9615691,0.001624369,1117506.183,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
