source_row,species,system,band,wavelength_vac_nm,lower_energy_eV,published_loggf,join_status,component_count,summed_loggf,subset_candidate_count,primary_wavelengths_A,primary_energies_eV,primary_loggfs,transition_labels,primary_source,primary_lines
210,CN,A-X,(0-0),1097.755,0.005,-2.241,PRIMARY_TUPLE_MATCH,1,,0,10977.55428,0.004691,-2.240509,rR1(4.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,115
211,CN,A-X,(0-0),1098.408,0.089,-1.641,PRIMARY_TUPLE_MATCH,1,,0,10984.08372,0.088991,-1.641383,rR1(19.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,130
212,CN,A-X,(0-0),1099.333,0.108,-1.598,PRIMARY_TUPLE_MATCH,1,,0,10993.33125,0.108163,-1.598424,rR1(21.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,132
213,CN,A-X,(0-0),1100.843,0.056,-1.531,PRIMARY_TUPLE_MATCH,1,,0,11008.43495,0.056219,-1.530834,qQ2(14.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,566
214,CN,A-X,(0-0),1101.377,0.177,-1.516,PRIMARY_TUPLE_MATCH,1,,0,11013.77067,0.176789,-1.516290,rR2(26.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1241
215,CN,A-X,(0-0),1101.568,0.026,-2.103,PRIMARY_TUPLE_MATCH,1,,0,11015.67777,0.025777,-2.103305,pP2(9.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1112
216,CN,A-X,(0-0),1102.438,0.072,-1.466,PRIMARY_TUPLE_MATCH,1,,0,11024.38448,0.071664,-1.465879,qQ2(16.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,568
217,CN,A-X,(0-0),1102.478,0.164,-1.508,PRIMARY_TUPLE_MATCH,1,,0,11024.78557,0.164215,-1.507688,rR1(26.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,137
218,CN,A-X,(0-0),1106.999,0.056,-1.872,PRIMARY_TUPLE_MATCH,1,,0,11069.99530,0.056219,-1.871672,pP2(14.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1117
219,CN,A-X,(0-0),1107.566,0.098,-1.361,PRIMARY_TUPLE_MATCH,1,,0,11075.66578,0.098344,-1.360630,qQ1(20.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,682
220,CN,A-X,(0-0),1108.409,0.278,-1.416,PRIMARY_TUPLE_MATCH,1,,0,11084.09634,0.277874,-1.414767,rR2(33.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1248
221,CN,A-X,(0-0),1109.599,0.294,-1.402,PRIMARY_TUPLE_MATCH,1,,0,11095.99196,0.294150,-1.402374,rR2(34.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1249
222,CN,A-X,(0-0),1109.630,0.294,-2.411,PRIMARY_TUPLE_MATCH,1,,0,11096.30851,0.294182,-2.411196,rQ21(35.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,808
223,CN,A-X,(0-0),1110.752,0.080,-1.772,PRIMARY_TUPLE_MATCH,1,,0,11107.52721,0.080086,-1.771888,pP2(17.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1120
224,CN,A-X,(0-0),1111.153,0.294,-1.385,PRIMARY_TUPLE_MATCH,1,,0,11111.52890,0.294182,-1.385025,rR1(35.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,146
225,CN,A-X,(0-0),1121.072,0.152,-1.602,PRIMARY_TUPLE_MATCH,1,,0,11210.72098,0.152055,-1.601643,pP2(24.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1127
226,CN,A-X,(0-0),1123.264,0.152,-1.592,PRIMARY_TUPLE_MATCH,1,,0,11232.64408,0.152078,-1.592321,pP1(25.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,24
227,CN,A-X,(0-0),1124.156,0.482,-1.299,PRIMARY_TUPLE_MATCH,1,,0,11241.56081,0.481925,-1.298938,rR2(44.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1259
228,CN,A-X,(0-0),1139.049,0.421,-1.033,PRIMARY_TUPLE_MATCH,1,,0,11390.49411,0.420877,-1.032908,qQ1(42.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,704
229,CN,A-X,(0-0),1139.477,0.665,-1.236,PRIMARY_TUPLE_MATCH,1,,0,11394.77388,0.664526,-1.236192,rR2(52.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1267
230,CN,A-X,(0-0),1158.117,0.616,-0.965,PRIMARY_TUPLE_MATCH,1,,0,11581.17170,0.616206,-0.964867,qQ2(50.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,602
231,CN,A-X,(0-0),1164.500,0.665,-0.943,PRIMARY_TUPLE_MATCH,1,,0,11645.00075,0.664574,-0.943073,qQ1(53.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,715
232,CN,A-X,(0-0),1171.153,0.525,-1.309,PRIMARY_TUPLE_MATCH,1,,0,11711.52948,0.524940,-1.308678,pP1(47.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,46
233,CN,A-X,(0-0),1171.531,0.740,-0.930,PRIMARY_TUPLE_MATCH,1,,0,11715.21612,0.740318,-0.929867,qQ2(55.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,607
234,CN,A-X,(0-0),1175.026,1.052,-1.155,PRIMARY_TUPLE_MATCH,1,,0,11750.26260,1.051777,-1.155150,rR2(66.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1281
235,CN,A-X,(0-0),1176.093,1.052,-1.148,PRIMARY_TUPLE_MATCH,1,,0,11760.93961,1.051837,-1.147930,rR1(67.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,178
236,CN,A-X,(0-0),1176.915,0.570,-1.292,PRIMARY_TUPLE_MATCH,1,,0,11769.15809,0.569705,-1.292144,pP1(49.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,48
237,CN,A-X,(0-0),1178.520,0.593,-1.290,PRIMARY_TUPLE_MATCH,1,,0,11785.20590,0.592711,-1.290162,pP2(49.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1152
238,CN,A-X,(0-0),1180.309,0.820,-0.911,PRIMARY_TUPLE_MATCH,1,,0,11803.09357,0.820059,-0.911129,qQ2(58.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,610
239,CN,A-X,(0-0),1182.935,0.616,-1.277,PRIMARY_TUPLE_MATCH,1,,0,11829.35456,0.616252,-1.276582,pP1(51.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,50
240,CN,A-X,(0-0),1183.367,0.848,-0.905,PRIMARY_TUPLE_MATCH,1,,0,11833.67547,0.847512,-0.905226,qQ2(59.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,611
241,CN,A-X,(0-0),1185.287,1.146,-1.135,PRIMARY_TUPLE_MATCH,1,,0,11852.87847,1.145796,-1.134746,rR1(70.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,181
242,CN,A-X,(0-0),1192.460,0.689,-1.255,PRIMARY_TUPLE_MATCH,1,,0,11924.60331,0.689399,-1.254907,pP1(54.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,53
243,CN,A-X,(0-0),1192.941,0.932,-0.888,PRIMARY_TUPLE_MATCH,1,,0,11929.41048,0.932471,-0.888485,qQ2(62.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,614
244,CN,A-X,(0-0),1196.268,0.962,-0.883,PRIMARY_TUPLE_MATCH,1,,0,11962.68236,0.961654,-0.883212,qQ2(63.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,615
245,CN,A-X,(0-0),1197.852,0.740,-1.247,PRIMARY_TUPLE_MATCH,1,,0,11978.52954,0.740318,-1.246827,pP2(55.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1158
246,CN,A-X,(0-0),1204.843,0.793,-1.234,PRIMARY_TUPLE_MATCH,1,,0,12048.43534,0.793042,-1.233986,pP2(57.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1160
247,CN,A-X,(0-0),1207.740,1.052,-0.863,PRIMARY_TUPLE_MATCH,1,,0,12077.40394,1.051837,-0.862932,qQ1(67.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,729
248,CN,A-X,(0-0),1213.380,0.848,-1.217,PRIMARY_TUPLE_MATCH,1,,0,12133.81099,0.847566,-1.216865,pP1(60.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,59
249,CN,A-X,(0-0),1217.121,0.875,-1.211,PRIMARY_TUPLE_MATCH,1,,0,12171.21709,0.875454,-1.211144,pP1(61.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,60
250,CN,A-X,(0-0),1220.937,0.904,-1.205,PRIMARY_TUPLE_MATCH,1,,0,12209.37625,0.903775,-1.205588,pP1(62.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,61
251,CN,A-X,(0-0),1230.508,1.244,-0.837,PRIMARY_TUPLE_MATCH,1,,0,12305.07909,1.243553,-0.837278,qQ1(73.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,735
252,CN,A-X,(0-0),1234.575,1.277,-0.833,PRIMARY_TUPLE_MATCH,1,,0,12345.75309,1.276977,-0.833435,qQ1(74.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,736
253,CN,A-X,(0-0),1241.187,1.052,-1.125,STRENGTH_MISMATCH,1,-1.180122,0,12411.87229,1.051837,-1.180122,pP1(67.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,66
254,CN,A-X,(0-0),1251.670,1.415,-0.819,PRIMARY_TUPLE_MATCH,1,,0,12516.70401,1.414826,-0.819224,qQ1(78.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,740
255,CN,A-X,(0-0),1254.317,1.146,-1.167,PRIMARY_TUPLE_MATCH,1,,0,12543.17596,1.145796,-1.166569,pP1(70.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,69
