source_row,species,system,band,wavelength_vac_nm,lower_energy_eV,published_loggf,join_status,component_count,summed_loggf,subset_candidate_count,primary_wavelengths_A,primary_energies_eV,primary_loggfs,transition_labels,primary_source,primary_lines
269,OH,X-X,(0-0),9475.080,2.935,-1.243,PRIMARY_TUPLE_MATCH,1,,0,94747.11667,2.934734,-1.242789,rR1e(38.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,72
270,OH,X-X,(0-0),9476.149,2.937,-1.255,PRIMARY_TUPLE_MATCH,1,,0,94757.48339,2.937140,-1.255275,rR2f(37.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,707
271,OH,X-X,(0-0),9561.719,2.809,-1.259,PRIMARY_TUPLE_MATCH,1,,0,95612.78819,2.809329,-1.258556,rR1f(37.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,534
272,OH,X-X,(0-0),9563.237,2.811,-1.271,PRIMARY_TUPLE_MATCH,1,,0,95628.32602,2.810958,-1.271506,rR2e(36.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,243
273,OH,X-X,(0-0),9567.666,2.805,-1.259,PRIMARY_TUPLE_MATCH,1,,0,95674.78558,2.805145,-1.258830,rR1e(37.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,71
274,OH,X-X,(0-0),9568.847,2.808,-1.272,PRIMARY_TUPLE_MATCH,1,,0,95686.10881,2.807566,-1.271761,rR2f(36.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,706
275,OH,X-X,(0-0),9665.842,2.681,-1.276,PRIMARY_TUPLE_MATCH,1,,0,96655.96245,2.681055,-1.275454,rR1f(36.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,533
276,OH,X-X,(0-0),9667.590,2.683,-1.288,PRIMARY_TUPLE_MATCH,1,,0,96673.55744,2.682708,-1.288845,rR2e(35.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,242
277,OH,X-X,(0-0),9672.667,2.677,-1.276,PRIMARY_TUPLE_MATCH,1,,0,96725.91802,2.676964,-1.275761,rR1e(36.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,70
278,OH,X-X,(0-0),9673.949,2.679,-1.289,PRIMARY_TUPLE_MATCH,1,,0,96738.36353,2.679402,-1.289128,rR2f(35.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,705
279,OH,X-X,(0-0),9913.957,2.429,-1.312,PRIMARY_TUPLE_MATCH,1,,0,99139.10015,2.429258,-1.311992,rR1f(34.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,531
280,OH,X-X,(0-0),9916.198,2.431,-1.326,PRIMARY_TUPLE_MATCH,1,,0,99161.52397,2.430966,-1.326252,rR2e(33.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,240
281,OH,X-X,(0-0),9922.495,2.425,-1.312,PRIMARY_TUPLE_MATCH,1,,0,99225.24039,2.425377,-1.312363,rR1e(34.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,68
282,OH,X-X,(0-0),10059.522,2.306,-1.332,PRIMARY_TUPLE_MATCH,1,,0,100595.20230,2.306008,-1.331677,rR1f(33.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,530
283,OH,X-X,(0-0),10062.063,2.308,-1.346,PRIMARY_TUPLE_MATCH,1,,0,100620.49439,2.307746,-1.346373,rR2e(32.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,239
284,OH,X-X,(0-0),10068.922,2.302,-1.332,PRIMARY_TUPLE_MATCH,1,,0,100689.64929,2.302242,-1.332078,rR1e(33.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,67
285,OH,X-X,(0-0),10070.666,2.305,-1.347,PRIMARY_TUPLE_MATCH,1,,0,100706.77992,2.304738,-1.346738,rR2f(32.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,702
286,OH,X-X,(1-1),10131.250,3.013,-1.304,PRIMARY_TUPLE_MATCH,1,,0,101307.96628,3.012881,-1.303518,rR1f(36.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2300
287,OH,X-X,(1-1),10133.160,3.015,-1.315,PRIMARY_TUPLE_MATCH,1,,0,101326.90305,3.014593,-1.315138,rR2e(35.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2059
288,OH,X-X,(1-1),10137.598,3.009,-1.304,PRIMARY_TUPLE_MATCH,1,,0,101372.47433,3.009069,-1.303785,rR1e(36.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,1917
289,OH,X-X,(1-1),10139.119,3.012,-1.315,PRIMARY_TUPLE_MATCH,1,,0,101388.22512,3.011514,-1.315399,rR2f(35.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2442
290,OH,X-X,(0-0),10220.716,2.185,-1.352,PRIMARY_TUPLE_MATCH,1,,0,102207.26221,2.184701,-1.352334,rR1f(32.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,529
291,OH,X-X,(0-0),10223.569,2.186,-1.367,PRIMARY_TUPLE_MATCH,1,,0,102235.80588,2.186473,-1.367474,rR2e(31.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,238
292,OH,X-X,(0-0),10230.975,2.181,-1.353,PRIMARY_TUPLE_MATCH,1,,0,102310.21457,2.181057,-1.352765,rR1e(32.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,66
293,OH,X-X,(0-0),10232.943,2.184,-1.368,PRIMARY_TUPLE_MATCH,1,,0,102329.49179,2.183576,-1.367864,rR2f(31.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,701
294,OH,X-X,(1-1),10247.613,2.892,-1.320,PRIMARY_TUPLE_MATCH,1,,0,102473.12167,2.891889,-1.320125,rR1f(35.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2299
295,OH,X-X,(1-1),10254.906,2.888,-1.320,PRIMARY_TUPLE_MATCH,1,,0,102546.60517,2.888164,-1.320428,rR1e(35.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,1916
296,OH,X-X,(1-1),10378.752,2.772,-1.338,PRIMARY_TUPLE_MATCH,1,,0,103785.71030,2.772427,-1.337757,rR1f(34.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2298
297,OH,X-X,(1-1),10386.977,2.769,-1.338,PRIMARY_TUPLE_MATCH,1,,0,103868.20829,2.768797,-1.338093,rR1e(34.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,1915
298,OH,X-X,(1-1),10388.823,2.771,-1.351,PRIMARY_TUPLE_MATCH,1,,0,103886.99973,2.771284,-1.350828,rR2f(33.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2440
299,OH,X-X,(0-0),10398.664,2.065,-1.375,PRIMARY_TUPLE_MATCH,1,,0,103986.86017,2.065470,-1.374011,rR1f(31.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,528
300,OH,X-X,(0-0),10401.909,2.067,-1.390,PRIMARY_TUPLE_MATCH,1,,0,104019.11512,2.067279,-1.389599,rR2e(30.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,237
301,OH,X-X,(0-0),10409.835,2.062,-1.375,PRIMARY_TUPLE_MATCH,1,,0,104098.56073,2.061954,-1.374470,rR1e(31.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,65
302,OH,X-X,(0-0),10412.057,2.064,-1.390,PRIMARY_TUPLE_MATCH,1,,0,104120.37572,2.064498,-1.390013,rR2f(30.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,700
303,OH,X-X,(1-1),10525.507,2.655,-1.356,PRIMARY_TUPLE_MATCH,1,,0,105254.17861,2.654632,-1.356421,rR1f(33.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2297
304,OH,X-X,(1-1),10528.311,2.656,-1.370,PRIMARY_TUPLE_MATCH,1,,0,105282.03840,2.656429,-1.369726,rR2e(32.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2056
305,OH,X-X,(1-1),10534.666,2.651,-1.357,PRIMARY_TUPLE_MATCH,1,,0,105345.78392,2.651104,-1.356792,rR1e(33.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,1914
306,OH,X-X,(1-1),10536.719,2.654,-1.370,PRIMARY_TUPLE_MATCH,1,,0,105366.56098,2.653614,-1.370069,rR2f(32.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2439
307,OH,X-X,(0-0),10594.736,1.948,-1.397,PRIMARY_TUPLE_MATCH,1,,0,105947.32849,1.948446,-1.396733,rR1f(30.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,527
308,OH,X-X,(0-0),10598.396,1.950,-1.413,PRIMARY_TUPLE_MATCH,1,,0,105983.84840,1.950295,-1.412792,rR2e(29.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,236
309,OH,X-X,(0-0),10606.805,1.945,-1.397,PRIMARY_TUPLE_MATCH,1,,0,106068.06748,1.945063,-1.397221,rR1e(30.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,64
310,OH,X-X,(0-0),10609.325,1.948,-1.413,PRIMARY_TUPLE_MATCH,1,,0,106092.89243,1.947634,-1.413230,rR2f(29.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,699
311,OH,X-X,(1-1),10688.877,2.539,-1.376,PRIMARY_TUPLE_MATCH,1,,0,106888.47627,2.538638,-1.376142,rR1f(32.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2296
312,OH,X-X,(1-1),10701.276,2.538,-1.390,PRIMARY_TUPLE_MATCH,1,,0,107012.48101,2.537755,-1.390361,rR2f(31.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2438
313,OH,X-X,(0-0),10814.575,1.836,-1.437,PRIMARY_TUPLE_MATCH,1,,0,108145.46868,1.835650,-1.437102,rR2e(28.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,235
314,OH,X-X,(0-0),10823.448,1.831,-1.421,PRIMARY_TUPLE_MATCH,1,,0,108234.13324,1.830511,-1.421069,rR1e(29.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,63
315,OH,X-X,(1-1),10870.026,2.425,-1.398,PRIMARY_TUPLE_MATCH,1,,0,108700.22325,2.424578,-1.396942,rR1f(31.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2295
316,OH,X-X,(1-1),10881.085,2.421,-1.397,PRIMARY_TUPLE_MATCH,1,,0,108810.53576,2.421274,-1.397375,rR1e(31.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,1912
317,OH,X-X,(1-1),10883.667,2.424,-1.412,PRIMARY_TUPLE_MATCH,1,,0,108836.50507,2.423837,-1.411732,rR2f(30.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2437
318,OH,X-X,(0-0),11047.490,1.722,-1.446,PRIMARY_TUPLE_MATCH,1,,0,110474.60358,1.721528,-1.445528,rR1f(28.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,525
319,OH,X-X,(0-0),11061.494,1.718,-1.446,PRIMARY_TUPLE_MATCH,1,,0,110614.49774,1.718425,-1.446071,rR1e(28.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,62
320,OH,X-X,(0-0),11064.799,1.721,-1.463,PRIMARY_TUPLE_MATCH,1,,0,110647.18933,1.721059,-1.463068,rR2f(27.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,697
321,OH,X-X,(1-1),11070.274,2.313,-1.419,PRIMARY_TUPLE_MATCH,1,,0,110702.92054,2.312580,-1.418859,rR1f(30.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2294
322,OH,X-X,(1-1),11074.344,2.314,-1.434,PRIMARY_TUPLE_MATCH,1,,0,110743.47428,2.314490,-1.433801,rR2e(29.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2053
323,OH,X-X,(1-1),11085.245,2.312,-1.434,PRIMARY_TUPLE_MATCH,1,,0,110852.27941,2.311990,-1.434219,rR2f(29.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2436
324,OH,X-X,(0-0),11323.028,1.609,-1.472,PRIMARY_TUPLE_MATCH,1,,0,113229.63545,1.608927,-1.472282,rR1e(27.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,61
325,OH,X-X,(2-2),11402.353,2.763,-1.441,PRIMARY_TUPLE_MATCH,1,,0,114023.42535,2.763191,-1.437835,rR2f(30.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,5259
326,OH,X-X,(1-1),11534.611,2.095,-1.466,PRIMARY_TUPLE_MATCH,1,,0,115346.21729,2.095286,-1.466197,rR1f(28.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2292
327,OH,X-X,(1-1),11539.869,2.097,-1.482,PRIMARY_TUPLE_MATCH,1,,0,115398.72603,2.097289,-1.482282,rR2e(27.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2051
328,OH,X-X,(1-1),11552.520,2.095,-1.483,PRIMARY_TUPLE_MATCH,1,,0,115524.84353,2.095021,-1.482747,rR2f(27.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,2434
329,OH,X-X,(0-0),11594.297,1.505,-1.499,PRIMARY_TUPLE_MATCH,1,,0,115942.35188,1.504948,-1.499175,rR1f(26.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,523
330,OH,X-X,(0-0),11600.511,1.507,-1.517,PRIMARY_TUPLE_MATCH,1,,0,116004.24882,1.506999,-1.517329,rR2e(25.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,232
