element,ion,wavelength_air_A,instrument,instrument_provenance,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Ti,I,6599.10572,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),78.41,75.3,voigt,0.0028,False,
Fe,I,6601.12319,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),14.86,15.27,voigt,0.0001,False,
Fe,I,6608.02458,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),24.64,7.41,voigt,0.0056,False,
Fe,I,6609.10929,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),78.8,2.06,voigt,0.0007,False,
Fe,I,6609.67735,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),107.71,29.01,voigt,0.0041,False,
Si,I,6616.12417,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.88,8.33,voigt,0.0001,False,
Sr,I,6617.263,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),32.46,5.19,voigt,0.0,False,
Si,I,6618.45701,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),31.07,5.89,voigt,0.0001,False,
Ca,I,6618.57268,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),25.42,5.42,voigt,0.0001,False,
Ti,I,6622.62218,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),14.8,5.58,voigt,0.0,False,
Si,I,6625.49263,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),31.7,4.11,voigt,0.0003,False,
Fe,I,6627.5434,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),36.56,0.82,voigt,0.0001,False,
Ni,I,6629.64644,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),7.47,3.59,voigt,0.0001,False,
Cr,I,6630.01093,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),5.98,0.67,voigt,0.0,False,
Mg,I,6630.833,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),22.99,14.09,voigt,0.0002,False,
Al,I,6631.218,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),34.53,5.43,voigt,0.0002,False,
Fe,I,6633.74824,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),111.69,6.56,voigt,0.0024,False,
Fe,I,6634.10526,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),146.13,9.35,voigt,0.0028,False,
Fe,I,6636.96452,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),13.33,42.69,voigt,0.0008,False,
Si,I,6640.61748,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),47.07,6.92,voigt,0.0007,False,
Cr,I,6643.02501,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),126.96,15.54,voigt,0.007,False,
Fe,I,6644.30495,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),127.73,17.38,voigt,0.0072,False,
Eu,II,6645.127,harps,"inherited: entered via RYA-465 recovery / RYA-102-103 charter force-include; HARPS by lineage, not individually re-verified",6.8,0.29,voigt,0.0,True,blend_flag; hfs_total_ew
Fe,I,6646.93037,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),11.54,1.0,voigt,0.0001,False,
Ni,I,6647.79315,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),26.19,3.14,voigt,0.0002,False,
Fe,I,6653.85087,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),14.61,0.67,voigt,0.0,False,
Ca,I,6657.303,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),18.76,4.98,voigt,0.0,False,
Cr,I,6657.58984,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),18.14,4.14,voigt,0.0,False,
Cr,I,6661.07382,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),24.35,1.4,voigt,0.0001,False,
Si,I,6664.67252,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),69.26,24.99,voigt,0.0085,False,
Ti,I,6665.84924,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),24.43,16.56,voigt,0.0002,False,
Si,I,6668.78887,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),35.51,5.3,voigt,0.0002,False,
Cr,I,6669.28092,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.17,1.66,voigt,0.0002,False,
Fe,I,6671.05172,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),19.09,11.47,voigt,0.0001,False,
Fe,I,6676.86517,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),90.05,26.71,voigt,0.0133,False,
Cr,I,6680.27606,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),8.18,0.92,voigt,0.0001,False,
Fe,I,6682.23672,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.56,6.78,voigt,0.0,False,
Fe,I,6682.38367,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),18.04,3.84,voigt,0.0,False,
Si,I,6682.72762,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),20.0,3.77,voigt,0.0,False,
Ca,I,6688.46882,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),19.0,3.85,voigt,0.0,False,
Fe,I,6692.271,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),24.49,5.01,voigt,0.0001,False,
Al,I,6696.185,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),59.65,2.32,voigt,0.0003,False,
Fe,I,6696.31523,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),59.05,2.31,voigt,0.0003,False,
Fe,I,6697.37618,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),61.27,17.63,voigt,0.0021,False,
Fe,I,6703.56554,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),42.55,9.19,voigt,0.0025,False,
Si,I,6706.97947,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),26.56,78.55,voigt,0.0024,False,
Li,I,6707.84,harps,"inherited: entered via RYA-465 recovery / RYA-102-103 charter force-include; HARPS by lineage, not individually re-verified",1.77,0.33,voigt,0.0,True,ew_below_threshold; blend_flag; NLTE_flag; LTE_lower_bound; hfs_total_ew; CN_blend_possible; upper_limit
Ca,I,6709.8929,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.51,3.35,voigt,0.0002,False,
Fe,I,6713.0455,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),47.39,3.25,voigt,0.0006,False,
Fe,I,6713.19471,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),45.1,3.1,voigt,0.0006,False,
Fe,I,6713.74203,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),28.51,4.48,voigt,0.0018,False,
Ti,I,6716.666,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),123.69,23.23,voigt,0.0105,False,
Fe,I,6717.30174,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),132.03,17.6,voigt,0.004,False,
Fe,I,6717.52516,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),146.13,2.93,voigt,0.0008,False,
Ca,I,6717.681,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),146.26,2.93,voigt,0.0008,False,
Fe,I,6724.64056,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),39.48,39.22,voigt,0.0008,False,
Fe,I,6725.35533,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.27,4.57,voigt,0.0026,False,
Cr,I,6729.72911,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),27.37,4.27,voigt,0.0001,False,
Fe,I,6730.29091,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),6.82,1.64,voigt,0.0002,False,
Cr,I,6734.20023,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),46.68,7.89,voigt,0.0009,False,
Fe,I,6737.26766,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),41.01,13.2,voigt,0.0006,False,
Fe,I,6738.63822,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),70.23,6.63,voigt,0.0006,False,
Ti,I,6739.01434,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),63.63,7.28,voigt,0.0007,False,
Fe,I,6742.86694,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),28.06,2.11,voigt,0.0004,False,
Cr,I,6744.63336,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),25.42,22.79,voigt,0.0006,False,
Fe,I,6745.0998,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),8.83,2.75,voigt,0.0005,False,
Ca,I,6745.2295,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.17,1.21,voigt,0.0002,False,
Ti,I,6745.5441,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),28.94,9.03,voigt,0.0002,False,
Ti,I,6746.333,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),30.8,9.0,voigt,0.0002,False,
S,I,6748.682,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),74.15,87.94,voigt,0.0064,False,
Cr,I,6751.28289,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),66.15,27.14,voigt,0.0078,False,
Fe,I,6753.46338,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),65.13,9.7,voigt,0.0014,False,
S,I,6756.96,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),28.29,2.85,voigt,0.0003,False,
S,I,6757.15,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),22.84,2.45,voigt,0.0003,False,
Fe,I,6763.06085,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),17.13,5.78,voigt,0.0001,False,
Cr,I,6765.34647,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),21.68,4.24,voigt,0.0,False,
Fe,I,6773.35696,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),55.51,12.32,voigt,0.0026,False,
Si,I,6774.81249,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),24.18,4.29,voigt,0.0,False,
Fe,I,6780.91129,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),13.26,8.2,voigt,0.0001,False,
Fe,I,6783.26377,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),51.81,5.83,voigt,0.0002,False,
Ti,II,6785.21766,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),20.63,42.86,voigt,0.0009,False,
Fe,I,6785.74039,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),34.16,12.33,voigt,0.0008,False,
Fe,I,6785.84955,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),36.99,9.21,voigt,0.0007,False,
Fe,I,6786.4249,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),49.93,4.16,voigt,0.0005,False,
Fe,I,6786.85798,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),33.48,1.11,voigt,0.0001,False,
Fe,I,6793.25776,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),48.16,3.4,voigt,0.0002,False,
Fe,I,6801.42614,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),19.61,4.19,voigt,0.0001,False,
Fe,I,6801.86483,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.98,7.24,voigt,0.0002,False,
Fe,I,6803.29513,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),54.89,6.95,voigt,0.0007,False,
Fe,I,6804.27031,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),52.54,2.48,voigt,0.0002,False,
Si,I,6805.57144,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),33.8,38.98,voigt,0.0023,False,
Fe,I,6806.62187,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),41.89,0.57,voigt,0.0,False,
Fe,I,6810.26176,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),57.7,0.68,voigt,0.0,False,
Fe,I,6814.74207,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),29.32,1.53,voigt,0.0002,False,
Fe,I,6816.64582,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),5.79,29.79,voigt,0.0004,False,
Fe,I,6817.78384,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),12.48,14.86,voigt,0.0001,False,
Ni,I,6827.37115,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),61.32,13.97,voigt,0.0035,False,
C,I,6828.12,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),86.03,7.5,voigt,0.0023,False,NLTE_flag
Fe,I,6828.5912,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),71.82,1.22,voigt,0.0002,False,
Fe,I,6835.34934,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.69,4.43,voigt,0.0003,False,
Fe,I,6837.0051,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),13.49,5.5,voigt,0.0009,False,
Fe,I,6839.82951,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),35.97,9.86,voigt,0.0054,False,
Fe,I,6841.33809,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),91.53,6.87,voigt,0.0034,False,
Fe,I,6845.93488,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),20.36,8.93,voigt,0.0001,False,
Fe,I,6847.59624,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),10.6,2.61,voigt,0.0003,False,
Si,I,6848.57994,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),24.56,1.57,voigt,0.0002,False,
Fe,I,6848.8652,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),26.76,1.75,voigt,0.0002,False,
Fe,I,6854.32684,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),116.3,17.56,voigt,0.0048,False,
Fe,I,6854.8228,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),112.47,5.87,voigt,0.0017,False,
Fe,I,6855.16064,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),100.69,2.69,voigt,0.0006,False,
Fe,I,6857.24883,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),30.27,6.72,voigt,0.0039,False,
Fe,I,6860.28253,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),45.9,33.74,voigt,0.0005,False,
Fe,I,6860.94449,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),65.99,51.7,voigt,0.0013,False,
Ti,I,6861.4452,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),87.62,8.51,voigt,0.0012,False,
Fe,I,6862.48,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),38.44,2.44,voigt,0.0006,False,
Fe,I,6864.3109,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),6.47,7.88,voigt,0.001,False,
Mn,I,6867.01357,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),276.35,143.23,gaussian,0.1113,False,
Fe,I,6872.1617,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),205.97,72.14,gaussian,0.1856,False,
Fe,I,6874.09531,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),188.3,66.83,gaussian,0.137,False,
Fe,I,6875.44503,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),207.15,66.81,gaussian,0.1306,False,
Si,I,6876.35917,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),213.21,101.84,gaussian,0.1068,False,
Fe,I,6881.44175,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),59.22,32.32,voigt,0.018,False,
Cr,I,6882.50674,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),50.06,20.0,voigt,0.0274,False,
Fe,I,6897.4389,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),255.53,37.21,gaussian,0.0541,False,
Fe,I,6905.29893,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),255.04,21.05,voigt,0.0295,False,
O,I,6300.304,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),4.45,0.55,voigt,0.0,True,Ni_blend_subtracted; ni_ew_pred=1.000_mA; forbidden_line; NLTE_flag; method=Allende_Prieto+2001
Na,I,6154.225,harps,"inherited: entered via RYA-465 recovery / RYA-102-103 charter force-include; HARPS by lineage, not individually re-verified",44.7,0.94,voigt,0.0,False,RYA-465 unsaturated recovery; REW -5.139; NIST grade A; loggf -1.547 (NIST ASD v5.11 grade A)
Na,I,6160.747,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),61.15,8.33,voigt,0.0015,False,RYA-465 unsaturated recovery; REW -5.003; NIST grade A; loggf -1.246 (NIST ASD v5.11 grade A)
