element,ion,wavelength_air_A,instrument,instrument_provenance,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Cr,I,5238.9608,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),21.47,8.34,voigt,0.0086,False,
Fe,I,5240.63297,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),108.73,163.88,voigt,0.0141,False,
Cr,I,5241.458,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),118.09,108.39,voigt,0.0147,False,
Fe,I,5241.9,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),154.39,83.29,voigt,0.0142,False,
Cr,I,5243.3539,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),212.75,27.24,voigt,0.013,False,
Ni,I,5244.94057,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),58.52,51.98,voigt,0.0068,False,
Ti,I,5246.35315,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),187.0,43.16,voigt,0.0146,False,
Cr,II,5246.7731,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),237.69,26.27,voigt,0.0116,False,
Fe,I,5247.0498,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),91.62,11.1,voigt,0.014,False,
Fe,I,5249.68197,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),271.99,43.79,voigt,0.0157,False,
Fe,I,5250.64535,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),146.65,16.32,voigt,0.0218,False,
Ti,I,5250.92031,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),145.28,12.47,voigt,0.0132,False,
Cr,I,5255.117,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),215.23,15.54,voigt,0.0104,False,
Fe,I,5259.09371,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),64.92,23.47,voigt,0.0025,False,
Ti,I,5259.9728,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),89.95,175.85,voigt,0.0123,False,
Fe,I,5260.1253,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),90.42,27.09,voigt,0.0126,False,
Fe,I,5267.26872,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.4,21.8,gaussian,0.0569,False,
Fe,II,5272.39898,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),246.87,152.82,voigt,0.0297,False,
Fe,I,5273.16321,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),174.77,86.87,voigt,0.0482,False,
Fe,I,5278.57419,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),47.99,102.94,voigt,0.0046,False,
Cr,II,5279.8777,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),132.64,40.18,voigt,0.0196,False,
Fe,I,5281.165,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),290.98,31.66,voigt,0.0178,False,
Fe,I,5281.30449,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),278.94,29.57,voigt,0.0163,False,
Ni,I,5283.91083,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),273.44,13.21,voigt,0.0081,False,
Fe,I,5285.1268,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),37.8,16.7,voigt,0.0305,False,
Ca,II,5285.266,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),141.44,227.14,voigt,0.0276,False,
Mn,I,5289.38672,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),75.47,17.8,voigt,0.0046,False,
Fe,I,5293.0294,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),116.43,33.41,voigt,0.003,False,
Cr,I,5293.37601,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),117.27,63.5,voigt,0.0042,False,
Fe,I,5293.95821,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),41.97,6.1,voigt,0.0043,False,
Ti,I,5300.0105,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),5.93,14.39,voigt,0.0259,False,
Fe,I,5301.31279,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),216.76,33.15,voigt,0.0204,False,
Fe,I,5339.92903,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),39.07,59.51,gaussian,1.4824,False,
Cr,I,5344.7564,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),122.27,50.37,voigt,0.0201,False,
Zr,II,5350.089,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),237.47,49.77,voigt,0.0199,False,
Ti,I,5351.06709,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),94.6,170.75,voigt,0.0144,False,
