element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ew_inversion
Fe,I,6094.3724,kpno_solar_atlas,60.71175520337738,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.709; red_chi2=2.266; n_pix=53; window +/-0.183 A wing-wide from EW 24 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.709,-5.00165619980455,ENGINE-B-NLTE,True,,False
Fe,I,6096.6565,kpno_solar_atlas,47.5985476974896,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.528; red_chi2=1.919; n_pix=67; window +/-0.232 A wing-wide from EW 43 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.528,-5.107498024584437,ENGINE-B-NLTE,True,,False
Fe,I,6098.2432,kpno_solar_atlas,19.967619104634245,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.596; red_chi2=3.175; n_pix=50; window +/-0.175 A wing-wide from EW 21 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.596,-5.484878456554788,ENGINE-B-NLTE,True,,False
Fe,I,6105.1272,kpno_solar_atlas,25.04146212545386,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=8.098; red_chi2=1.105; n_pix=47; window +/-0.163 A wing-wide from EW 16 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",8.098,-5.387035033933496,ENGINE-B-NLTE,True,,False
Fe,I,6127.9058,kpno_solar_atlas,59.23877550834809,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.577; red_chi2=3.555; n_pix=76; window +/-0.264 A wing-wide from EW 55 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.577,-5.014706007688038,ENGINE-B-NLTE,True,,False
Fe,I,6147.8339,kpno_solar_atlas,80.8817107269989,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.561; red_chi2=4.873; n_pix=92; window +/-0.320 A wing-wide from EW 77 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.561,-4.880871796940048,ENGINE-B-NLTE,True,,False
Fe,I,6151.6169,kpno_solar_atlas,57.455790535498444,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.595; red_chi2=4.909; n_pix=74; window +/-0.257 A wing-wide from EW 53 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.595,-5.029655476884631,ENGINE-B-NLTE,True,,False
Fe,I,6157.7275,kpno_solar_atlas,79.12184776032993,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.560; red_chi2=4.6; n_pix=88; window +/-0.306 A wing-wide from EW 72 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.56,-4.891124045072377,ENGINE-B-NLTE,True,,False
Fe,I,6159.3729,kpno_solar_atlas,12.884212470241845,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.570; red_chi2=0.61; n_pix=46; window +/-0.162 A wing-wide from EW 16 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.57,-5.679478619843981,ENGINE-B-NLTE,True,,False
Fe,I,6165.3594,kpno_solar_atlas,70.1701646151597,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.570; red_chi2=4.685; n_pix=71; window +/-0.249 A wing-wide from EW 50 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.57,-4.943805902828593,ENGINE-B-NLTE,True,,False
Fe,I,6173.334,kpno_solar_atlas,77.83837455338383,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.627; red_chi2=7.075; n_pix=90; window +/-0.312 A wing-wide from EW 74 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.627,-4.899326016251961,ENGINE-B-NLTE,True,,False
Fe,I,6180.2018,kpno_solar_atlas,71.53479393159505,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.498; red_chi2=5.293; n_pix=83; window +/-0.293 A wing-wide from EW 66 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.498,-4.9364853257578,ENGINE-B-NLTE,True,,False
Fe,I,6185.6927,kpno_solar_atlas,,SYNTHESIS (VIS) via _fit_synth_flux,,,ENGINE-B-NLTE,False,"NOT-IN-SYNTH-LINELIST: a +/-0.5 dex abundance swing moves the synthetic flux by at most 0.00003. This line is absent from the synthesis line list, or carries a gf too weak to register, so no abundance can be fitted from it. Coverage gap, not a measurement failure.",False
Fe,I,6187.9888,kpno_solar_atlas,58.20347316653239,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.507; red_chi2=2.632; n_pix=73; window +/-0.258 A wing-wide from EW 53 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.507,-5.026600617965048,ENGINE-B-NLTE,True,,False
Fe,I,6216.3553,kpno_solar_atlas,67.0998438773329,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.556; red_chi2=2.65; n_pix=65; window +/-0.234 A wing-wide from EW 44 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.556,-4.966814319209945,ENGINE-B-NLTE,True,,False
Fe,I,6226.7338,kpno_solar_atlas,33.96749256443148,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.565; red_chi2=2.463; n_pix=57; window +/-0.208 A wing-wide from EW 34 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.565,-5.263196810525335,ENGINE-B-NLTE,True,,False
Fe,I,6229.2255,kpno_solar_atlas,48.23963729417013,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.426; red_chi2=4.384; n_pix=65; window +/-0.235 A wing-wide from EW 44 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.426,-5.1110300190047555,ENGINE-B-NLTE,True,,False
Fe,I,6240.6458,kpno_solar_atlas,90.39388678163901,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.541; red_chi2=6.44; n_pix=148; window +/-0.269 A wing-wide from EW 57 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.541,-4.839090473341508,ENGINE-B-NLTE,True,,False
Fe,I,6270.223,kpno_solar_atlas,66.67103159627726,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.494; red_chi2=6.722; n_pix=76; window +/-0.277 A wing-wide from EW 60 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.494,-4.973345811769177,ENGINE-B-NLTE,True,,False
Fe,I,6271.2775,kpno_solar_atlas,31.111466651560267,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.511; red_chi2=1.42; n_pix=55; window +/-0.203 A wing-wide from EW 32 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.511,-5.304435533423157,ENGINE-B-NLTE,True,,False
Fe,I,6279.7443,kpno_solar_atlas,248.35613082535957,SYNTHESIS (VIS) via _fit_synth_flux,,-4.402867075107016,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 121.666 >= 10.0. The fit converged (A=9.140) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,6330.8474,kpno_solar_atlas,38.9167157811517,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=8.030; red_chi2=0.937; n_pix=60; window +/-0.221 A wing-wide from EW 39 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",8.03,-5.2113256627111895,ENGINE-B-NLTE,True,,False
Fe,I,6380.7428,kpno_solar_atlas,57.14407528712136,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.649; red_chi2=4.258; n_pix=71; window +/-0.270 A wing-wide from EW 58 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.649,-5.047900029793262,ENGINE-B-NLTE,True,,False
Fe,I,6383.7149,kpno_solar_atlas,9.873598509769442,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.547; red_chi2=3.02; n_pix=40; window +/-0.154 A wing-wide from EW 13 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.547,-5.81059801943833,ENGINE-B-NLTE,True,,False
Fe,I,6392.5374,kpno_solar_atlas,60.684965849729416,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.597; red_chi2=0.865; n_pix=47; window +/-0.176 A wing-wide from EW 21 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.597,-5.022592165697986,ENGINE-B-NLTE,True,,False
Fe,I,6416.9258,kpno_solar_atlas,43.40608868936885,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.380; red_chi2=1.1; n_pix=61; window +/-0.233 A wing-wide from EW 43 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.38,-5.16977636405328,ENGINE-B-NLTE,True,,False
