separation_A,depth_ratio,noise,catalogue_error_A,realisation,true_ew_A,ew_two_A,ew_one_A,err_two,err_one,interloper_depth,chi2_two,chi2_one
0.02,0.1,0.005,0.01,6,0.03871518746591226,0.03375478790736286,0.04253842013900037,0.12812541752295284,0.09875278729967066,0.07063273751482557,2.6491774337215233e-05,2.6771247389765972e-05
0.02,0.1,0.005,0.01,7,0.03871518746591226,0.0424692963432575,0.042599418788457175,0.0969673433881895,0.10032836147222285,0.0010005786723665565,2.2178157033917218e-05,2.2122060538014007e-05
0.02,0.1,0.005,0.01,8,0.03871518746591226,0.04270997351380238,0.042841303702922426,0.10318395207068105,0.10657616576551794,0.0010000191446265807,2.551147395680807e-05,2.5442410903582588e-05
0.02,0.1,0.005,0.01,9,0.03871518746591226,0.041531176460842326,0.042745836246422,0.07273602891396236,0.10411027414134644,0.009321687857788372,2.5172989836212607e-05,2.5114202186750524e-05
0.02,0.1,0.005,0.01,10,0.03871518746591226,0.04224189490705846,0.04237148362476331,0.09109364236583838,0.09444087445192742,0.0010000862130038163,2.439868433446709e-05,2.433499031449248e-05
0.02,0.1,0.005,0.01,11,0.03871518746591226,0.04154274258077145,0.04235607271661035,0.0730347778206882,0.09404281598542685,0.006259376132056209,2.4108470574574567e-05,2.4049978847636165e-05
0.02,0.1,0.005,0.03,0,0.03871518746591226,0.04226869708722149,0.04240192894430578,0.0917859334773467,0.09522726660279256,0.0010000000020586287,2.536614237074936e-05,2.528846797019641e-05
0.02,0.1,0.005,0.03,1,0.03871518746591226,0.04218162437744785,0.04231484494976423,0.08953687527892518,0.09297791692269032,0.001000944422639869,2.7490116610493796e-05,2.7420102088482092e-05
0.02,0.1,0.005,0.03,2,0.03871518746591226,0.041842788229401524,0.042546604242267506,0.08078485390889659,0.09896417987717904,0.00532217516389801,2.316937543367877e-05,2.313883329694937e-05
0.02,0.1,0.005,0.03,3,0.03871518746591226,0.042028528629468195,0.04272147027652885,0.08558246467160335,0.103480909504675,0.005203470346525139,2.4502677274598234e-05,2.4467245258275743e-05
0.02,0.1,0.005,0.03,4,0.03871518746591226,0.042279386865911914,0.042420275656108286,0.09206204679075473,0.09570115586959935,0.0010528283226576378,2.458323197274696e-05,2.4522006918631815e-05
