src,instr,star,method,target
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.417.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='alf Cen B'),alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.396.fits,CRIRES,A,LABEL-UNVERIFIED(target='alf Cen A'),alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.420.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='alf Cen B'),alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.411.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='alf Cen B'),alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-11-12T13:32:27.598.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='Star S5'),Star S5
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.426.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='alf Cen B'),alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-11-12T13:32:27.604.fits,CRIRES,B,CO-bandhead(0.351) [IR-tentative],Star S5
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-11-12T13:32:27.607.fits,CRIRES,B,CO-bandhead(0.393) [IR-tentative],Star S5
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.405.fits,CRIRES,A,CO-bandhead(0.035) [IR-tentative],alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.393.fits,CRIRES,A,LABEL-UNVERIFIED(target='alf Cen A'),alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.408.fits,CRIRES,A,LABEL-UNVERIFIED(target='alf Cen A'),alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.423.fits,CRIRES,B,CO-bandhead(0.075) [IR-tentative],alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.399.fits,CRIRES,A,LABEL-UNVERIFIED(target='alf Cen A'),alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-11-12T13:32:27.601.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='Star S5'),Star S5
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.402.fits,CRIRES,A,LABEL-UNVERIFIED(target='alf Cen A'),alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.414.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='alf Cen B'),alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/FEROS/ADP.2016-09-20T10:06:32.253.fits,FEROS,REVIEW,LABEL-UNVERIFIED(target='Gl-559') weakCC(A0.36/B0.02),Gl-559
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/FEROS/ADP.2016-09-20T10:06:32.257.fits,FEROS,REVIEW,LABEL-UNVERIFIED(target='Gl-559') weakCC(A0.37/B0.03),Gl-559
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:25.296.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2023-06-01T16:03:04.242.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393029-6049565'),14393029-6049565
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-01-28T20:14:54.034.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:25.536.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-01-28T20:14:54.613.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:26.912.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:26.050.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2023-06-01T16:03:04.243.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393029-6049565'),14393029-6049565
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-01-28T20:14:53.845.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2023-06-01T16:03:04.244.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393029-6049565'),14393029-6049565
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T11:02:39.360.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T11:02:39.233.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:25.816.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-01-28T20:14:53.173.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-04-29T15:30:12.543.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='Alf_Cen_A'),Alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-01-21T01:15:11.872.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='Alf_Cen_A'),Alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:26.435.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:25.372.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:25.722.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T11:02:39.166.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-01-29T00:32:21.278.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2023-06-01T16:03:04.241.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393029-6049565'),14393029-6049565
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:08.390.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:21.433.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:40.813.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:42.227.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:51.813.fits,HARPS,B,spectral-type-CONFIRMED(A0.51/B0.97),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:38.447.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:22.883.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:38.633.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:12.080.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:21.463.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:15.127.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:16.210.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:28.787.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:23.573.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:54.390.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:02.853.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:44.230.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:35.953.fits,HARPS,B,spectral-type-CONFIRMED(A0.52/B0.96),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:40.313.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:44.327.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:39.027.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:21.627.fits,HARPS,B,spectral-type-CONFIRMED(A0.55/B0.91),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:46.793.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:50.193.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:14.730.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:09.637.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:50.693.fits,HARPS,B,spectral-type-CONFIRMED(A0.50/B0.92),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:13.430.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:25.353.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:17.980.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:25.030.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:25.267.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:01.420.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:05.630.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:20.160.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:29.777.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:22.297.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:16.560.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:52.510.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:49.200.fits,HARPS,B,spectral-type-CONFIRMED(A0.55/B0.92),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:29.990.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:33.593.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:13.673.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:19.653.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:32.400.fits,HARPS,B,spectral-type-CONFIRMED(A0.51/B0.97),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:36.067.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:26.903.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:36.227.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:07.203.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:59.803.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:01.013.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:46.590.fits,HARPS,B,spectral-type-CONFIRMED(A0.55/B0.92),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:48.560.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:38.363.fits,HARPS,B,spectral-type-CONFIRMED(A0.51/B0.94),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:55.100.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:39.487.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:57.083.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:38.340.fits,HARPS,B,spectral-type-CONFIRMED(A0.51/B0.97),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:45.233.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:24.287.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:15.590.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:42.880.fits,HARPS,B,spectral-type-CONFIRMED(A0.52/B0.96),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:09.950.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:06.417.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.48),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:12.197.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:36.823.fits,HARPS,B,spectral-type-CONFIRMED(A0.51/B0.95),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:02.373.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:28.983.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:42.927.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:41:19.420.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:43:37.193.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:24.760.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:42:03.163.fits,HARPS,A,spectral-type-CONFIRMED(A0.97/B0.47),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:43.013.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/HARPS/ADP.2014-09-24T09:44:11.147.fits,HARPS,A,spectral-type-CONFIRMED(A1.00/B0.52),HD128620
