src,instr,star,method,target
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:29.643.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210125.1187.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210104.1191.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210115.1188.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210131.1164.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210112.1195.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210127.1156.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210127.1157.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210116.1191.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210131.1165.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210115.1189.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210104.1190.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
