wave_A,klass,A,chi2,synth_depth,obs_depth,n_pix,a_lo,a_hi
12648.741,RAIL,7.4959999999999996,96217.3667736363,0.2720740048374888,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,7.7459999999999996,93610.21021046405,0.31630345584906505,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,7.9959999999999996,91314.0321307736,0.3533137427851367,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,8.245999999999999,89240.10896920228,0.38482878706452606,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,8.495999999999999,87309.4403515984,0.4124270564963268,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,8.995999999999999,83378.22524488968,0.45910566551787935,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,9.495999999999999,78220.20587037544,0.4936887227826686,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,9.995999999999999,71838.47388978329,0.5105315167451163,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,10.495999999999999,66986.13405037728,0.5104553426057782,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,11.495999999999999,64099.82282188759,0.502609082120812,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,12.495999999999999,63800.83578460296,0.5010913994990094,0.35297,152,4.4959999999999996,12.495999999999999
