wave,ew_ref,ew_synth,abundance,status,ratio,n_fe1_in_window,n_neighbours,target_strength,window_strength,predicted_ratio,half_A,corrected_ratio
5618.632,52.7,100.02990426169002,7.521,ok,1.8981006501269453,11,10,1.1188753468873587e-05,2.017007037974241e-05,1.8027093398611638,1.5,1.0529155245144113
5753.122,81.9,92.14643597064996,7.548,ok,1.1251091083107443,8,7,3.9106547865049735e-05,4.7997127462898636e-05,1.2273424805617932,1.5,0.9167034679641712
5855.076,24.8,32.84885497130175,7.413,ok,1.324550603681522,4,3,3.1505221433135683e-06,1.2106525572558187e-05,3.8427044857475985,1.5,0.3446922886196987
5930.18,90.8,143.1262010293428,7.525,ok,1.576279747019194,24,23,5.104610129689959e-05,5.6552849899803905e-05,1.1078779468558313,1.5,1.4227918801820107
6085.258,45.1,22.350205663766456,7.463,ok,0.49556997037176176,4,3,3.132520854055378e-06,3.1827946199942387e-06,1.0160489804477362,1.5,0.48774220525607137
6151.617,50.8,53.50934487092543,7.499,ok,1.0533335604512881,14,13,6.323513061622795e-06,6.420557908608766e-06,1.0153466666456235,1.5,1.0374127330630445
6230.722,151.9,191.87769425281053,7.487,ok,1.2631842939618863,9,8,0.000305161784266585,0.00031032264460475843,1.016911882824964,1.5,1.242176746379226
6408.017,100.0,118.59778432760928,7.547,ok,1.1859778432760928,9,8,5.80036470819217e-05,5.813371406263512e-05,1.0022423931469295,1.5,1.1833243648298037
6494.98,157.2,325.7447821407421,7.538,ok,2.072167825322787,6,5,0.0004244955881120862,0.00045311812179091933,1.0674271640987596,1.5,1.9412732737341762
6793.258,14.6,22.500781350592256,7.676,ok,1.541149407574812,13,12,1.302911030685455e-06,1.6779230063457702e-06,1.2878262343538707,1.5,1.1967060201627582
4800.649,72.5,128.47959859632547,7.49,ok,1.7721323944320755,15,14,2.2563768869645598e-05,4.3993380220300445e-05,1.9497354575140813,2.0,0.9089091484706083
4977.648,35.8,78.55067782311679,7.521,ok,2.194153011818905,13,12,3.421939676021727e-06,8.091206133565024e-05,23.64508699630756,2.0,0.09279530298034201
4991.268,107.1,118.51282422122806,7.543,ok,1.1065623176585253,16,15,4.682728305426965e-05,5.1548537171427025e-05,1.1008227214823838,2.0,1.0052139150692787
5222.395,25.5,80.11808683000093,7.433,ok,3.1418857580392525,10,9,1.5066791903864721e-06,1.95004985066226e-05,12.94270116096885,2.0,0.24275348082007797
5267.269,33.6,255.24051945489583,7.44,ok,7.596444031395709,15,14,3.866574685858342e-06,0.000999535706504773,258.5067631463288,2.0,0.029385861858847038
