true_star,instrument,src_folder,raw_object,norm_reason,file,date_obs,exptime,snr35,specsys,sep_arcsec,tight_sep_flag,integrity,src_path
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:19.420.fits,2010-04-04T06:38:24.357,0.9999,175.6,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:19.420.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:15.127.fits,2010-04-04T06:38:57.429,0.9998,171.6,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:15.127.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:02.373.fits,2010-04-04T06:39:30.361,0.9993,154.3,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:02.373.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:14.730.fits,2010-04-04T06:40:03.103,1.0004,177.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:14.730.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:19.653.fits,2010-04-04T06:40:35.975,1.0002,182.6,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:19.653.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:17.980.fits,2010-04-04T06:41:08.987,0.9996,176.4,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:17.980.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:59.803.fits,2010-04-04T06:41:42.369,1.0073,157.7,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:59.803.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:43:13.430.fits,2010-04-04T06:42:15.980,1.0068,154.2,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:43:13.430.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:07.203.fits,2010-04-04T06:42:48.362,0.9994,167.8,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:07.203.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:43:08.307.fits,2010-04-04T06:43:21.004,1.0061,163.4,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:43:08.307.fits
