species,wavelength_air_A,excitation_potential_eV,log_gf,loggf_reference,nist_grade,adjudication_status
Fe II,3376.244,3.9034,-4.106,VALD3,,single_source
Fe II,3380.972,3.8916,-3.543,VALD3,,single_source
Fe II,3381.0,5.5706,-1.693,VALD3,,single_source
Fe II,3381.361,1.6953,-4.115,VALD3,,single_source
Fe II,3382.146,3.9034,-4.674,VALD3,,single_source
Fe II,3386.454,3.9442,-3.311,VALD3,,single_source
Fe II,3386.725,7.1181,-1.905,VALD3,,single_source
Fe II,3387.092,0.2322,-8.554,VALD3,,single_source
Fe II,3387.298,3.9674,-2.748,VALD3,,single_source
Fe II,3388.14,3.9034,-3.182,VALD3,,single_source
Fe II,3390.094,6.8031,-1.75,VALD3,,single_source
Fe II,3391.323,4.1493,-3.096,VALD3,,single_source
Fe II,3391.895,3.9034,-4.198,VALD3,,single_source
Fe II,3393.748,6.807,-2.485,VALD3,,single_source
Fe II,3395.332,4.1536,-2.435,VALD3,,single_source
Fe II,3398.358,4.0761,-2.214,VALD3,,single_source
Fe II,3402.076,4.6156,-4.346,VALD3,,single_source
Fe II,3402.318,4.0803,-3.054,VALD3,,single_source
Fe II,3405.42,7.1181,-2.651,VALD3,,single_source
Fe II,3406.757,3.9442,-2.747,VALD3,,single_source
Fe II,3409.193,3.9034,-3.424,VALD3,,single_source
Fe II,3414.135,3.9442,-4.942,VALD3,,single_source
Fe II,3414.988,7.1283,-2.253,VALD3,,single_source
Fe II,3416.016,2.2764,-3.033,VALD3,,single_source
Fe II,3416.065,2.891,-3.229328634535467,VALD3,,single_source
Fe II,3416.689,5.4841,-3.181,VALD3,,single_source
Fe II,3418.028,4.0803,-5.076,VALD3,,single_source
Fe II,3420.171,3.9442,-3.103,VALD3,,single_source
Fe II,3424.173,4.1493,-3.011,VALD3,,single_source
Fe II,3425.015,4.1536,-4.493,VALD3,,single_source
Fe II,3425.56,6.1381,-3.569,VALD3,,single_source
Fe II,3425.577,1.6706,-3.522,VALD3,,single_source
Fe II,3426.817,4.0803,-3.96,VALD3,,single_source
Fe II,3428.228,5.4841,-2.031,VALD3,,single_source
