line_id,species,ion,our_wavelength,our_EP,our_loggf,our_source,our_gf_tier,our_hfs_n_components,our_lab_source_tag,linemake_matched,linemake_wavelength,linemake_EP,linemake_loggf,delta_loggf,our_loggf_printed,linemake_loggf_printed,agreement_threshold_dex,delta_within_threshold,linemake_primary_source,linemake_reference_class,linemake_source_tag,linemake_source_class,linemake_file,linemake_hfs_expanded,linemake_n_components,hfs_collapse,bulk_counterpart,linemake_readme_caveat,linemake_caveat_wavelength_A,linemake_caveat_tol_A,verdict,ambiguity
gf_093042,Mn II,2.0,5517.755,10.14,-7.205,K09,KURUCZ,1,,False,,,,,-7.205,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093043,Mn II,2.0,5518.145,11.015,-2.79,K09,KURUCZ,1,,False,,,,,-2.79,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093044,Mn II,2.0,5518.355,1.175,-14.7374,K09,KURUCZ,2,,False,,,,,-14.7374,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093045,Mn II,2.0,5518.592,1.175,-15.0497,K09,KURUCZ,2,,False,,,,,-15.0497,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093046,Mn II,2.0,5518.928,10.14,-7.185,K09,KURUCZ,1,,False,,,,,-7.185,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093047,Mn II,2.0,5519.034,6.495,-4.24,K09,KURUCZ,1,,False,,,,,-4.24,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093048,Mn II,2.0,5519.092,11.006,-5.527,K09,KURUCZ,1,,False,,,,,-5.527,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093049,Mn II,2.0,5519.784,10.14,-6.77,K09,KURUCZ,1,,False,,,,,-6.77,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093050,Mn II,2.0,5520.095,1.175,-16.285,K09,KURUCZ,1,,False,,,,,-16.285,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093051,Mn II,2.0,5521.323,6.005,-4.661,K09,KURUCZ,1,,False,,,,,-4.661,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093052,Mn II,2.0,5528.172,10.779,-6.231,K09,KURUCZ,1,,False,,,,,-6.231,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093053,Mn II,2.0,5528.178,6.906,-4.64,K09,KURUCZ,1,,False,,,,,-4.64,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093054,Mn II,2.0,5528.431,10.242,-3.877,K09,KURUCZ,1,,False,,,,,-3.877,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093055,Mn II,2.0,5528.756,10.144,-7.52,K09,KURUCZ,1,,False,,,,,-7.52,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093056,Mn II,2.0,5529.615,10.144,-7.377,K09,KURUCZ,1,,False,,,,,-7.377,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093057,Mn II,2.0,5530.08,1.833,-9.7435,K09,KURUCZ,2,,False,,,,,-9.7435,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093058,Mn II,2.0,5530.168,10.144,-7.493,K09,KURUCZ,1,,False,,,,,-7.493,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093059,Mn II,2.0,5530.328,10.242,-2.535,K09,KURUCZ,1,,False,,,,,-2.535,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093060,Mn II,2.0,5530.661,1.833,-8.1939,K09,KURUCZ,2,,False,,,,,-8.1939,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093061,Mn II,2.0,5538.419,5.52,-10.684,K09,KURUCZ,1,,False,,,,,-10.684,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093062,Mn II,2.0,5540.531,10.633,-6.331,K09,KURUCZ,1,,False,,,,,-6.331,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093063,Mn II,2.0,5541.311,10.15,-6.211,K09,KURUCZ,1,,False,,,,,-6.211,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093064,Mn II,2.0,5547.633,6.186,-4.472,K09,KURUCZ,1,,False,,,,,-4.472,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093065,Mn II,2.0,5548.535,10.153,-7.389,K09,KURUCZ,1,,False,,,,,-7.389,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093066,Mn II,2.0,5550.113,10.153,-6.983,K09,KURUCZ,1,,False,,,,,-6.983,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093067,Mn II,2.0,5556.517,6.177,-2.347,K09,KURUCZ,1,,False,,,,,-2.347,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093068,Mn II,2.0,5557.904,11.216,-7.987,K09,KURUCZ,1,,False,,,,,-7.987,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093069,Mn II,2.0,5558.197,6.906,-4.466,K09,KURUCZ,1,,False,,,,,-4.466,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093070,Mn II,2.0,5559.047,6.185,-1.314,VALD3,VALD3,1,,False,,,,,-1.314,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093071,Mn II,2.0,5560.002,10.255,-3.363,K09,KURUCZ,1,,False,,,,,-3.363,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093072,Mn II,2.0,5561.419,10.255,-2.683,K09,KURUCZ,1,,False,,,,,-2.683,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093073,Mn II,2.0,5561.431,6.186,-2.417,K09,KURUCZ,1,,False,,,,,-2.417,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093074,Mn II,2.0,5566.628,6.495,-3.345,K09,KURUCZ,1,,False,,,,,-3.345,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093075,Mn II,2.0,5567.62,1.848,-8.559,K09,KURUCZ,1,,False,,,,,-8.559,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093076,Mn II,2.0,5568.392,10.782,-6.121,K09,KURUCZ,1,,False,,,,,-6.121,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093077,Mn II,2.0,5568.463,10.258,-3.437,K09,KURUCZ,1,,False,,,,,-3.437,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093078,Mn II,2.0,5569.338,3.907,-10.0483,K09,KURUCZ,2,,False,,,,,-10.0483,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093079,Mn II,2.0,5570.288,4.688,-11.877,K09,KURUCZ,1,,False,,,,,-11.877,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093080,Mn II,2.0,5570.337,11.32,-8.517,K09,KURUCZ,1,,False,,,,,-8.517,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093081,Mn II,2.0,5570.539,6.177,-1.434,K09,KURUCZ,1,,False,,,,,-1.434,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093082,Mn II,2.0,5571.222,11.32,-8.273,K09,KURUCZ,1,,False,,,,,-8.273,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093083,Mn II,2.0,5575.728,6.185,-2.514,K09,KURUCZ,1,,False,,,,,-2.514,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093084,Mn II,2.0,5577.51,6.913,-4.094,K09,KURUCZ,1,,False,,,,,-4.094,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093085,Mn II,2.0,5577.756,6.573,-4.623,K09,KURUCZ,1,,False,,,,,-4.623,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093086,Mn II,2.0,5578.126,6.186,-1.397,K09,KURUCZ,1,,False,,,,,-1.397,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093087,Mn II,2.0,5578.382,10.263,-3.757,K09,KURUCZ,1,,False,,,,,-3.757,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093088,Mn II,2.0,5579.297,10.263,-3.502,K09,KURUCZ,1,,False,,,,,-3.502,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093089,Mn II,2.0,5579.695,1.848,-12.768,K09,KURUCZ,1,,False,,,,,-12.768,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093090,Mn II,2.0,5581.094,3.907,-10.445,K09,KURUCZ,2,,False,,,,,-10.445,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093091,Mn II,2.0,5581.219,3.784,-7.601,K09,KURUCZ,2,,False,,,,,-7.601,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093092,Mn II,2.0,5581.583,4.693,-10.7102,K09,KURUCZ,2,,False,,,,,-10.7102,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093093,Mn II,2.0,5581.845,10.166,-4.282,K09,KURUCZ,1,,False,,,,,-4.282,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093094,Mn II,2.0,5587.801,4.31,-9.9895,K09,KURUCZ,2,,False,,,,,-9.9895,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093095,Mn II,2.0,5588.751,11.045,-2.302,K09,KURUCZ,1,,False,,,,,-2.302,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093096,Mn II,2.0,5590.132,10.657,-5.503,K09,KURUCZ,1,,False,,,,,-5.503,,,False,,,,,,False,,,False,,,,NO_MATCH,
