line_id,species,ion,our_wavelength,our_EP,our_loggf,our_source,our_gf_tier,our_hfs_n_components,our_lab_source_tag,linemake_matched,linemake_wavelength,linemake_EP,linemake_loggf,delta_loggf,our_loggf_printed,linemake_loggf_printed,agreement_threshold_dex,delta_within_threshold,linemake_primary_source,linemake_reference_class,linemake_source_tag,linemake_source_class,linemake_file,linemake_hfs_expanded,linemake_n_components,hfs_collapse,bulk_counterpart,linemake_readme_caveat,linemake_caveat_wavelength_A,linemake_caveat_tol_A,verdict,ambiguity
gf_055336,Fe I,1.0,4427.31,0.052,-3.0443,NIST-C+ T3547,NIST-C+,1,NIST-C+,True,4427.31,0.052,-2.92,-0.12429999999999986,-3.0443,-2.92,0.00505,False,"Ruffoni et al. (2014, MNRAS, 441, 3127); Den Hartog (2014, ApJS, 215, 23); Belmonte et al. (2017, ApJ, 848, 126); O'Brian et al. (1991, JOSAB, 8, 1185)",PRIMARY_LAB,OBR91,PRIMARY_LAB,feI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_070315,Fe II,2.0,5275.997,3.199,-1.8861,NIST-C+ T7589,NIST-C+,1,NIST-C+,True,5276.002,3.2,-2.01,0.12389999999999968,-1.8861,-2.01,0.00505,False,"Den Hartog et al. (2019, ApJS, 243, 33); Meléndez & Barbuy (2009, A&A, 497, 611)",PRIMARY_LAB,MELBAR,PRIMARY_LAB,feII.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_117851,Si I,1.0,6721.848,5.863,-1.062,1993PhyS..,OTHER,1,,True,6721.848,5.8624,-0.94,-0.12200000000000011,-1.062,-0.94,0.0055,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/D,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_057571,Fe I,1.0,5083.338,0.958,-2.959,NIST-C+ T3548,NIST-C+,1,NIST-C+,True,5083.339,0.957,-2.84,-0.11900000000000022,-2.959,-2.84,0.0055,False,"Ruffoni et al. (2014, MNRAS, 441, 3127); Den Hartog (2014, ApJS, 215, 23); Belmonte et al. (2017, ApJ, 848, 126); O'Brian et al. (1991, JOSAB, 8, 1185)",PRIMARY_LAB,OBR91,PRIMARY_LAB,feI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_054105,Fe I,1.0,4139.9267,0.9901,-3.6289,NIST-C+ T3548,NIST-C+,1,NIST-C+,True,4139.927,0.989,-3.51,-0.1189,-3.6289,-3.51,0.00505,False,"Ruffoni et al. (2014, MNRAS, 441, 3127); Den Hartog (2014, ApJS, 215, 23); Belmonte et al. (2017, ApJ, 848, 126); O'Brian et al. (1991, JOSAB, 8, 1185)",PRIMARY_LAB,OBR91,PRIMARY_LAB,feI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_087252,Mg I,1.0,5711.088,4.346,-1.724,NIST ASD v5.12 grade B (RYA-592 re-verified 2026-07-26; fik 6.30e-03 x g_i 3; cf. Pehlivan Rhodin+2017 A&A 598 A102 exp -1.842+/-0.05 / theo -1.742),NIST-C+,1,,True,5711.088,4.346,-1.842,0.1180000000000001,-1.724,-1.842,0.001,False,"Pehlivan Rhodin et al. (2017, A&A, 598, A102)",PRIMARY_LAB,Pehlivan17,PRIMARY_LAB,mgI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_057260,Fe I,1.0,4994.13,0.915,-3.0801,NIST-C+ T3548,NIST-C+,1,NIST-C+,True,4994.13,0.914,-2.97,-0.11009999999999964,-3.0801,-2.97,0.00505,False,"Ruffoni et al. (2014, MNRAS, 441, 3127); Den Hartog (2014, ApJS, 215, 23); Belmonte et al. (2017, ApJ, 848, 126); O'Brian et al. (1991, JOSAB, 8, 1185)",PRIMARY_LAB,OBR91,PRIMARY_LAB,feI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_053183,Fe I,1.0,3940.877,0.9582,-2.5998,NIST-C+ T3548,NIST-C+,1,NIST-C+,True,3940.878,0.957,-2.49,-0.1097999999999999,-2.5998,-2.49,0.00505,False,"Ruffoni et al. (2014, MNRAS, 441, 3127); Den Hartog (2014, ApJS, 215, 23); Belmonte et al. (2017, ApJ, 848, 126); O'Brian et al. (1991, JOSAB, 8, 1185)",PRIMARY_LAB,OBR91,PRIMARY_LAB,feI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_060112,Fe I,1.0,5956.694,0.859,-4.605,NIST ASD v5.11 grade A,NIST-C+,1,NIST-C+,True,5956.693,0.858,-4.5,-0.10500000000000043,-4.605,-4.50,0.0055,False,"Ruffoni et al. (2014, MNRAS, 441, 3127); Den Hartog (2014, ApJS, 215, 23); Belmonte et al. (2017, ApJ, 848, 126); O'Brian et al. (1991, JOSAB, 8, 1185)",PRIMARY_LAB,OBR91,PRIMARY_LAB,feI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_068329,Fe II,2.0,4582.83,2.844,-3.0757,NIST-C+ T7589,NIST-C+,1,NIST-C+,True,4582.835,2.844,-3.18,0.10430000000000028,-3.0757,-3.18,0.00505,False,"Den Hartog et al. (2019, ApJS, 243, 33); Meléndez & Barbuy (2009, A&A, 497, 611)",PRIMARY_LAB,MELBAR,PRIMARY_LAB,feII.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_118246,Si I,1.0,8073.028,6.274,-1.381,K07,KURUCZ,1,,True,8073.03,6.2739,-1.278,-0.10299999999999998,-1.381,-1.278,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/D,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_118240,Si I,1.0,8049.599,6.269,-1.504,K07,KURUCZ,1,,True,8049.6,6.2694,-1.402,-0.10200000000000009,-1.504,-1.402,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/D,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_118060,Si I,1.0,7358.289,6.099,-2.014,K07,KURUCZ,1,,True,7358.29,6.0986,-1.912,-0.10199999999999987,-2.014,-1.912,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_070275,Fe II,2.0,5264.802,3.23,-3.2306,NIST-C+ T7589,NIST-C+,1,NIST-C+,True,5264.812,3.23,-3.13,-0.10060000000000002,-3.2306,-3.13,0.00505,False,"Den Hartog et al. (2019, ApJS, 243, 33); Meléndez & Barbuy (2009, A&A, 497, 611)",PRIMARY_LAB,MELBAR,PRIMARY_LAB,feII.moog,False,1.0,neither,True,,,,DISAGREES_GF,
