line_set,band,species,wavelength_air_A,excitation_potential_eV,gbs_golden,gbs_selected_sun,elow_eV_paper,log_gf_gbs,vdw_abo_gbs,loggf_ref_code_gbs,loggf_ref_gbs_resolved,gf_provenance_gbs,n_methods_ew,n_methods_abund,ew_mA_min,ew_mA_max,ew_mA_mean,rew_min,rew_max,rew_mean,rew_class,our_wavelength_air_A,our_excitation_potential_eV,match_distance_mA,log_gf_ours,loggf_reference_ours,gf_tier_ours,nist_grade_ours,gf_synth_ges,delta_gbs_minus_ours,delta_gbs_minus_ges,telluric_exclusion
gbs,VIS,Fe I,5441.34,4.31,Y,1,4.3120,-1.630,807.278,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,5,28.49,34.10,31.14,-5.2810,-5.2030,-5.2424,pass,5441.3390,4.3130,1.00,-1.6300,MRW,OTHER,,-1.6300,+0.0000,+0.0000,
gbs,VIS,Fe I,5461.55,4.45,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,24.20,26.20,24.97,-5.3535,-5.3190,-5.3400,pass,5461.5500,4.4460,0.00,-1.8000,MRW,OTHER,,-1.8000,,,
gbs,VIS,Fe I,5464.28,4.14,Y,1,4.1430,-1.402,380.250,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,37.50,38.00,37.73,-5.1635,-5.1577,-5.1608,pass,5464.2800,4.1430,0.00,-1.4020,BWL,OTHER,,-1.4020,+0.0000,+0.0000,
gbs,VIS,Fe I,5470.09,4.45,Y,1,4.4460,-1.710,953.280,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,22.80,28.40,25.47,-5.3801,-5.2847,-5.3320,pass,5470.0921,4.4456,2.10,-1.8100,VALD3,VALD3,,,+0.1000,,
gbs,VIS,Fe I,5483.10,4.15,Y,1,4.1540,-1.406,737.241,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,46.10,47.80,47.11,-5.0753,-5.0596,-5.0659,pass,5483.0990,4.1540,1.00,-1.3900,PRIMARY LAB DenHartog2014,LAB,,-1.3920,-0.0160,-0.0140,
gbs,VIS,Fe I,5487.15,4.42,Y,1,4.4150,-1.430,908.279,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,25.70,35.60,31.84,-5.3294,-5.1879,-5.2363,pass,5487.1450,4.4150,5.00,-1.4300,MRW,OTHER,,-1.4300,+0.0000,+0.0000,
gbs,VIS,Fe I,5494.46,4.08,Y,1,4.0760,-1.990,0.000,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,25.54,28.90,27.08,-5.3327,-5.2790,-5.3073,pass,5494.4630,4.0760,3.00,-1.9900,MRW,OTHER,,-1.9900,+0.0000,+0.0000,
gbs,VIS,Fe I,5522.45,4.21,Y,1,4.2090,-1.450,744.215,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,42.20,43.70,42.84,-5.1168,-5.1017,-5.1103,pass,5522.4460,4.2090,4.00,-1.4500,MRW,OTHER,,-1.4500,+0.0000,+0.0000,
gbs,VIS,Fe I,5539.28,3.64,Y,1,3.6420,-2.560,383.260,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,16.10,18.00,17.37,-5.5366,-5.4882,-5.5037,pass,5539.2800,3.6420,0.00,-2.5600,MRW,OTHER,,-2.5600,+0.0000,+0.0000,
gbs,VIS,Fe I,5543.94,4.22,Y,1,4.2170,-1.040,742.238,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,56.70,63.42,60.97,-4.9902,-4.9416,-4.9587,pass,5543.9360,4.2180,4.00,-1.0400,MRW,OTHER,,-1.0400,+0.0000,+0.0000,
gbs,VIS,Fe I,5546.51,4.37,Y,1,4.3710,-1.210,825.278,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,51.60,52.40,52.00,-5.0314,-5.0247,-5.0280,pass,5546.5060,4.3710,4.00,-1.2100,MRW,OTHER,,-1.2100,+0.0000,+0.0000,
gbs,VIS,Fe I,5560.21,4.43,Y,1,4.4340,-1.090,895.278,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,51.20,53.23,51.96,-5.0358,-5.0189,-5.0294,pass,5560.2120,4.4350,2.00,-1.0900,MRW,OTHER,,-1.0900,+0.0000,+0.0000,
gbs,VIS,Fe I,5576.09,3.43,Y,1,3.4300,-0.900,854.232,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,106.20,107.40,106.80,-4.7202,-4.7153,-4.7178,excluded,5576.0890,3.4300,1.00,-1.0000,NIST ASD v5.11 grade A,OTHER,A,-0.9000,+0.1000,+0.0000,
gbs,VIS,Fe I,5587.57,4.14,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,35.40,58.20,43.93,-5.1982,-4.9823,-5.1044,pass,5587.5740,4.1430,4.00,-1.7500,MRW,OTHER,,-1.7500,,,
gbs,VIS,Fe I,5618.63,4.21,Y,1,4.2090,-1.275,732.214,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,50.70,52.13,51.11,-5.0446,-5.0325,-5.0411,pass,5618.6320,4.2090,2.00,-1.2500,PRIMARY LAB DenHartog2014,LAB,,-1.2550,-0.0250,-0.0200,
gbs,VIS,Fe I,5619.60,4.39,Y,1,4.3860,-1.600,808.277,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,34.40,36.40,35.13,-5.2131,-5.1886,-5.2040,pass,5619.5950,4.3870,5.00,-1.6000,MRW,OTHER,,-1.6000,+0.0000,+0.0000,
gbs,VIS,Fe I,5624.02,4.39,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,51.50,52.80,51.93,-5.0382,-5.0274,-5.0346,pass,5624.0220,4.3870,2.00,-1.3800,MRW,OTHER,,-1.3800,,,
gbs,VIS,Fe I,5633.95,4.99,Y,1,4.9910,-0.230,635.270,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,66.00,68.70,67.57,-4.9313,-4.9139,-4.9211,pass,5633.9460,4.9910,4.00,-0.2300,MRW,OTHER,,-0.2300,+0.0000,+0.0000,
gbs,VIS,Fe I,5635.82,4.26,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,33.50,34.20,33.93,-5.2259,-5.2169,-5.2203,pass,5635.8220,4.2560,2.00,-1.7900,MRW,OTHER,,-1.7900,,,
gbs,VIS,Fe I,5636.70,3.64,Y,1,3.6400,-2.510,368.310,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,19.50,20.20,19.98,-5.4610,-5.4457,-5.4505,pass,5636.6960,3.6400,4.00,-2.5100,MRW,OTHER,,-2.5100,+0.0000,+0.0000,
