line_id,species,wavelength_air_A,wavelength_vac_A,EP_eV,our_log_gf,our_tier,match,primary_log_gf,delta_dex,primary_label,primary_source,graded
gf_006275,CH,4256.091,4257.2891,0.1545,-3.415,VALD3,ABSENT,,,,,NO
gf_006276,CH,4256.157,4257.3551,0.371,-3.623,VALD3,UNIQUE,-3.6177,-0.0053,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006277,CH,4256.182,4257.3801,0.9914,-3.401,VALD3,AMBIGUOUS(2),,,,,NO
gf_006278,CH,4256.273,4257.4711,0.3711,-3.607,VALD3,UNIQUE,-3.6019,-0.0051,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006279,CH,4256.828,4258.0263,1.9135,-2.358,VALD3,AMBIGUOUS(2),,,,,NO
gf_006280,CH,4258.474,4259.6727,0.4878,-1.544,VALD3,UNIQUE,-1.5389,-0.0051,R  0.02186,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006281,CH,4258.679,4259.8778,0.9471,-3.424,VALD3,UNIQUE,-1.4440,-1.9800,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006282,CH,4258.7216,4259.9204,0.4873,-1.4927,VALD3,AMBIGUOUS(2),,,,,NO
gf_006283,CH,4258.781,4259.9798,0.9472,-3.398,VALD3,UNIQUE,-3.4204,+0.0224,Q  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006284,CH,4258.925,4260.1238,0.4862,-3.454,VALD3,ABSENT,,,,,NO
gf_006285,CH,4259.087,4260.2859,0.4882,-1.544,VALD3,UNIQUE,-1.5388,-0.0052,R  0.00060,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006286,CH,4259.2819,4260.4808,0.4877,-1.4924,VALD3,AMBIGUOUS(2),,,,,NO
gf_006287,CH,4259.474,4260.6730,0.4865,-3.454,VALD3,ABSENT,,,,,NO
gf_006288,CH,4259.8135,4261.0126,0.9479,-3.1098,VALD3,AMBIGUOUS(2),,,,,NO
gf_006289,CH,4260.01,4261.2091,1.9157,-2.358,VALD3,UNIQUE,-2.3534,-0.0046,P  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006290,CH,4261.218,4262.4174,0.1237,-1.54,VALD3,UNIQUE,-1.5352,-0.0048,R  0.00267,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006291,CH,4261.5201,4262.7196,0.1236,-1.4834,VALD3,AMBIGUOUS(2),,,,,NO
