line_id,species,wavelength_air_A,EP_eV,match,nist_grade,gf_sigma_dex,our_log_gf,nist_log_gf,delta_dex,action
gf_001687,C I,5058.717,8.64,ABSENT,,,-2.673,,,no evidence attached
gf_001688,C I,5059.658,8.537,ABSENT,,,-3.419,,,no evidence attached
gf_001689,C I,5059.834,8.64,ABSENT,,,-2.494,,,no evidence attached
gf_001690,C I,5062.287,8.537,ABSENT,,,-3.731,,,no evidence attached
gf_001691,C I,5063.018,8.643,ABSENT,,,-2.864,,,no evidence attached
gf_001692,C I,5063.929,8.64,ABSENT,,,-2.131,,,no evidence attached
gf_001693,C I,5064.149,8.643,ABSENT,,,-2.572,,,no evidence attached
gf_001694,C I,5064.718,8.643,ABSENT,,,-1.952,,,no evidence attached
gf_001695,C I,5065.268,8.643,ABSENT,,,-3.333,,,no evidence attached
gf_001696,C I,5067.545,8.537,ABSENT,,,-2.783,,,no evidence attached
gf_001697,C I,5068.455,10.395,ABSENT,,,-7.743,,,no evidence attached
gf_001698,C I,5069.166,10.392,ABSENT,,,-8.451,,,no evidence attached
gf_001699,C I,5069.372,8.643,ABSENT,,,-2.818,,,no evidence attached
gf_001700,C I,5073.294,8.647,ABSENT,,,-3.732,,,no evidence attached
gf_001701,C I,5073.845,8.647,ABSENT,,,-2.91,,,no evidence attached
gf_001702,C I,5074.132,8.537,ABSENT,,,-3.667,,,no evidence attached
gf_001703,C I,5076.603,8.537,ABSENT,,,-2.843,,,no evidence attached
gf_001704,C I,5077.963,8.647,ABSENT,,,-4.282,,,no evidence attached
gf_001705,C I,5078.565,8.537,ABSENT,,,-2.773,,,no evidence attached
gf_001706,C I,5078.577,10.4,ABSENT,,,-8.919,,,no evidence attached
gf_001707,C I,5089.64,8.537,ABSENT,,,-2.328,,,no evidence attached
gf_001708,C I,5130.937,10.428,ABSENT,,,-9.985,,,no evidence attached
gf_001709,C I,5131.506,8.64,ABSENT,,,-3.612,,,no evidence attached
gf_001710,C I,5133.288,8.64,ABSENT,,,-3.409,,,no evidence attached
gf_001711,C I,5137.347,8.64,ABSENT,,,-3.855,,,no evidence attached
gf_001712,C I,5137.473,8.643,ABSENT,,,-4.432,,,no evidence attached
gf_001713,C I,5138.881,8.643,ABSENT,,,-3.054,,,no evidence attached
gf_001714,C I,5139.114,8.64,ABSENT,,,-3.38,,,no evidence attached
gf_001715,C I,5139.554,8.643,ABSENT,,,-3.326,,,no evidence attached
gf_001716,C I,5140.911,10.429,ABSENT,,,-9.736,,,no evidence attached
gf_001717,C I,5141.27,8.643,ABSENT,,,-3.063,,,no evidence attached
gf_001718,C I,5142.949,8.643,ABSENT,,,-3.33,,,no evidence attached
gf_001719,C I,5144.362,8.643,ABSENT,,,-2.472,,,no evidence attached
gf_001720,C I,5148.385,8.647,ABSENT,,,-5.368,,,no evidence attached
gf_001721,C I,5150.107,8.647,ABSENT,,,-3.408,,,no evidence attached
gf_001722,C I,5153.21,8.647,ABSENT,,,-2.489,,,no evidence attached
gf_001723,C I,5153.569,8.647,ABSENT,,,-2.187,,,no evidence attached
gf_001724,C I,5154.283,8.64,ABSENT,,,-2.698,,,no evidence attached
gf_001725,C I,5155.099,8.647,ABSENT,,,-1.722,,,no evidence attached
gf_001726,C I,5155.29,8.64,ABSENT,,,-2.664,,,no evidence attached
gf_001727,C I,5155.748,8.64,ABSENT,,,-2.43,,,no evidence attached
