wavelength_air_A,flux_normalized
1.501706497389753895e+04,9.962676054108512425e-01
1.501711702195426369e+04,1.007175163511670801e+00
1.501716906904534881e+04,1.012904222204197957e+00
1.501722111517076155e+04,9.897801254994791353e-01
1.501727316033046372e+04,9.937349912190678314e-01
1.501732520452442441e+04,9.898158084888528663e-01
1.501737724775260722e+04,9.784059171857190096e-01
1.501742929001497214e+04,9.587689579005824747e-01
1.501748133131149007e+04,9.346547534741395102e-01
1.501753337164212098e+04,9.160920466817482621e-01
1.501758541100683215e+04,8.749534497718313153e-01
1.501763744940559081e+04,8.534440494677846267e-01
1.501768948683835515e+04,8.339409886616390155e-01
1.501774152330510151e+04,8.335326300154263235e-01
1.501779355880577714e+04,8.508072664150377884e-01
1.501784559334036203e+04,8.664680493226547542e-01
1.501789762690881616e+04,9.056027145135561174e-01
1.501794965951110498e+04,9.343704942767626642e-01
1.501800169114718665e+04,9.605424627521930159e-01
1.501805372181703569e+04,9.696831092855671130e-01
1.501810575152061210e+04,9.833688045359925134e-01
1.501815778025788131e+04,9.944851511652488263e-01
