canonical_line_id,physical_transition_id,species,ion,wavelength_air_A,medium,excitation_potential_eV,loggf,gf_sigma_dex,nist_grade,gf_tier,source_class,adopted_source,source_doi,source_set_membership,hfs_isotope_status,intake_status,notes
gf_001608,pk_2b9426b2d645,C I,1.0,4893.445,air,7.483,-2.275,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001609,pk_3d39ac586d9b,C I,1.0,4898.642,air,7.488,-2.216,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001610,pk_28e41f52c613,C I,1.0,4898.969,air,8.643,-2.638,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001611,pk_43e89e7523b9,C I,1.0,4900.859,air,10.588,-4.876,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001612,pk_ae3fde818de8,C I,1.0,4903.167,air,7.488,-3.32,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001613,pk_fb0c503e7b09,C I,1.0,4906.992,air,8.647,-2.454,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001614,pk_1935e9761f95,C I,1.0,4909.047,air,8.64,-2.969,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001615,pk_30d01ecd8ec1,C I,1.0,4914.162,air,8.643,-2.938,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001616,pk_0de63e045339,C I,1.0,4914.826,air,8.643,-2.002,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001617,pk_03fe817a1fc2,C I,1.0,4921.404,air,8.537,-3.453,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001618,pk_3f95bd28ca4d,C I,1.0,4922.696,air,8.537,-2.418,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001619,pk_ecb3488cf321,C I,1.0,4922.901,air,8.647,-3.601,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001620,pk_25708fe35c97,C I,1.0,4923.314,air,8.537,-3.742,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001621,pk_11bd8e080a7c,C I,1.0,4926.429,air,8.537,-3.02,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001622,pk_f5ac96d3cc03,C I,1.0,4928.054,air,8.537,-3.627,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001623,pk_9403a8b7ccc3,C I,1.0,4928.257,air,8.64,-1.6,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001624,pk_d80c1577bc24,C I,1.0,4930.274,air,8.64,-1.291,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001625,pk_abc2ca1a91bd,C I,1.0,4932.049,air,7.685,-1.658,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,NIST10,,synth|linelist,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
