species,element,ion,wavelength_air_A,excitation_potential_eV,log_gf,hfs_n_components,reference_code,gf_tier
Fe II,Fe,2,13703.5035,6.7239,-2.364,1,RU,OTHER
C I,C,1,13705.34,7.9463,-2.083,1,VALD3,VALD3
Fe I,Fe,1,13705.5644,5.4759,-3.334,1,K14,KURUCZ
Fe I,Fe,1,13706.1714,5.8517,-2.673,1,K14,KURUCZ
Fe I,Fe,1,13706.1808,6.4534,-2.158,1,K14,KURUCZ
Fe I,Fe,1,13706.5547,5.9303,-2.83,1,K14,KURUCZ
C I,C,1,13708.400000000001,10.0854,-1.838,1,VALD3,VALD3
Mn I,Mn,1,13710.961,5.909,-1.256,1,K07,KURUCZ
Si I,Si,1,13711.352100000002,6.1248,-0.182,1,K07,KURUCZ
Si I,Si,1,13711.858,7.0055,-2.843,1,K07,KURUCZ
Ti I,Ti,1,13712.937600000001,4.2252,-0.473,1,K16,KURUCZ
Fe I,Fe,1,13715.407799999999,5.5496,-3.4,1,K14,KURUCZ
Mn I,Mn,1,13719.119400000001,5.909,-1.113,1,K07,KURUCZ
Fe I,Fe,1,13719.9346,5.8388,-2.797,1,K14,KURUCZ
Ni I,Ni,1,13719.9591,6.0424,-1.74,1,K08,KURUCZ
Fe I,Fe,1,13720.6671,6.4738,-1.73,1,K14,KURUCZ
Fe I,Fe,1,13721.3413,3.283,-5.499,1,K14,KURUCZ
Fe I,Fe,1,13722.1699,6.4258,-2.095,1,K14,KURUCZ
Ni I,Ni,1,13722.4562,6.0091,0.733,1,K08,KURUCZ
C I,C,1,13723.27,9.713,-1.299,1,VALD3,VALD3
K I,K,1,13723.53,3.3968,-1.21,1,KP,OTHER
Si I,Si,1,13724.3514,6.7341,-3.272,1,K07,KURUCZ
Fe I,Fe,1,13728.4467,3.2515,-5.465,1,K14,KURUCZ
Fe I,Fe,1,13729.1556,0.0873,-8.752,1,K14,KURUCZ
Mn I,Mn,1,13729.16769040724,2.9408,-3.2519033229984595,6,VALD3,VALD3
Mn I,Mn,1,13729.330924052269,2.9408,-3.3611951331290064,3,VALD3,VALD3
Mn I,Mn,1,13729.491825675363,2.9408,-3.2520309465378023,2,VALD3,VALD3
Mn I,Mn,1,13729.6898,2.9408,-3.165,1,BRW,OTHER
P I,P,1,13734.92,7.3813,-1.5,1,GUES,OTHER
Si I,Si,1,13736.7279,7.0693,-2.931,1,K07,KURUCZ
Ca I,Ca,1,13736.9562,5.0486,-1.968,1,K07,KURUCZ
Fe I,Fe,1,13738.3777,5.4781,-2.968,1,K14,KURUCZ
Ti I,Ti,1,13739.639,4.2409,-0.24899999999999997,1,K16,KURUCZ
Ni I,Ni,1,13739.9128,6.2881,-0.913,1,K08,KURUCZ
C I,C,1,13741.85,7.9461,-2.074,1,VALD3,VALD3
Fe I,Fe,1,13742.3568,5.9004,-2.781,1,K14,KURUCZ
C I,C,1,13743.93,7.9463,-1.591,1,VALD3,VALD3
Fe I,Fe,1,13745.225,6.409,-2.274,1,K14,KURUCZ
Fe II,Fe,2,13747.474199999999,3.8916,-5.844,1,RU,OTHER
Si I,Si,1,13749.9436,6.8031,-2.896,1,K07,KURUCZ
S I,S,1,13751.189999999999,9.7216,-0.007993662117266218,2,K04,KURUCZ
Si I,Si,1,13751.504,7.0055,-2.393,1,K07,KURUCZ
Si I,Si,1,13751.5229,7.0693,-2.792,1,K07,KURUCZ
Fe I,Fe,1,13752.1452,5.4457,-2.832,1,K14,KURUCZ
Cr I,Cr,1,13752.7411,5.1192,-1.611,1,K16,KURUCZ
Fe I,Fe,1,13755.072399999997,6.427,-2.01,1,K14,KURUCZ
Fe I,Fe,1,13756.2667,6.6061,-2.223,1,K14,KURUCZ
C I,C,1,13756.47,9.9885,-1.246,1,BRW,OTHER
Fe I,Fe,1,13760.6463,6.1751,-2.208,1,K14,KURUCZ
Si I,Si,1,13760.7788,7.0644,-2.318,1,K07,KURUCZ
Si I,Si,1,13762.279100000002,6.191,-1.361,1,K07,KURUCZ
