species,element,ion,wavelength_air_A,excitation_potential_eV,log_gf,hfs_n_components,reference_code,gf_tier
O I,O,1,18229.23,12.3589,-0.849,1,VALD3,VALD3
C I,C,1,18230.6,9.7364,-1.997,1,VALD3,VALD3
C I,C,1,18231.1,9.7364,-1.278,1,VALD3,VALD3
Fe I,Fe,1,18235.3267,6.7699,-2.488,1,K14,KURUCZ
Ni I,Ni,1,18235.9141,6.0982,-2.277,1,K08,KURUCZ
Ni I,Ni,1,18236.0542,6.0982,-1.863,1,K08,KURUCZ
Cr I,Cr,1,18237.825,4.4016,-0.692,1,K16,KURUCZ
Fe I,Fe,1,18241.2626,6.7546,-2.325,1,K14,KURUCZ
O I,O,1,18243.31,12.087,0.491,1,BRW,OTHER
O I,O,1,18243.63,12.087,0.7122737672942234,2,VALD3,VALD3
O I,O,1,18243.84,12.087,0.8561081434407327,2,VALD3,VALD3
Fe I,Fe,1,18245.9767,6.3685,-2.698,1,K14,KURUCZ
Ti I,Ti,1,18246.2698,5.4414,0.15699999999999997,1,K16,KURUCZ
Fe I,Fe,1,18247.7885,6.7091,-2.171,1,K14,KURUCZ
Si I,Si,1,18248.1815,7.1343,-2.344,1,K07,KURUCZ
Si I,Si,1,18250.3168,7.1079,-2.4,1,K07,KURUCZ
Fe I,Fe,1,18250.5967,6.7004,-2.168,1,K14,KURUCZ
Fe I,Fe,1,18258.0429,5.9787,-2.695,1,K14,KURUCZ
Fe I,Fe,1,18258.263,6.6388,-1.899,1,K14,KURUCZ
Fe I,Fe,1,18258.9732,6.6817,-2.358,1,K14,KURUCZ
Cr I,Cr,1,18260.2806,6.0118,-0.462,1,K16,KURUCZ
Ti I,Ti,1,18260.6241,4.9007,0.012000000000000016,1,K16,KURUCZ
Ni I,Ni,1,18261.861627305105,6.098200000000001,-0.6679588859931815,3,K08,KURUCZ
Cr I,Cr,1,18262.1986,6.0205,-0.712,1,K16,KURUCZ
Fe I,Fe,1,18263.1694,6.3327,-2.76,1,K14,KURUCZ
Co I,Co,1,18265.4704,5.5924,-2.141,1,K08,KURUCZ
Co I,Co,1,18265.74311599231,5.5924,-1.1588237530858376,2,K08,KURUCZ
Co I,Co,1,18266.042162629623,5.5924,-1.2923328419545355,2,K08,KURUCZ
Co I,Co,1,18266.297484260704,5.5924000000000005,-1.3651268770951206,3,K08,KURUCZ
Ni I,Ni,1,18266.4797,5.6141,-2.542,1,K08,KURUCZ
Co I,Co,1,18266.51014031358,5.5924000000000005,-1.45223518084253,3,K08,KURUCZ
Co I,Co,1,18266.796779402186,5.5924,-1.1460519959751114,10,K08,KURUCZ
Fe I,Fe,1,18266.9803,6.3803,-2.598,1,K14,KURUCZ
S I,S,1,18267.9349,8.9743,-2.18,1,K04,KURUCZ
Si I,Si,1,18271.9983,6.1248,-2.449,1,K07,KURUCZ
Ni I,Ni,1,18272.8733,6.0995,-2.244,1,K08,KURUCZ
Si I,Si,1,18273.3109,7.3388,-2.833,1,K07,KURUCZ
Ni I,Ni,1,18273.4645,6.2915,-1.339,1,K08,KURUCZ
Ni I,Ni,1,18274.4933,6.1089,0.197,1,K08,KURUCZ
Cr I,Cr,1,18275.118,4.4105,-1.804,1,K16,KURUCZ
Ni I,Ni,1,18276.2238,6.1089,0.433,1,K08,KURUCZ
Cr I,Cr,1,18276.2673,4.4016,-1.505,1,K16,KURUCZ
Ni I,Ni,1,18277.1193,6.2915,-2.029,1,K08,KURUCZ
Ni I,Ni,1,18277.4601,6.1089,-0.403,1,K08,KURUCZ
Fe I,Fe,1,18277.9781,5.9279,-2.796,1,K14,KURUCZ
Ti I,Ti,1,18282.0927,1.7489,-3.387,1,K16,KURUCZ
Cr I,Cr,1,18282.7915,6.7966,-0.2919999999999999,1,K16,KURUCZ
Si I,Si,1,18283.5605,7.1252,-1.771,1,K07,KURUCZ
Si I,Si,1,18284.5035,6.0827,-0.558,1,K07,KURUCZ
Fe I,Fe,1,18287.7413,5.7778,-2.816,1,K14,KURUCZ
Fe I,Fe,1,18287.7781,6.6685,-1.875,1,K14,KURUCZ
Fe I,Fe,1,18292.5799,6.3999,-2.128,1,K14,KURUCZ
K I,K,1,18292.914594165184,3.0649,-1.4669996167841908,9,K12,KURUCZ
Ca I,Ca,1,18293.3129,5.3213,-1.913,1,K07,KURUCZ
Fe I,Fe,1,18293.4569,7.0942,-1.998,1,K14,KURUCZ
Y I,Y,1,18293.651,1.3054,-1.5,1,K06,KURUCZ
Cr I,Cr,1,18295.1642,5.2368,-0.04800000000000003,1,K16,KURUCZ
S I,S,1,18295.9778,9.7248,-0.6283014990561198,2,K04,KURUCZ
Ti I,Ti,1,18298.5196,2.4269,-2.39,1,K16,KURUCZ
Ni I,Ni,1,18298.672166326727,6.0996,-0.8713360081920136,3,K08,KURUCZ
Ca I,Ca,1,18298.7875,5.7409,-1.679,1,K07,KURUCZ
Ni I,Ni,1,18298.8193,6.0995,-0.53,1,K08,KURUCZ
Fe I,Fe,1,18299.0957,6.7395,-2.525,1,K14,KURUCZ
Fe I,Fe,1,18299.9029,6.3705,-2.518,1,K14,KURUCZ
Cr I,Cr,1,18300.1374,5.2368,0.17500000000000002,1,K16,KURUCZ
Ni I,Ni,1,18301.0855,5.4943,-1.691,1,K08,KURUCZ
Ca I,Ca,1,18301.4641,5.0486,-1.181,1,K07,KURUCZ
Ti I,Ti,1,18302.7272,3.6775,-1.406,1,K16,KURUCZ
Cr I,Cr,1,18302.8345,5.2368,0.12999999999999998,1,K16,KURUCZ
Ti I,Ti,1,18302.9986,5.4047,0.276,1,K16,KURUCZ
Fe I,Fe,1,18304.8753,6.756,-1.712,1,K14,KURUCZ
Ni I,Ni,1,18305.4217,6.2927,-1.108,1,K08,KURUCZ
Fe I,Fe,1,18305.7401,6.3705,-2.798,1,K14,KURUCZ
Ca I,Ca,1,18306.8631,5.7412,-0.705,1,K07,KURUCZ
V I,V,1,18308.27771257554,1.9307,-1.9592204371959012,6,K09,KURUCZ
V I,V,1,18308.63358481635,1.9307,-2.256481936125603,9,K09,KURUCZ
V I,V,1,18308.8983,1.9307,-3.725,1,K09,KURUCZ
V I,V,1,18309.0079,1.9307,-3.947,1,K09,KURUCZ
Ni I,Ni,1,18309.0893,6.2927,-0.028000000000000018,1,K08,KURUCZ
V I,V,1,18309.1258,1.9307,-4.357,1,K09,KURUCZ
Fe I,Fe,1,18309.2033,6.3981,-2.961,1,K14,KURUCZ
Ni I,Ni,1,18315.6168,6.0859,-1.568,1,K08,KURUCZ
Si I,Si,1,18318.201,7.1252,-2.853,1,K07,KURUCZ
Ti I,Ti,1,18319.1207,5.4283,0.22200000000000003,1,K16,KURUCZ
Fe I,Fe,1,18319.1643,6.361,-2.616,1,K14,KURUCZ
Ni I,Ni,1,18319.3892,6.1089,-0.834,1,K08,KURUCZ
C I,C,1,18320.7,9.7364,0.288,1,VALD3,VALD3
Fe I,Fe,1,18320.8664,6.756,-2.01,1,K14,KURUCZ
Ti I,Ti,1,18321.1249,4.9149,0.031000000000000014,1,K16,KURUCZ
C I,C,1,18321.4,9.7364,-0.928,1,VALD3,VALD3
Fe I,Fe,1,18321.6655,6.675,-2.188,1,K14,KURUCZ
Ni I,Ni,1,18321.9979,6.1089,0.343,1,K08,KURUCZ
Cr I,Cr,1,18324.913,6.0142,-0.374,1,K16,KURUCZ
Fe I,Fe,1,18329.2202,6.4013,-2.592,1,K14,KURUCZ
Cr I,Cr,1,18335.8496,2.7088,-3.939,1,K16,KURUCZ
Fe I,Fe,1,18336.3204,6.691,-2.182,1,K14,KURUCZ
Si I,Si,1,18340.5959,7.0288,-3.223,1,K07,KURUCZ
Fe I,Fe,1,18341.1578,6.6685,-2.707,1,K14,KURUCZ
Cr I,Cr,1,18341.4136,5.2388,0.39799999999999996,1,K16,KURUCZ
Mg I,Mg,1,18341.804,6.779,-2.46,1,KP,OTHER
Fe I,Fe,1,18344.456,6.6754,-2.63,1,K14,KURUCZ
Fe I,Fe,1,18346.9641,5.7778,-2.691,1,K14,KURUCZ
Cr I,Cr,1,18348.9206,5.2388,0.291,1,K16,KURUCZ
Cr I,Cr,1,18349.2338,6.7949,-0.17000000000000004,1,K16,KURUCZ
Ti I,Ti,1,18349.318,4.2252,-1.47,1,K16,KURUCZ
Fe I,Fe,1,18350.8808,6.4013,-2.472,1,K14,KURUCZ
Ni I,Ni,1,18351.5781,6.0949,-1.371,1,K08,KURUCZ
Fe I,Fe,1,18352.1508,6.6641,-2.426,1,K14,KURUCZ
Fe I,Fe,1,18352.366399999995,6.4106,-2.125,1,K14,KURUCZ
Fe I,Fe,1,18353.2492,5.9307,-3.003,1,K14,KURUCZ
Cr I,Cr,1,18353.9231,5.2388,-0.12800000000000003,1,K16,KURUCZ
Ca I,Ca,1,18355.3047,5.7237,-2.08,1,K07,KURUCZ
Fe I,Fe,1,18356.3798,6.3642,-2.21,1,K14,KURUCZ
Fe I,Fe,1,18357.3135,6.6973,-2.504,1,K14,KURUCZ
Mg I,Mg,1,18358.37,6.5879,-1.688,1,VALD3,VALD3
Fe I,Fe,1,18358.6114,6.7271,-2.336,1,K14,KURUCZ
Ca I,Ca,1,18363.6866,5.2995,-1.814,1,K07,KURUCZ
Ni I,Ni,1,18363.8417,6.1159,-1.657,1,K08,KURUCZ
Fe I,Fe,1,18365.1709,6.6796,-2.219,1,K14,KURUCZ
Fe I,Fe,1,18367.688,5.989,-3.344,1,K14,KURUCZ
Ca I,Ca,1,18369.3688,5.2997,-1.645,1,K07,KURUCZ
Fe I,Fe,1,18369.6827,6.6768,-2.634,1,K14,KURUCZ
Na I,Na,1,18371.12100000647,4.3445,-2.6498518963483986,4,KP,OTHER
Ni I,Ni,1,18372.2044,6.1089,-0.364,1,K08,KURUCZ
Mg I,Mg,1,18374.376,6.5879,-1.45,1,KP,OTHER
Mg I,Mg,1,18374.53,6.5879,-0.502,1,VALD3,VALD3
Fe I,Fe,1,18375.8617,6.1053,-2.5,1,K14,KURUCZ
Mg I,Mg,1,18377.656,6.7262,-1.63,1,KP,OTHER
Fe I,Fe,1,18378.1757,6.5911,-2.023,1,K14,KURUCZ
Ca I,Ca,1,18378.2432,5.3,-1.483,1,K07,KURUCZ
Ti I,Ti,1,18378.6352,4.9007,-0.254,1,K16,KURUCZ
Na I,Na,1,18379.46299363561,4.3448,-2.349893844955223,6,KP,OTHER
Si I,Si,1,18381.6224,7.2297,-1.381,1,K07,KURUCZ
Fe I,Fe,1,18382.7243,6.336,-2.433,1,K14,KURUCZ
Fe II,Fe,2,18383.3395,10.596,-0.513,1,RU,OTHER
Fe I,Fe,1,18383.7046,6.3597,-2.306,1,K14,KURUCZ
Ti I,Ti,1,18384.8743,5.418,-0.008000000000000018,1,K16,KURUCZ
Mg I,Mg,1,18386.579,6.7265,-2.11,1,KP,OTHER
S I,S,1,18387.6099,9.7282,-0.58,1,K04,KURUCZ
Fe I,Fe,1,18387.8737,6.7034,-2.512,1,K14,KURUCZ
Fe I,Fe,1,18387.9143,6.731,-2.42,1,K14,KURUCZ
Mg I,Mg,1,18388.51,6.7827,-2.14,1,KP,OTHER
Fe I,Fe,1,18388.7362,6.7034,-1.932,1,K14,KURUCZ
Fe I,Fe,1,18390.7523,7.0369,-1.713,1,K14,KURUCZ
Fe I,Fe,1,18391.0128,6.3109,-2.788,1,K14,KURUCZ
Fe I,Fe,1,18392.9753,6.5817,-2.114,1,K14,KURUCZ
Fe I,Fe,1,18393.0294,6.3253,-2.534,1,K14,KURUCZ
Fe I,Fe,1,18394.2376,6.3642,-2.163,1,K14,KURUCZ
Fe I,Fe,1,18394.4982,6.9314,-1.673,1,K14,KURUCZ
Cr I,Cr,1,18395.3985,5.2415,0.685,1,K16,KURUCZ
Fe I,Fe,1,18396.3158,6.7246,-2.329,1,K14,KURUCZ
Fe I,Fe,1,18397.1351,7.0266,-1.444,1,K14,KURUCZ
Fe II,Fe,2,18397.6124,5.5488,-4.105,1,RU,OTHER
Fe I,Fe,1,18397.6903,6.7151,-2.392,1,K14,KURUCZ
Ni I,Ni,1,18398.1271,6.2169,-1.448,1,K08,KURUCZ
Fe I,Fe,1,18399.0142,6.6658,-2.684,1,K14,KURUCZ
Fe I,Fe,1,18400.0572,6.9316,-2.356,1,K14,KURUCZ
Fe I,Fe,1,18400.1994,6.409,-2.318,1,K14,KURUCZ
Ni I,Ni,1,18400.5076,6.1159,0.252,1,K08,KURUCZ
Ca I,Ca,1,18402.2757,5.7407,-1.642,1,K07,KURUCZ
Fe I,Fe,1,18404.7386,6.7699,-1.942,1,K14,KURUCZ
Fe I,Fe,1,18407.3073,6.3647,-2.745,1,K14,KURUCZ
Ni I,Ni,1,18407.5208,5.4125,-1.15,1,K08,KURUCZ
Ca I,Ca,1,18407.9546,5.7409,-0.968,1,K07,KURUCZ
Ti I,Ti,1,18408.4054,3.709,-1.309,1,K16,KURUCZ
Fe I,Fe,1,18409.0122,6.6671,-2.658,1,K14,KURUCZ
Ti I,Ti,1,18410.069900000002,3.7244,-0.931,1,K16,KURUCZ
Ni I,Ni,1,18411.2193,6.3024,-1.187,1,K08,KURUCZ
Cr I,Cr,1,18413.1114,5.2415,0.17500000000000002,1,K16,KURUCZ
Fe I,Fe,1,18413.7389,5.6477,-3.213,1,K14,KURUCZ
Ti I,Ti,1,18414.0645,3.7159,-1.121,1,K16,KURUCZ
Fe I,Fe,1,18415.8894,6.4149,-2.344,1,K14,KURUCZ
Ca I,Ca,1,18416.1268,5.7412,-1.582,1,K07,KURUCZ
Ni I,Ni,1,18416.8088,6.1141,0.488,1,K08,KURUCZ
Fe I,Fe,1,18418.2847,6.3803,-2.757,1,K14,KURUCZ
Ni I,Ni,1,18418.5664,6.1141,0.4,1,K08,KURUCZ
Ti I,Ti,1,18418.8209,5.4102,-0.10499999999999997,1,K16,KURUCZ
Ni I,Ni,1,18419.3604,6.3027,0.022999999999999975,1,K08,KURUCZ
Fe I,Fe,1,18419.5098,6.3025,-2.923,1,K14,KURUCZ
Ni I,Ni,1,18419.822,6.1141,0.19499999999999998,1,K08,KURUCZ
Cr I,Cr,1,18420.6773,5.2415,-0.556,1,K16,KURUCZ
Si I,Si,1,18422.5782,6.6161,0.32799999999999996,1,K07,KURUCZ
Ca II,Ca,2,18423.1893,10.3475,0.523194888691359,2,K10,KURUCZ
Fe I,Fe,1,18423.4507,5.7421,-2.836,1,K14,KURUCZ
Fe I,Fe,1,18423.5152,6.7091,-2.334,1,K14,KURUCZ
Fe II,Fe,2,18425.7631,7.4726,-2.642,1,RU,OTHER
Ti I,Ti,1,18425.8378,4.9328,0.396,1,K16,KURUCZ
Fe I,Fe,1,18426.0586,6.4013,-2.563,1,K14,KURUCZ
Ni I,Ni,1,18427.5224,5.6141,-1.514,1,K08,KURUCZ
Si I,Si,1,18429.4383,6.6161,-0.649,1,K07,KURUCZ
Fe I,Fe,1,18430.1688,6.6754,-2.192,1,K14,KURUCZ
Fe I,Fe,1,18430.7974,6.4149,-2.921,1,K14,KURUCZ
Fe I,Fe,1,18431.0658,6.7376,-2.463,1,K14,KURUCZ
Ti I,Ti,1,18433.2883,4.4883,-0.756,1,K16,KURUCZ
Fe I,Fe,1,18434.0055,6.6671,-2.548,1,K14,KURUCZ
Ni I,Ni,1,18434.1041,6.3047,-0.04300000000000002,1,K08,KURUCZ
Fe I,Fe,1,18435.1205,5.3448,-3.184,1,K14,KURUCZ
Ti I,Ti,1,18435.2157,4.9149,-0.018,1,K16,KURUCZ
Fe I,Fe,1,18435.2667,5.9665,-2.478,1,K14,KURUCZ
Fe I,Fe,1,18435.3584,6.5798,-1.911,1,K14,KURUCZ
Fe I,Fe,1,18435.429800000005,6.3981,-2.153,1,K14,KURUCZ
Fe I,Fe,1,18436.9632,5.1055,-3.676,1,K14,KURUCZ
Si I,Si,1,18438.4458,7.331,-2.045,1,K07,KURUCZ
Fe I,Fe,1,18440.1191,6.3691,-2.715,1,K14,KURUCZ
Cr I,Cr,1,18442.2961,6.8445,0.05800000000000002,1,K16,KURUCZ
Mg I,Mg,1,18442.756,6.7827,-3.29,1,KP,OTHER
Ti I,Ti,1,18443.1875,4.9328,0.138,1,K16,KURUCZ
Fe I,Fe,1,18445.0114,5.9333,-3.133,1,K14,KURUCZ
Fe I,Fe,1,18446.3217,6.4187,-2.085,1,K14,KURUCZ
Fe I,Fe,1,18446.9072,6.6685,-1.811,1,K14,KURUCZ
Ni I,Ni,1,18449.028,6.3024,0.772,1,K08,KURUCZ
Fe I,Fe,1,18449.0586,5.7778,-3.154,1,K14,KURUCZ
V I,V,1,18449.3684432285,4.607100000000001,0.02805638133253267,12,K09,KURUCZ
Ni I,Ni,1,18450.4682,6.2847,-0.853,1,K08,KURUCZ
Fe I,Fe,1,18450.9041,6.4738,-2.639,1,K14,KURUCZ
C I,C,1,18451.5,10.0557,-1.828,1,VALD3,VALD3
Mn I,Mn,1,18451.85441265734,5.1812,-2.7878831394776356,2,K07,KURUCZ
Mn I,Mn,1,18452.15640542835,5.1812,-2.8500909573704973,3,K07,KURUCZ
Fe I,Fe,1,18452.2595,6.4609,-2.463,1,K14,KURUCZ
Mn I,Mn,1,18452.41618627689,5.1812,-2.922738670989263,3,K07,KURUCZ
Mn I,Mn,1,18452.76414715577,5.1812,-2.64195653602918,8,K07,KURUCZ
Ni I,Ni,1,18453.4721,6.3024,-1.341,1,K08,KURUCZ
Fe I,Fe,1,18453.5742,6.4496,-2.375,1,K14,KURUCZ
Cr I,Cr,1,18456.8687,6.8451,-0.11199999999999997,1,K16,KURUCZ
Ni I,Ni,1,18460.1439,5.6312,-1.535,1,K08,KURUCZ
Fe I,Fe,1,18460.6211,6.7282,-1.742,1,K14,KURUCZ
Fe I,Fe,1,18460.9484,6.3253,-2.333,1,K14,KURUCZ
Ni I,Ni,1,18461.6507,6.3027,0.476,1,K08,KURUCZ
Ni I,Ni,1,18462.4075,6.1141,-0.723,1,K08,KURUCZ
C I,C,1,18464.1,10.0557,-1.352,1,VALD3,VALD3
Ni I,Ni,1,18464.4978,5.5945,-2.205,1,K08,KURUCZ
Ni I,Ni,1,18465.0571,6.1141,-0.93,1,K08,KURUCZ
Na I,Na,1,18465.425895631837,3.6169999999999995,1.0012009072454147,3,VALD3,VALD3
Ni I,Ni,1,18467.4482,6.1159,0.48,1,K08,KURUCZ
Si I,Si,1,18468.2806,6.6161,-2.76,1,K07,KURUCZ
Si I,Si,1,18471.9763,6.6161,-0.567,1,K07,KURUCZ
Fe I,Fe,1,18476.4177,6.3803,-2.275,1,K14,KURUCZ
Fe I,Fe,1,18477.0631,6.691,-1.812,1,K14,KURUCZ
Ni I,Ni,1,18479.4744,6.1165,0.823,1,K08,KURUCZ
Fe I,Fe,1,18479.4983,6.4149,-2.807,1,K14,KURUCZ
Cr I,Cr,1,18479.6828,4.4105,-0.966,1,K16,KURUCZ
Ni I,Ni,1,18480.7418,6.1165,0.02000000000000003,1,K08,KURUCZ
Ti I,Ti,1,18481.2611,5.4102,0.38400000000000006,1,K16,KURUCZ
Ni I,Ni,1,18482.5116,6.1165,0.096,1,K08,KURUCZ
Fe I,Fe,1,18482.5765,5.6158,-3.272,1,K14,KURUCZ
Fe I,Fe,1,18483.5094,6.6417,-2.01,1,K14,KURUCZ
Ni I,Ni,1,18483.776,6.1165,-1.153,1,K08,KURUCZ
Ca I,Ca,1,18484.1758,5.2284,-0.806,1,K07,KURUCZ
Ca I,Ca,1,18485.3515,5.2285,-0.6599655721469326,2,K07,KURUCZ
Ca I,Ca,1,18486.9513,5.2285,-0.5513277926815844,2,K07,KURUCZ
Ca I,Ca,1,18487.6932,5.7407,-1.15,1,K07,KURUCZ
Ni I,Ni,1,18488.3086,6.3024,-1.165,1,K08,KURUCZ
Si I,Si,1,18490.1175,7.166,-2.624,1,K07,KURUCZ
Ni I,Ni,1,18490.4937,6.3024,0.13199999999999998,1,K08,KURUCZ
Fe I,Fe,1,18492.3817,6.3417,-2.52,1,K14,KURUCZ
Ca I,Ca,1,18493.425,5.7409,-1.609,1,K07,KURUCZ
Ti I,Ti,1,18493.5071,3.6908,-1.308,1,K16,KURUCZ
Fe I,Fe,1,18495.2931,5.9715,-2.611,1,K14,KURUCZ
Fe I,Fe,1,18495.4573,6.6641,-1.87,1,K14,KURUCZ
Ni I,Ni,1,18496.5181,6.3027,0.016000000000000035,1,K08,KURUCZ
Fe I,Fe,1,18498.2533,6.3666,-2.088,1,K14,KURUCZ
Ni I,Ni,1,18498.7051,6.3027,-0.754,1,K08,KURUCZ
Fe I,Fe,1,18499.9683,6.7118,-1.759,1,K14,KURUCZ
Ti I,Ti,1,18500.7968,5.2831,-0.11199999999999997,1,K16,KURUCZ
Fe II,Fe,2,18500.9337,5.5488,-4.412,1,RU,OTHER
Fe II,Fe,2,18506.0845,10.3808,-0.369,1,RU,OTHER
C I,C,1,18507.7,10.0557,-1.131,1,VALD3,VALD3
Fe I,Fe,1,18508.1093,6.4167,-2.432,1,K14,KURUCZ
Ni I,Ni,1,18510.2545,6.1159,0.13699999999999998,1,K08,KURUCZ
Mg I,Mg,1,18512.3,6.726,-2.362,1,VALD3,VALD3
Ni I,Ni,1,18512.9179,6.1159,-0.19199999999999998,1,K08,KURUCZ
Ti I,Ti,1,18513.6893,4.9149,-0.07099999999999997,1,K16,KURUCZ
Fe I,Fe,1,18514.2447,6.4167,-2.052,1,K14,KURUCZ
Fe I,Fe,1,18514.2824,6.7453,-2.018,1,K14,KURUCZ
Fe I,Fe,1,18515.945500000005,6.6768,-2.436,1,K14,KURUCZ
Ni I,Ni,1,18516.0518,6.1141,-2.202,1,K08,KURUCZ
Mg I,Mg,1,18516.7,6.7262,-1.884,1,KOH,OTHER
Si I,Si,1,18517.1664,7.2889,-3.002,1,K07,KURUCZ
P I,P,1,18518.964,8.9748,-0.5,1,GUES,OTHER
Cr I,Cr,1,18519.1525,4.4105,-1.346,1,K16,KURUCZ
Fe I,Fe,1,18521.5953,6.675,-2.403,1,K14,KURUCZ
Fe I,Fe,1,18523.3593,6.764,-1.956,1,K14,KURUCZ
C I,C,1,18524.6,9.7364,-0.34,1,VALD3,VALD3
Cr I,Cr,1,18524.9897,6.176,-0.85,1,K16,KURUCZ
C I,C,1,18525.2,9.7364,-0.687,1,VALD3,VALD3
Mg I,Mg,1,18525.7,6.7265,-1.663,1,VALD3,VALD3
Ti I,Ti,1,18526.9568,4.9007,-0.388,1,K16,KURUCZ
Fe I,Fe,1,18527.228,6.7546,-2.285,1,K14,KURUCZ
Ni I,Ni,1,18529.3262,6.1165,-0.588,1,K08,KURUCZ
Fe I,Fe,1,18529.4876,5.6826,-2.893,1,K14,KURUCZ
Ni I,Ni,1,18532.523,5.4471,-2.694,1,K08,KURUCZ
Fe I,Fe,1,18532.7577,5.3484,-3.172,1,K14,KURUCZ
Ni I,Ni,1,18532.7663,5.447,-2.28,1,K08,KURUCZ
Fe I,Fe,1,18535.2179,6.3901,-2.49,1,K14,KURUCZ
Fe I,Fe,1,18536.651,6.6417,-2.382,1,K14,KURUCZ
Fe I,Fe,1,18539.9992,6.409,-2.117,1,K14,KURUCZ
Fe I,Fe,1,18542.7296,5.7421,-3.484,1,K14,KURUCZ
Co I,Co,1,18546.2348,5.3079,-2.948,1,K08,KURUCZ
Co I,Co,1,18546.5503,5.3079,-2.744,1,K08,KURUCZ
Co I,Co,1,18546.6663,5.308,-2.045,1,K08,KURUCZ
Co I,Co,1,18546.895567107586,5.3079,-2.0993328419545354,2,K08,KURUCZ
Co I,Co,1,18547.10946565884,5.3079,-2.2517651861695565,2,K08,KURUCZ
Co I,Co,1,18547.532251187768,5.307907142857145,-1.7502171748164803,14,K08,KURUCZ
C I,C,1,18547.7,9.7364,-0.689,1,VALD3,VALD3
Fe I,Fe,1,18548.9706,6.4534,-2.307,1,K14,KURUCZ
Ca II,Ca,2,18553.008400000002,9.6912,1.481219229974926,3,K10,KURUCZ
Si I,Si,1,18554.2928,6.6192,-0.04300000000000002,1,K07,KURUCZ
Fe I,Fe,1,18559.7076,6.4521,-2.761,1,K14,KURUCZ
Fe I,Fe,1,18560.2383,6.7376,-2.532,1,K14,KURUCZ
Cr I,Cr,1,18561.5167,6.8175,-0.15100000000000002,1,K16,KURUCZ
Fe I,Fe,1,18561.7028,6.6957,-2.077,1,K14,KURUCZ
Fe I,Fe,1,18561.9648,6.4258,-2.518,1,K14,KURUCZ
Ni I,Ni,1,18562.1612,6.0949,-0.713,1,K08,KURUCZ
Ti I,Ti,1,18562.2163,5.2971,-0.318,1,K16,KURUCZ
Fe I,Fe,1,18563.695,6.3327,-2.347,1,K14,KURUCZ
Ni I,Ni,1,18564.1776,6.1159,-0.673,1,K08,KURUCZ
Si I,Si,1,18565.6083,7.1395,-2.078,1,K07,KURUCZ
Ni I,Ni,1,18568.2117,6.1159,-0.741,1,K08,KURUCZ
Si I,Si,1,18568.8877,7.1343,-2.615,1,K07,KURUCZ
Fe I,Fe,1,18569.4741,6.4187,-2.635,1,K14,KURUCZ
Ni I,Ni,1,18569.7155,6.1165,-1.39,1,K08,KURUCZ
Si I,Si,1,18572.0924,7.1395,-0.337,1,K07,KURUCZ
Ni I,Ni,1,18574.073,6.3024,-1.136,1,K08,KURUCZ
Mg II,Mg,2,18574.725,12.8559,0.85,1,KP,OTHER
Mg II,Mg,2,18574.933,12.8559,0.96,1,KP,OTHER
Fe I,Fe,1,18577.5901,6.6844,-2.27,1,K14,KURUCZ
Fe I,Fe,1,18577.8214,6.4534,-2.0,1,K14,KURUCZ
Fe I,Fe,1,18578.1011,6.6119,-2.529,1,K14,KURUCZ
Ti I,Ti,1,18578.1632,5.2971,-0.22499999999999998,1,K16,KURUCZ
Ni I,Ni,1,18578.581,6.3027,-1.119,1,K08,KURUCZ
Ni I,Ni,1,18580.7336,5.4471,-2.514,1,K08,KURUCZ
Ni I,Ni,1,18580.9798,5.447,-2.1,1,K08,KURUCZ
Ni I,Ni,1,18582.3589,6.3027,-1.886,1,K08,KURUCZ
Cr I,Cr,1,18584.4142,4.5745,0.64,1,K16,KURUCZ
Fe I,Fe,1,18584.5213,6.675,-2.01,1,K14,KURUCZ
Fe I,Fe,1,18585.2399,6.4187,-2.422,1,K14,KURUCZ
V I,V,1,18585.456695644185,4.6019,-0.6400309465378022,2,K09,KURUCZ
V I,V,1,18585.64361129618,4.6019,-0.08726488126170283,4,K09,KURUCZ
Fe I,Fe,1,18586.4078,6.4399,-2.275,1,K14,KURUCZ
Fe I,Fe,1,18587.2752,6.4187,-2.415,1,K14,KURUCZ
Ni I,Ni,1,18587.5136,6.0996,-1.583,1,K08,KURUCZ
Ni I,Ni,1,18587.6467,6.0995,-1.169,1,K08,KURUCZ
Fe I,Fe,1,18590.0506,6.4534,-2.652,1,K14,KURUCZ
Ni I,Ni,1,18591.9867,6.0964,-2.247,1,K08,KURUCZ
Fe I,Fe,1,18592.4431,5.6693,-3.528,1,K14,KURUCZ
Fe I,Fe,1,18593.9888,6.4187,-2.499,1,K14,KURUCZ
Si I,Si,1,18594.767,7.0399,-0.703,1,K07,KURUCZ
Ni I,Ni,1,18597.773,6.2832,-1.154,1,K08,KURUCZ
Fe I,Fe,1,18598.2227,6.3327,-2.345,1,K14,KURUCZ
Fe I,Fe,1,18601.1987,6.4405,-2.485,1,K14,KURUCZ
Fe I,Fe,1,18606.5683,6.8024,-2.152,1,K14,KURUCZ
Fe I,Fe,1,18608.6671,6.3647,-2.539,1,K14,KURUCZ
Fe I,Fe,1,18610.3887,6.7106,-2.003,1,K14,KURUCZ
Fe I,Fe,1,18611.0123,5.5869,-3.623,1,K14,KURUCZ
Si I,Si,1,18611.0886,7.0644,-0.721,1,K07,KURUCZ
Ni I,Ni,1,18611.1059,6.1159,0.141,1,K08,KURUCZ
