wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,intensity
4255.89,23496.8479,23490.4373,0.989111
4255.895,23496.8203,23490.4097,0.991239
4255.9,23496.7927,23490.3821,0.992905
4255.905,23496.7651,23490.3545,0.994237
4255.91,23496.7375,23490.3269,0.995333
4255.915,23496.7099,23490.2993,0.996253
4255.92,23496.6823,23490.2717,0.997024
4255.925,23496.6547,23490.2441,0.997651
4255.93,23496.6271,23490.2165,0.998117
4255.935,23496.5995,23490.1889,0.998403
4255.94,23496.5719,23490.1613,0.998492
4255.945,23496.5442,23490.1337,0.998378
4255.95,23496.5166,23490.1061,0.998076
4255.955,23496.489,23490.0785,0.997619
4255.96,23496.4614,23490.0509,0.997064
4255.965,23496.4338,23490.0233,0.99648
4255.97,23496.4062,23489.9957,0.99595
4255.975,23496.3786,23489.9681,0.995558
4255.98,23496.351,23489.9405,0.995381
4255.985,23496.3234,23489.9129,0.995473
4255.99,23496.2958,23489.8853,0.995869
4255.995,23496.2682,23489.8577,0.996568
4256.0,23496.2406,23489.8301,0.997543
4256.005,23496.213,23489.8025,0.998742
4256.01,23496.1854,23489.7749,1.000089
4256.015,23496.1578,23489.7474,1.001502
4256.02,23496.1302,23489.7198,1.002897
4256.025,23496.1026,23489.6922,1.0042
4256.03,23496.075,23489.6646,1.00535
4256.035,23496.0474,23489.637,1.006305
4256.04,23496.0198,23489.6094,1.007037
4256.045,23495.9922,23489.5818,1.007538
4256.05,23495.9646,23489.5542,1.007804
4256.055,23495.937,23489.5266,1.007839
4256.06,23495.9094,23489.499,1.007641
4256.065,23495.8818,23489.4714,1.007214
4256.07,23495.8542,23489.4438,1.00655
4256.075,23495.8266,23489.4162,1.005656
4256.08,23495.799,23489.3886,1.004536
4256.085,23495.7713,23489.361,1.003215
4256.09,23495.7437,23489.3334,1.001725
4256.095,23495.7161,23489.3058,1.000117
4256.1,23495.6885,23489.2782,0.998458
4256.105,23495.6609,23489.2506,0.996811
4256.11,23495.6333,23489.223,0.995255
4256.115,23495.6057,23489.1954,0.993851
4256.12,23495.5781,23489.1679,0.992653
4256.125,23495.5505,23489.1403,0.991699
4256.13,23495.5229,23489.1127,0.991004
4256.135,23495.4953,23489.0851,0.990562
4256.14,23495.4677,23489.0575,0.990351
4256.145,23495.4401,23489.0299,0.990329
4256.15,23495.4125,23489.0023,0.990444
4256.155,23495.3849,23488.9747,0.990635
4256.16,23495.3573,23488.9471,0.990847
4256.165,23495.3297,23488.9195,0.991028
4256.17,23495.3021,23488.8919,0.991146
4256.175,23495.2745,23488.8643,0.991185
4256.18,23495.2469,23488.8367,0.991162
4256.185,23495.2193,23488.8091,0.991113
4256.19,23495.1917,23488.7815,0.9911
4256.195,23495.1641,23488.7539,0.991192
4256.2,23495.1365,23488.7263,0.99146
4256.205,23495.1089,23488.6988,0.991961
4256.21,23495.0813,23488.6712,0.992737
4256.215,23495.0537,23488.6436,0.993791
4256.22,23495.0261,23488.616,0.995103
4256.225,23494.9985,23488.5884,0.996617
4256.23,23494.9709,23488.5608,0.998254
4256.235,23494.9433,23488.5332,0.999919
4256.24,23494.9157,23488.5056,1.001516
4256.245,23494.8881,23488.478,1.002956
4256.25,23494.8605,23488.4504,1.004165
4256.255,23494.8329,23488.4228,1.005093
4256.26,23494.8053,23488.3952,1.005724
4256.265,23494.7777,23488.3676,1.006068
4256.27,23494.7501,23488.34,1.006162
4256.275,23494.7225,23488.3124,1.006063
4256.28,23494.6949,23488.2849,1.005843
4256.285,23494.6673,23488.2573,1.005573
4256.29,23494.6397,23488.2297,1.005322
4256.295,23494.6121,23488.2021,1.005137
4256.3,23494.5845,23488.1745,1.005047
4256.305,23494.5569,23488.1469,1.005059
4256.31,23494.5293,23488.1193,1.005166
4256.315,23494.5017,23488.0917,1.005337
4256.32,23494.4741,23488.0641,1.005537
