wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,solar,atmospheric,total
4257.33789,23488.8568,23482.4483,0.99114,0.9762,0.96719
4257.34766,23488.8029,23482.3944,0.98892,0.97754,0.96645
4257.35693,23488.7517,23482.3433,0.98701,0.976,0.9632
4257.36621,23488.7005,23482.2921,0.98496,0.973,0.95839
4257.37598,23488.6466,23482.2382,0.98208,0.97208,0.95487
4257.38525,23488.5955,23482.1871,0.97781,0.97127,0.95022
4257.39502,23488.5416,23482.1332,0.97449,0.96879,0.94445
4257.4043,23488.4904,23482.082,0.97481,0.96603,0.94083
4257.41406,23488.4365,23482.0282,0.97661,0.96187,0.93685
4257.42334,23488.3853,23481.977,0.97912,0.95509,0.93215
4257.43262,23488.3342,23481.9258,0.98486,0.94731,0.93012
4257.44238,23488.2803,23481.872,0.9902,0.93633,0.92319
4257.45166,23488.2291,23481.8208,0.99152,0.91933,0.90593
4257.46143,23488.1752,23481.7669,0.99336,0.90067,0.88885
4257.4707,23488.1241,23481.7158,0.99488,0.87984,0.86936
4257.47998,23488.0729,23481.6646,0.99192,0.84806,0.83308
4257.48975,23488.019,23481.6107,0.99185,0.81769,0.80057
4257.49902,23487.9678,23481.5596,0.99557,0.82119,0.80767
4257.50879,23487.9139,23481.5057,0.99742,0.85203,0.8425
4257.51807,23487.8627,23481.4545,0.9961,0.873,0.86346
4257.52734,23487.8116,23481.4034,0.99458,0.86803,0.85633
4257.53711,23487.7577,23481.3495,0.99568,0.8494,0.83768
4257.54639,23487.7065,23481.2984,0.99535,0.84435,0.83235
4257.55615,23487.6527,23481.2445,0.99443,0.86006,0.84785
4257.56543,23487.6015,23481.1933,0.9955,0.86847,0.85763
4257.57471,23487.5503,23481.1422,0.99431,0.85622,0.84428
4257.58447,23487.4964,23481.0883,0.99287,0.85376,0.84025
4257.59375,23487.4452,23481.0372,0.99477,0.88281,0.87127
4257.60352,23487.3913,23480.9833,0.99836,0.91509,0.90821
4257.61279,23487.3402,23480.9322,0.99667,0.93057,0.92351
4257.62256,23487.2863,23480.8783,0.99445,0.93824,0.9298
4257.63184,23487.2351,23480.8271,0.9947,0.9459,0.93838
4257.64111,23487.184,23480.776,0.99381,0.95136,0.94364
4257.65088,23487.1301,23480.7221,0.99287,0.95566,0.94707
4257.66016,23487.0789,23480.6709,0.9935,0.96031,0.95219
4257.66992,23487.025,23480.6171,0.99369,0.96214,0.95416
4257.6792,23486.9738,23480.5659,0.99366,0.96128,0.95259
4257.68848,23486.9227,23480.5147,0.99332,0.96186,0.95231
4257.69824,23486.8688,23480.4609,0.99049,0.96406,0.95282
4257.70752,23486.8176,23480.4097,0.98814,0.9645,0.95208
4257.71729,23486.7637,23480.3558,0.99038,0.96238,0.95131
4257.72656,23486.7126,23480.3047,0.99319,0.96087,0.95137
4257.73584,23486.6614,23480.2535,0.99245,0.96127,0.95138
4257.74561,23486.6075,23480.1997,0.99148,0.96078,0.95032
4257.75488,23486.5564,23480.1485,0.99224,0.95872,0.94852
4257.76465,23486.5025,23480.0947,0.99208,0.95701,0.94673
4257.77393,23486.4513,23480.0435,0.99181,0.95301,0.94303
4257.7832,23486.4002,23479.9924,0.99361,0.94537,0.93646
4257.79297,23486.3463,23479.9385,0.99451,0.94119,0.93187
4257.80225,23486.2951,23479.8873,0.99275,0.94307,0.93205
4257.81201,23486.2412,23479.8335,0.99209,0.94269,0.93191
4257.82129,23486.19,23479.7823,0.99322,0.93692,0.92727
4257.83105,23486.1362,23479.7285,0.99311,0.93055,0.91986
4257.84033,23486.085,23479.6773,0.99261,0.9238,0.91181
4257.84961,23486.0338,23479.6262,0.99391,0.91358,0.90246
4257.85938,23485.9799,23479.5723,0.99517,0.89866,0.88811
4257.86865,23485.9288,23479.5212,0.99526,0.87714,0.86548
4257.87842,23485.8749,23479.4673,0.99536,0.84941,0.83646
4257.8877,23485.8237,23479.4161,0.994,0.8159,0.80013
4257.89697,23485.7726,23479.365,0.99208,0.7717,0.75228
4257.90674,23485.7187,23479.3111,0.99393,0.73237,0.71322
4257.91602,23485.6675,23479.2599,0.99031,0.74409,0.72372
4257.92578,23485.6137,23479.2061,0.99142,0.79715,0.78016
4257.93506,23485.5625,23479.155,0.99769,0.83487,0.82446
4257.94434,23485.5113,23479.1038,0.99252,0.8454,0.83069
4257.9541,23485.4575,23479.05,0.9914,0.84582,0.82992
4257.96338,23485.4063,23478.9988,0.99962,0.84067,0.83114
4257.97314,23485.3525,23478.945,0.99764,0.82432,0.81224
4257.98242,23485.3013,23478.8938,0.99242,0.79994,0.78307
4257.9917,23485.2501,23478.8426,0.99809,0.77045,0.75702
4258.00146,23485.1963,23478.7888,0.99388,0.72696,0.70803
4258.01074,23485.1451,23478.7376,0.99368,0.66118,0.63998
4258.02051,23485.0912,23478.6838,0.99348,0.62101,0.59906
4258.02979,23485.04,23478.6326,0.99328,0.59787,0.57574
4258.03955,23484.9862,23478.5788,0.99308,0.55256,0.52914
4258.04883,23484.935,23478.5276,0.99288,0.50024,0.47463
4258.05811,23484.8838,23478.4764,0.99268,0.43968,0.41331
4258.06787,23484.83,23478.4226,0.99248,0.33574,0.31103
4258.07715,23484.7788,23478.3715,0.99228,0.26369,0.24053
4258.08691,23484.725,23478.3176,0.99208,0.33678,0.31288
4258.09619,23484.6738,23478.2665,0.99188,0.47832,0.45313
4258.10547,23484.6226,23478.2153,0.99168,0.5422,0.51703
4258.11523,23484.5688,23478.1615,0.99148,0.55135,0.52604
4258.12451,23484.5176,23478.1103,0.99128,0.55651,0.53021
4258.13428,23484.4637,23478.0565,0.99108,0.49464,0.46855
4258.14355,23484.4126,23478.0053,0.99088,0.39256,0.36799
4258.15283,23484.3614,23477.9542,0.99068,0.40579,0.38172
4258.1626,23484.3075,23477.9003,0.99048,0.54653,0.52215
4258.17188,23484.2563,23477.8491,0.99028,0.67195,0.64906
4258.18164,23484.2025,23477.7953,0.99008,0.73218,0.7126
4258.19092,23484.1513,23477.7442,0.9886,0.78081,0.76256
4258.2002,23484.1002,23477.693,0.99919,0.81662,0.80732
4258.20996,23484.0463,23477.6392,0.99382,0.84651,0.83274
4258.21924,23483.9952,23477.588,0.99193,0.86821,0.85401
4258.229,23483.9413,23477.5342,0.9973,0.88366,0.87561
4258.23828,23483.8901,23477.4831,0.99522,0.89708,0.8874
4258.24805,23483.8363,23477.4292,0.99368,0.9072,0.89621
4258.25732,23483.7851,23477.3781,0.99729,0.91429,0.90742
4258.2666,23483.734,23477.3269,0.99607,0.92066,0.91318
4258.27637,23483.6801,23477.273,0.99346,0.92513,0.91538
4258.28564,23483.629,23477.2219,0.99534,0.92808,0.92071
4258.29541,23483.5751,23477.1681,0.99443,0.93164,0.92365
4258.30469,23483.5239,23477.1169,0.99109,0.9329,0.92097
4258.31396,23483.4728,23477.0658,0.99343,0.93005,0.9197
4258.32373,23483.4189,23477.0119,0.99643,0.92809,0.92063
4258.33301,23483.3677,23476.9608,0.9936,0.92892,0.91894
4258.34277,23483.3139,23476.907,0.99239,0.92846,0.91749
4258.35205,23483.2627,23476.8558,0.99523,0.92565,0.91742
4258.36133,23483.2116,23476.8046,0.99411,0.92041,0.9106
4258.37109,23483.1577,23476.7508,0.99208,0.91037,0.89794
