wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,telluric_ratio
4303.927412,23234.5926,23228.2534,0.86927
4303.936889,23234.5414,23228.2022,0.86222
4303.946366,23234.4903,23228.1511,0.8734
4303.955843,23234.4391,23228.0999,0.89769
4303.96532,23234.388,23228.0488,0.92571
4303.974797,23234.3368,23227.9976,0.94887
4303.984274,23234.2856,23227.9465,0.96401
4303.993751,23234.2345,23227.8954,0.97214
4304.003228,23234.1833,23227.8442,0.97465
4304.012706,23234.1322,23227.7931,0.97416
4304.022183,23234.081,23227.7419,0.97397
4304.03166,23234.0298,23227.6908,0.97327
4304.041137,23233.9787,23227.6396,0.9689
4304.050614,23233.9275,23227.5885,0.96084
4304.060091,23233.8764,23227.5373,0.94895
4304.069568,23233.8252,23227.4862,0.93016
4304.079045,23233.774,23227.435,0.906
4304.088522,23233.7229,23227.3839,0.88518
4304.097999,23233.6717,23227.3328,0.87546
4304.107476,23233.6206,23227.2816,0.87923
4304.116954,23233.5694,23227.2305,0.89393
4304.126431,23233.5183,23227.1793,0.9115
4304.135908,23233.4671,23227.1282,0.92386
4304.145385,23233.4159,23227.077,0.92947
4304.154862,23233.3648,23227.0259,0.9294
4304.164339,23233.3136,23226.9748,0.92298
4304.173816,23233.2625,23226.9236,0.91142
4304.183293,23233.2113,23226.8725,0.89683
4304.19277,23233.1602,23226.8213,0.87778
4304.202247,23233.109,23226.7702,0.85213
4304.211725,23233.0578,23226.719,0.81976
4304.221202,23233.0067,23226.6679,0.77947
4304.230679,23232.9555,23226.6168,0.72939
4304.240156,23232.9044,23226.5656,0.67069
4304.249633,23232.8532,23226.5145,0.61152
4304.25911,23232.8021,23226.4633,0.57247
4304.268587,23232.7509,23226.4122,0.57737
4304.278064,23232.6998,23226.3611,0.62591
4304.287541,23232.6486,23226.3099,0.68969
4304.297018,23232.5975,23226.2588,0.74441
4304.306495,23232.5463,23226.2076,0.78643
4304.315973,23232.4952,23226.1565,0.81699
4304.32545,23232.444,23226.1054,0.8348
4304.334927,23232.3929,23226.0542,0.84091
4304.344404,23232.3417,23226.0031,0.83418
4304.353881,23232.2906,23225.952,0.81417
4304.363358,23232.2394,23225.9008,0.7931
4304.372835,23232.1882,23225.8497,0.78456
4304.382312,23232.1371,23225.7985,0.78723
4304.391789,23232.0859,23225.7474,0.79565
4304.401266,23232.0348,23225.6963,0.80639
4304.410743,23231.9836,23225.6451,0.80757
4304.420221,23231.9325,23225.594,0.79143
4304.429698,23231.8813,23225.5429,0.76974
4304.439175,23231.8302,23225.4917,0.75014
4304.448652,23231.779,23225.4406,0.72169
4304.458129,23231.7279,23225.3895,0.68428
4304.467606,23231.6767,23225.3383,0.65973
4304.477083,23231.6256,23225.2872,0.66058
4304.48656,23231.5745,23225.2361,0.67248
4304.496037,23231.5233,23225.1849,0.67219
4304.505514,23231.4722,23225.1338,0.65833
4304.514992,23231.421,23225.0826,0.66153
4304.524469,23231.3699,23225.0315,0.70644
4304.533946,23231.3187,23224.9804,0.77172
4304.543423,23231.2676,23224.9292,0.81942
4304.5529,23231.2164,23224.8781,0.84399
4304.562377,23231.1653,23224.827,0.85941
4304.571854,23231.1141,23224.7758,0.86974
4304.581331,23231.063,23224.7247,0.87584
4304.590808,23231.0118,23224.6736,0.88004
4304.600285,23230.9607,23224.6225,0.87938
4304.609762,23230.9095,23224.5713,0.87514
4304.61924,23230.8584,23224.5202,0.87633
4304.628717,23230.8072,23224.4691,0.88659
4304.638194,23230.7561,23224.4179,0.90286
4304.647671,23230.705,23224.3668,0.92036
4304.657148,23230.6538,23224.3157,0.93275
4304.666625,23230.6027,23224.2645,0.93828
4304.676102,23230.5515,23224.2134,0.94
4304.685579,23230.5004,23224.1623,0.93597
4304.695056,23230.4492,23224.1111,0.92271
4304.704533,23230.3981,23224.06,0.90193
