# Heiter et al. 2021, A&A 645 A106 (2021A&A...645A.106H) — VizieR J/A+A/645/A106, geslines.dat.
# SUBSET: Element == 'Fe', 4700 <= lambda <= 6900 A; 10 of 24 columns. Rows and values are AS PUBLISHED (RYA-161).
# Source: J_A+A_645_A106_geslines.dat.gz.fits.gz  md5 7dd3239948c2a71716d3158ae847bec3
Element	Ion	Isotope	lambda	loggf	e_loggf	r_loggf	gfflag	synflag	Elow
Fe	1	0	5294.7999	-1.988	0.000	K07	-	-	5.033
Fe	1	0	5295.0638	-3.409	0.000	K07	-	-	4.733
Fe	1	0	5295.3121	-1.590	0.060	MRW	U	Y	4.415
Fe	1	0	5295.5019	-5.163	0.000	K07	-	-	2.692
Fe	2	0	5295.6158	-2.379	0.000	RU	-	-	9.100
Fe	1	0	5295.6534	-1.888	0.000	K07	-	-	5.393
Fe	1	0	5296.0902	-2.674	0.000	K07	-	-	4.301
Fe	1	0	5296.1750	-2.326	0.000	K07	-	-	4.991
Fe	2	0	5296.4199	0.069	0.000	K13	-	-	13.471
Fe	1	0	5296.7477	-6.231	0.000	K07	-	-	3.017
Fe	2	0	5296.8439	-8.385	0.000	K13	-	-	0.352
Fe	1	0	5297.1353	-5.699	0.000	K07	-	-	2.990
Fe	2	0	5297.2498	0.075	0.000	K13	-	-	12.908
Fe	1	0	5297.4002	-3.962	0.000	K07	-	-	5.070
Fe	1	0	5297.4830	-5.150	0.000	K07	-	-	5.371
Fe	1	0	5297.5900	-4.865	0.000	K07	-	-	3.018
Fe	2	0	5297.6299	-2.892	0.000	K13	-	-	9.825
Fe	2	0	5297.6922	-0.973	0.000	K13	-	-	12.909
Fe	2	0	5297.8632	-4.052	0.000	RU	-	-	10.730
Fe	1	0	5297.9634	-5.548	0.000	K07	-	-	4.966
Fe	2	0	5298.0299	-4.537	0.000	RU	-	-	6.729
Fe	1	0	5298.1004	-3.930	0.000	K07	-	-	4.991
Fe	3	0	5298.1142	0.236	0.000	K10	-	-	22.306
Fe	1	0	5298.1692	-3.528	0.000	K07	-	-	5.100
Fe	1	0	5298.2009	-1.148	0.000	K07	-	-	5.033
Fe	1	0	5298.2815	-6.672	0.000	K07	-	-	5.100
Fe	1	0	5298.3214	-2.010	0.000	K07	-	-	5.086
Fe	2	0	5298.3217	-6.013	0.000	K13	-	-	9.825
Fe	2	0	5298.3638	-4.848	0.000	K13	-	-	13.054
Fe	2	0	5298.3745	-1.950	0.000	K13	-	-	13.470
Fe	1	0	5298.4273	-3.865	0.000	K07	-	-	4.415
Fe	1	0	5298.4907	-5.535	0.000	K07	-	-	3.047
Fe	2	0	5298.5896	-5.496	0.000	RU	-	-	6.729
Fe	2	0	5298.5943	-3.897	0.000	K13	-	-	10.853
Fe	1	0	5298.6370	-6.257	0.000	K07	-	-	5.100
Fe	1	0	5298.6382	-7.712	0.000	K07	-	-	5.100
Fe	3	0	5298.6533	-6.248	0.000	K10	-	-	18.270
Fe	2	0	5298.6671	-4.122	0.000	K13	-	-	12.968
Fe	1	0	5298.6679	-3.480	0.000	K07	-	-	4.371
Fe	1	0	5298.6794	-5.058	0.000	K07	-	-	3.415
Fe	2	0	5298.7325	-6.273	0.000	K13	-	-	11.678
Fe	1	0	5298.7758	-2.016	0.081	BWL	Y	-	3.642
Fe	1	0	5298.8530	-1.734	0.000	K07	-	-	4.991
Fe	2	0	5298.8530	-3.525	0.000	RU	-	-	10.731
Fe	2	0	5298.8572	-0.405	0.000	RU	-	-	10.520
Fe	2	0	5298.8873	-10.325	0.000	K13	-	-	2.276
Fe	2	0	5298.8873	-9.939	0.000	K13	-	-	2.276
Fe	2	0	5298.9257	-1.329	0.000	K13	-	-	13.471
Fe	2	0	5298.9336	-0.394	0.000	K13	-	-	13.115
Fe	1	0	5298.9454	-3.447	0.000	K07	-	-	4.913
Fe	2	0	5299.0533	-3.753	0.000	K13	-	-	13.055
Fe	2	0	5299.0606	-2.123	0.000	K13	-	-	12.965
Fe	1	0	5299.4446	-6.156	0.000	K07	-	-	3.984
Fe	2	0	5299.5274	-2.095	0.000	K13	-	-	13.084
Fe	2	0	5299.5985	-4.805	0.000	K13	-	-	12.989
Fe	2	0	5299.7365	-0.210	0.000	K13	-	-	13.113
Fe	3	0	5299.7544	-5.376	0.000	K10	-	-	25.441
Fe	2	0	5299.8533	-1.903	0.000	K13	-	-	12.916
Fe	2	0	5299.8668	-4.661	0.000	RU	-	-	10.758
Fe	3	0	5299.9258	-0.229	0.000	K10	-	-	18.261
Fe	2	0	5300.1568	-6.913	0.000	K13	-	-	11.232
Fe	2	0	5300.1720	-3.797	0.000	K13	-	-	11.678
Fe	2	0	5300.1894	-5.223	0.000	RU	-	-	7.397
Fe	2	0	5300.2484	-5.762	0.000	K13	-	-	11.681
Fe	2	0	5300.2590	-5.800	0.000	RU	-	-	11.232
Fe	2	0	5300.2672	-5.359	0.000	K13	-	-	12.859
Fe	2	0	5300.2816	-5.143	0.000	RU	-	-	11.167
Fe	2	0	5300.3012	-4.061	0.000	K13	-	-	11.681
Fe	2	0	5300.3142	-8.731	0.000	K13	-	-	7.487
Fe	1	0	5300.3653	-2.575	0.000	K07	-	-	4.956
Fe	1	0	5300.4030	-1.650	0.080	MRW	U	Y	4.593
Fe	2	0	5300.4080	-1.892	0.000	K13	-	-	13.084
Fe	3	0	5300.4316	-10.751	0.000	K10	-	-	3.808
Fe	3	0	5300.4316	-9.431	0.000	K10	-	-	3.808
Fe	2	0	5300.4772	-1.327	0.000	K13	-	-	12.965
Fe	2	0	5300.5395	-2.821	0.000	K13	-	-	10.930
Fe	2	0	5300.5837	-0.464	0.000	K13	-	-	13.115
Fe	2	0	5300.6036	-2.360	0.000	K13	-	-	13.084
Fe	3	0	5300.6565	-7.846	0.000	K10	-	-	22.302
Fe	2	0	5300.7059	-3.799	0.000	K13	-	-	12.909
Fe	2	0	5300.7211	-5.484	0.000	RU	-	-	6.730
Fe	2	0	5300.7540	-5.823	0.000	RU	-	-	8.193
Fe	2	0	5300.7987	-1.407	0.000	K13	-	-	13.113
Fe	2	0	5300.8518	-11.852	0.000	K13	-	-	3.230
Fe	2	0	5300.8518	-10.157	0.000	K13	-	-	3.230
Fe	1	0	5300.8644	-2.930	0.000	K07	-	-	4.593
Fe	2	0	5300.8785	-1.880	0.000	K13	-	-	13.469
Fe	2	0	5300.9125	-3.619	0.000	RU	-	-	6.724
Fe	2	0	5300.9235	-4.983	0.000	K13	-	-	13.467
Fe	2	0	5301.0067	-6.433	0.000	K13	-	-	7.487
Fe	2	0	5301.0325	-3.765	0.000	K13	-	-	13.469
Fe	3	0	5301.1118	-5.174	0.000	K10	-	-	20.600
Fe	2	0	5301.1216	-3.231	0.000	K13	-	-	12.946
Fe	2	0	5301.2428	-3.968	0.000	RU	-	-	10.419
Fe	1	0	5301.3134	-2.750	0.000	FMW	-	-	4.387
Fe	2	0	5301.3201	-2.446	0.000	RU	-	-	10.480
Fe	2	0	5301.3966	-3.716	0.000	K13	-	-	12.946
Fe	1	0	5301.8624	-2.650	0.000	K07	-	-	4.913
Fe	1	0	5302.1602	-3.034	0.000	K07	-	-	4.956
Fe	1	0	5302.2975	-3.328	0.000	K07	-	-	4.913
Fe	1	0	5302.3003	-0.738	0.010	BKK+GESHRL14	Y	Y	3.283
Fe	2	0	5302.5376	-0.894	0.000	RU	-	-	10.520
Fe	2	0	5303.3933	-1.534	0.000	RU	-	-	8.185
Fe	1	0	5303.4313	-2.556	0.000	K07	-	-	4.796
Fe	1	0	5303.5349	-2.998	0.000	K07	-	-	4.580
Fe	1	0	5303.9946	-10.521	0.000	K07	-	-	0.087
Fe	1	0	5303.9946	-8.245	0.000	K07	-	-	0.087
Fe	1	0	5304.0698	-8.249	0.000	K07	-	-	0.915
Fe	1	0	5304.1142	-4.925	0.000	K07	-	-	3.929
Fe	2	0	5304.2445	-3.503	0.000	RU	-	-	5.911
Fe	2	0	5304.3985	-4.147	0.000	RU	-	-	6.807
Fe	1	0	5304.7610	-1.836	0.000	K07	-	-	4.988
Fe	2	0	5304.9004	-3.158	0.000	RU	-	-	7.604
Fe	2	0	5305.3122	-3.040	0.000	RU	-	-	7.568
Fe	1	0	5305.4164	-3.547	0.000	K07	-	-	3.635
Fe	2	0	5305.4220	0.859	0.000	K13	-	-	13.521
Fe	1	0	5305.5282	-5.255	0.000	K07	-	-	2.728
Fe	2	0	5306.1823	0.044	0.000	RU	-	-	10.523
Fe	1	0	5306.9640	-2.505	0.000	K07	-	-	5.100
Fe	2	0	5307.0392	-2.947	0.000	RU	-	-	9.112
Fe	1	0	5307.3607	-2.912	0.046	BWL	Y	N	1.608
Fe	2	0	5307.5145	-0.911	0.000	K13	-	-	13.471
Fe	2	0	5307.6405	-3.620	0.000	RU	-	-	10.730
Fe	1	0	5308.0181	-7.014	0.000	K07	-	-	5.070
Fe	2	0	5308.0593	-1.252	0.000	K13	-	-	13.471
Fe	2	0	5308.1069	-2.277	0.000	K13	-	-	12.918
Fe	2	0	5308.1148	-4.847	0.000	K13	-	-	12.968
Fe	2	0	5308.3521	0.550	0.000	K13	-	-	12.909
Fe	3	0	5308.3544	-9.846	0.000	K10	-	-	18.270
Fe	2	0	5308.3811	-3.874	0.000	K13	-	-	10.858
Fe	1	0	5308.4570	-1.949	0.000	K07	-	-	4.796
Fe	3	0	5308.5911	-8.855	0.000	K10	-	-	20.988
Fe	2	0	5308.6340	-5.844	0.000	RU	-	-	10.731
Fe	2	0	5308.6385	-1.786	0.000	RU	-	-	10.520
Fe	1	0	5308.6788	-1.989	0.000	K07	N	U	4.256
Fe	2	0	5308.7031	-4.245	0.000	RU	-	-	8.145
Fe	2	0	5308.7572	-2.123	0.000	K13	-	-	12.947
Fe	2	0	5308.7625	-5.564	0.000	K13	-	-	10.906
Fe	3	0	5308.7659	-4.156	0.000	K10	-	-	17.216
Fe	2	0	5308.8711	-4.792	0.000	RU	-	-	9.576
Fe	2	0	5308.9275	-4.080	0.000	RU	-	-	11.291
Fe	2	0	5308.9387	-0.850	0.000	K13	-	-	13.470
Fe	2	0	5308.9647	-1.352	0.000	K13	-	-	13.521
Fe	2	0	5309.0230	-3.608	0.000	K13	-	-	12.995
Fe	2	0	5309.1358	-2.736	0.000	K13	-	-	12.942
Fe	2	0	5309.1502	-7.681	0.000	K13	-	-	11.930
Fe	2	0	5309.2768	-3.712	0.000	RU	-	-	9.100
Fe	2	0	5309.2898	-3.845	0.000	K13	-	-	9.941
Fe	2	0	5309.2937	-6.249	0.000	K13	-	-	9.830
Fe	2	0	5309.2971	-2.756	0.000	K13	-	-	13.097
Fe	1	0	5309.3510	-4.815	0.000	K07	-	-	5.012
Fe	2	0	5309.5103	-5.056	0.000	K13	-	-	11.874
Fe	1	0	5309.5723	-4.985	0.000	K07	-	-	4.985
Fe	2	0	5309.6166	-3.522	0.000	K13	-	-	10.909
Fe	2	0	5309.7553	-2.556	0.000	K13	-	-	12.916
Fe	2	0	5309.8425	-1.266	0.000	RU	-	-	10.522
Fe	2	0	5309.8729	-0.948	0.000	RU	-	-	10.523
Fe	3	0	5309.9220	0.319	0.000	K10	-	-	22.612
Fe	2	0	5309.9598	-5.119	0.000	K13	-	-	11.740
Fe	2	0	5310.2024	-2.300	0.000	K13	-	-	13.092
Fe	1	0	5310.2151	-4.711	0.000	K07	-	-	4.256
Fe	2	0	5310.2410	-8.599	0.000	K13	-	-	12.940
Fe	2	0	5310.2650	-4.485	0.000	K13	-	-	12.909
Fe	2	0	5310.3028	-4.630	0.000	K13	-	-	12.813
Fe	3	0	5310.3366	-3.345	0.000	K10	-	-	22.746
Fe	2	0	5310.3767	-9.219	0.000	K13	-	-	11.237
Fe	2	0	5310.4371	-5.146	0.000	K13	-	-	10.623
Fe	1	0	5310.4630	-1.693	0.000	K07	N	N	5.086
Fe	2	0	5310.4859	0.104	0.000	K13	-	-	13.521
Fe	2	0	5310.5000	-6.110	0.000	K13	-	-	13.473
Fe	2	0	5310.5090	-4.905	0.000	RU	-	-	11.237
Fe	2	0	5310.6309	-0.608	0.000	RU	-	-	10.480
Fe	2	0	5310.6506	-7.692	0.000	K13	-	-	11.238
Fe	2	0	5310.7770	-5.649	0.000	RU	-	-	11.238
Fe	2	0	5310.8560	-4.251	0.000	RU	-	-	10.452
Fe	3	0	5310.8783	0.067	0.000	K10	-	-	22.304
Fe	2	0	5310.9189	-3.569	0.000	RU	-	-	10.520
Fe	1	0	5310.9988	-8.854	0.000	K07	-	-	5.070
Fe	2	0	5311.0010	-7.149	0.000	K13	-	-	12.776
Fe	2	0	5311.0323	-3.319	0.000	K13	-	-	12.946
Fe	1	0	5311.1314	-8.974	0.000	K07	-	-	5.070
Fe	1	0	5311.1314	-8.142	0.000	K07	-	-	5.070
Fe	2	0	5311.1633	-8.416	0.000	K13	-	-	8.266
Fe	1	0	5311.2346	-7.646	0.000	K07	-	-	5.070
Fe	1	0	5311.2361	-8.796	0.000	K07	-	-	5.070
Fe	2	0	5311.2770	-4.761	0.000	K13	-	-	11.740
Fe	1	0	5311.2990	-2.247	0.000	K07	-	-	5.064
Fe	2	0	5311.3554	-4.272	0.000	K13	-	-	12.995
Fe	1	0	5311.3608	-8.249	0.000	K07	-	-	5.070
Fe	2	0	5311.3901	-4.229	0.000	K13	-	-	11.740
Fe	2	0	5311.9080	-1.023	0.000	RU	-	-	10.545
Fe	1	0	5312.4765	-2.967	0.000	K07	-	-	4.076
Fe	2	0	5313.0991	-0.720	0.000	RU	-	-	10.520
Fe	2	0	5313.1250	-2.087	0.000	RU	-	-	9.130
Fe	1	0	5313.1462	-2.445	0.000	K07	-	-	5.067
Fe	1	0	5313.1578	-4.725	0.000	K07	-	-	4.652
Fe	1	0	5313.4001	-2.937	0.000	K07	-	-	4.584
Fe	1	0	5313.4094	-4.199	0.000	K07	-	-	3.547
Fe	1	0	5313.8138	-3.535	0.000	K07	-	-	4.580
Fe	2	0	5314.0251	-0.892	0.000	RU	-	-	10.480
Fe	1	0	5315.0700	-1.650	0.050	MRW	U	N	4.371
Fe	2	0	5315.0829	-0.418	0.000	RU	-	-	10.545
Fe	1	0	5315.1552	-1.963	0.000	K07	-	-	5.067
Fe	1	0	5315.4579	-1.644	0.000	K07	-	-	5.067
Fe	2	0	5315.5608	-1.458	0.000	RU	-	-	8.230
Fe	1	0	5315.7748	-2.836	0.000	K07	-	-	3.640
Fe	2	0	5315.9907	-1.129	0.000	RU	-	-	10.523
Fe	2	0	5316.2138	0.340	0.000	RU	-	-	10.419
Fe	1	0	5316.4182	-3.115	0.000	K07	-	-	4.988
Fe	2	0	5316.6087	-1.870	0.000	2009A&A...497..611M	Y	Y	3.153
Fe	2	0	5316.7812	-2.740	0.000	2009A&A...497..611M	Y	Y	3.221
Fe	1	0	5316.9308	-1.668	0.000	K07	-	-	5.086
Fe	1	0	5317.1830	-5.606	0.000	K07	-	-	3.017
Fe	1	0	5317.4455	-4.605	0.000	K07	-	-	3.301
Fe	1	0	5317.5142	-2.466	0.000	K07	-	-	5.067
Fe	1	0	5317.5247	-2.462	0.000	K07	-	-	4.143
Fe	2	0	5317.5592	-1.398	0.000	RU	-	-	10.520
Fe	3	0	5317.5762	-6.657	0.000	K10	-	-	22.733
Fe	1	0	5317.5821	-2.720	0.000	K07	-	-	4.473
Fe	2	0	5317.6672	-4.536	0.000	RU	-	-	8.214
Fe	2	0	5317.7332	-3.094	0.000	K13	-	-	12.973
Fe	1	0	5318.0319	-4.078	0.000	K07	-	-	3.018
Fe	2	0	5318.0545	-0.226	0.000	RU	-	-	10.480
Fe	2	0	5318.0944	-3.688	0.000	K13	-	-	13.479
Fe	3	0	5318.1278	-5.449	0.000	K10	-	-	22.616
Fe	2	0	5318.1835	-5.472	0.000	RU	-	-	7.494
Fe	2	0	5318.1878	-2.072	0.000	RU	-	-	10.480
Fe	2	0	5318.2774	-1.947	0.000	RU	-	-	10.523
Fe	1	0	5318.3750	-4.794	0.000	K07	-	-	5.086
Fe	1	0	5318.5887	-4.987	0.000	K07	-	-	5.314
Fe	1	0	5318.7302	-3.286	0.000	K07	-	-	5.033
Fe	2	0	5318.7386	-0.544	0.000	RU	-	-	10.419
Fe	2	0	5318.7386	-5.466	0.000	K13	-	-	11.740
Fe	2	0	5318.7921	-2.346	0.000	K13	-	-	13.092
Fe	2	0	5318.8838	-4.142	0.000	K13	-	-	12.918
Fe	2	0	5318.9107	-5.546	0.000	K13	-	-	11.741
Fe	2	0	5318.9891	-2.384	0.000	K13	-	-	13.092
Fe	1	0	5319.0092	-4.311	0.000	K07	-	-	5.012
Fe	1	0	5319.0355	-1.822	0.000	K07	-	-	4.835
Fe	2	0	5319.1609	-5.665	0.000	RU	-	-	10.560
Fe	3	0	5319.1861	-0.535	0.000	K10	-	-	22.617
Fe	1	0	5319.2107	-2.270	0.090	MRW	-	-	4.076
Fe	2	0	5319.4153	-5.535	0.000	K13	-	-	11.749
Fe	1	0	5319.6072	-2.633	0.000	K07	-	-	4.415
Fe	1	0	5319.6228	-4.227	0.000	K07	-	-	2.990
Fe	2	0	5319.7125	-3.430	0.000	K13	-	-	13.165
Fe	2	0	5319.7524	-5.108	0.000	RU	-	-	8.193
Fe	1	0	5319.7629	-2.594	0.000	K07	-	-	4.956
Fe	2	0	5319.8125	-1.187	0.000	K13	-	-	12.972
Fe	2	0	5319.9002	-3.138	0.000	RU	-	-	7.575
Fe	1	0	5320.0356	-2.440	0.040	MRW	U	U	3.642
Fe	2	0	5320.1462	-7.018	0.000	K13	-	-	11.932
Fe	2	0	5320.1644	0.098	0.000	K13	-	-	12.909
Fe	2	0	5320.2037	-0.941	0.000	K13	-	-	13.145
Fe	2	0	5320.3379	-5.386	0.000	RU	-	-	8.266
Fe	2	0	5320.4367	-2.129	0.000	RU	-	-	9.112
Fe	2	0	5320.4636	-1.978	0.000	RU	-	-	10.523
Fe	2	0	5320.5879	-3.615	0.000	RU	-	-	7.804
Fe	3	0	5320.7573	-1.963	0.000	K10	-	-	23.099
Fe	3	0	5320.7743	-2.627	0.000	K10	-	-	23.171
Fe	3	0	5320.8989	-2.501	0.000	K10	-	-	22.617
Fe	2	0	5321.0883	-2.371	0.000	K13	-	-	12.918
Fe	1	0	5321.1079	-1.089	0.097	BWL	Y	U	4.435
Fe	2	0	5321.1305	-3.491	0.000	K13	-	-	12.954
Fe	2	0	5321.1470	-0.817	0.000	K13	-	-	12.997
Fe	2	0	5321.2515	-6.800	0.000	K13	-	-	10.918
Fe	2	0	5321.3880	-1.751	0.000	K13	-	-	12.947
Fe	1	0	5321.5874	-4.959	0.000	K07	-	-	3.573
Fe	1	0	5321.8353	-2.495	0.000	K07	-	-	3.634
Fe	2	0	5321.8617	0.668	0.000	K13	-	-	13.145
Fe	1	0	5322.0407	-2.802	0.102	BWL	Y	U	2.279
Fe	2	0	5322.2365	-0.547	0.000	RU	-	-	10.455
Fe	1	0	5322.6825	-4.017	0.000	K07	-	-	5.012
Fe	1	0	5323.5087	-4.550	0.000	K07	-	-	2.279
Fe	1	0	5323.7174	-3.615	0.000	K07	-	-	4.584
Fe	2	0	5323.9226	-2.187	0.000	RU	-	-	9.100
Fe	1	0	5324.1787	-0.108	0.017	BKK+2014MNRAS.441.3127R	Y	U	3.211
Fe	2	0	5325.0488	0.222	0.000	K13	-	-	12.972
Fe	2	0	5325.5523	-3.160	0.000	2009A&A...497..611M	Y	U	3.221
Fe	2	0	5325.6930	-3.359	0.000	RU	-	-	6.730
Fe	1	0	5326.0176	-5.393	0.000	K07	-	-	3.415
Fe	1	0	5326.1265	-4.894	0.000	K07	-	-	3.018
Fe	1	0	5326.1424	-2.071	0.041	BK	Y	N	3.573
Fe	1	0	5326.3524	-1.646	0.000	K07	-	-	5.106
Fe	1	0	5326.5604	-5.643	0.000	K07	-	-	2.759
Fe	1	0	5326.7900	-1.319	0.000	K07	N	N	4.415
Fe	1	0	5327.2522	-3.131	0.000	K07	-	-	3.640
Fe	2	0	5327.5443	-0.826	0.000	K13	-	-	13.066
Fe	2	0	5327.5693	-1.500	0.000	K13	-	-	13.145
Fe	2	0	5327.7013	-3.351	0.000	K13	-	-	13.003
Fe	1	0	5327.8577	-2.536	0.000	K07	-	-	4.415
Fe	2	0	5327.8677	-4.670	0.000	K13	-	-	13.148
Fe	2	0	5327.8881	-2.702	0.000	K13	-	-	13.478
Fe	1	0	5328.0386	-1.466	0.012	GESB79b+BWL	Y	-	0.915
Fe	2	0	5328.0889	-7.169	0.000	K13	-	-	12.360
Fe	3	0	5328.2723	-1.773	0.000	K10	-	-	22.620
Fe	1	0	5328.3172	-3.580	0.000	K07	-	-	5.086
Fe	2	0	5328.3368	-4.449	0.000	K13	-	-	11.930
Fe	2	0	5328.3584	-4.674	0.000	K13	-	-	11.746
Fe	2	0	5328.3748	-3.151	0.000	K13	-	-	12.968
Fe	2	0	5328.4160	-4.265	0.000	K13	-	-	11.263
Fe	2	0	5328.4251	-3.513	0.000	RU	-	-	8.608
Fe	2	0	5328.4663	-4.101	0.000	RU	-	-	11.164
Fe	1	0	5328.5313	-1.850	0.041	BWL	Y	-	1.557
Fe	2	0	5328.6387	-6.429	0.000	K13	-	-	11.784
Fe	1	0	5328.6404	-4.955	0.000	K07	-	-	3.960
Fe	2	0	5328.6594	-3.486	0.000	RU	-	-	10.122
Fe	2	0	5328.7120	-3.963	0.000	K13	-	-	13.002
Fe	2	0	5328.7375	-2.925	0.000	K13	-	-	13.479
Fe	1	0	5328.7850	-3.669	0.000	K07	-	-	5.012
Fe	2	0	5328.8992	-4.927	0.000	RU	-	-	9.100
Fe	2	0	5328.9369	-0.939	0.000	RU	-	-	10.531
Fe	1	0	5328.9435	-3.536	0.000	K07	-	-	4.796
Fe	3	0	5329.1244	-0.243	0.000	K10	-	-	24.878
Fe	1	0	5329.1952	-8.802	0.000	K07	-	-	5.305
Fe	2	0	5329.3023	-6.332	0.000	K13	-	-	11.388
Fe	3	0	5329.3517	-2.610	0.000	K10	-	-	22.265
Fe	2	0	5329.3937	-5.519	0.000	K13	-	-	10.459
Fe	1	0	5329.4733	-5.127	0.000	K07	-	-	4.835
Fe	2	0	5329.4844	-4.775	0.000	RU	-	-	9.100
Fe	2	0	5329.5196	-1.855	0.000	K13	-	-	12.845
Fe	1	0	5329.5241	-7.173	0.000	K07	-	-	4.985
Fe	2	0	5329.5304	-4.550	0.000	K13	-	-	13.148
Fe	2	0	5329.6480	-1.340	0.000	RU	-	-	10.448
Fe	3	0	5329.7353	-2.067	0.000	K10	-	-	22.616
Fe	1	0	5329.9111	-9.366	0.000	K07	-	-	5.305
Fe	1	0	5329.9111	-9.173	0.000	K07	-	-	5.305
Fe	3	0	5329.9313	-4.205	0.000	K10	-	-	22.265
Fe	2	0	5329.9603	-7.335	0.000	K13	-	-	10.829
Fe	1	0	5329.9891	-1.196	0.032	BK+BWL	Y	-	4.076
Fe	2	0	5330.0501	-1.845	0.000	K13	-	-	13.003
Fe	2	0	5330.0720	-4.819	0.000	K13	-	-	10.723
Fe	2	0	5330.2522	-7.552	0.000	K13	-	-	11.784
Fe	2	0	5330.2883	-5.614	0.000	K13	-	-	11.784
Fe	2	0	5330.3161	-4.677	0.000	K13	-	-	11.681
Fe	1	0	5330.3417	-3.897	0.000	K07	-	-	4.446
Fe	2	0	5330.3428	-2.512	0.000	K13	-	-	12.982
Fe	3	0	5330.3434	-1.926	0.000	K10	-	-	22.616
Fe	2	0	5330.5216	-5.495	0.000	K13	-	-	12.845
Fe	2	0	5330.6430	-2.562	0.000	K13	-	-	13.097
Fe	2	0	5330.6904	0.518	0.000	K13	-	-	12.845
Fe	2	0	5330.7211	-4.839	0.000	K13	-	-	12.918
Fe	3	0	5330.7328	-0.181	0.000	K10	-	-	22.265
Fe	2	0	5330.7450	-5.652	0.000	RU	-	-	8.175
Fe	3	0	5330.7982	0.017	0.000	K10	-	-	22.617
Fe	2	0	5330.8382	-0.234	0.000	K13	-	-	12.954
Fe	2	0	5330.8940	-4.924	0.000	K13	-	-	11.270
Fe	1	0	5331.0935	-9.182	0.000	K07	-	-	5.319
Fe	3	0	5331.1166	-5.800	0.000	K10	-	-	16.463
Fe	1	0	5331.1964	-5.699	0.000	K07	-	-	3.654
Fe	2	0	5331.2601	-7.321	0.000	K13	-	-	8.035
Fe	2	0	5331.2661	-3.575	0.000	RU	-	-	11.145
Fe	2	0	5331.3707	-5.579	0.000	K13	-	-	10.723
Fe	3	0	5331.4151	-0.914	0.000	K10	-	-	22.537
Fe	2	0	5331.4572	-5.937	0.000	K13	-	-	12.845
Fe	1	0	5331.4748	-5.037	0.000	K07	-	-	2.588
Fe	1	0	5331.4782	-5.520	0.000	K07	-	-	3.047
Fe	1	0	5331.5331	-3.605	0.000	K07	-	-	3.642
Fe	2	0	5331.5567	-5.532	0.000	RU	-	-	4.793
Fe	1	0	5331.8095	-2.459	0.000	K07	-	-	5.010
Fe	1	0	5332.2807	-2.995	0.000	K07	-	-	4.988
Fe	1	0	5332.6602	-1.990	0.080	MRW	-	-	4.186
Fe	1	0	5332.8996	-2.776	0.046	BWL	Y	-	1.557
Fe	1	0	5332.9565	-4.603	0.000	K07	-	-	3.984
Fe	1	0	5333.1204	-4.536	0.000	K07	-	-	4.387
Fe	1	0	5333.1463	-3.712	0.000	K07	-	-	4.076
Fe	1	0	5333.3406	-4.396	0.000	K07	-	-	4.593
Fe	2	0	5333.6610	-7.809	0.000	K13	-	-	0.352
Fe	1	0	5333.7686	-3.713	0.000	K07	-	-	3.017
Fe	2	0	5333.9758	-3.295	0.000	RU	-	-	6.729
Fe	1	0	5334.3264	-3.313	0.000	K07	-	-	4.103
Fe	1	0	5334.6404	-2.539	0.000	K07	-	-	4.956
Fe	1	0	5336.2857	-2.379	0.000	K07	-	-	4.988
Fe	2	0	5336.6281	-0.277	0.000	K13	-	-	12.972
Fe	2	0	5336.7036	-4.874	0.000	RU	-	-	6.730
Fe	2	0	5337.4019	-1.296	0.000	RU	-	-	10.531
Fe	2	0	5337.4316	-0.549	0.000	K13	-	-	13.070
Fe	2	0	5337.4974	-2.644	0.000	RU	-	-	8.608
Fe	2	0	5337.5906	-4.423	0.000	K13	-	-	12.982
Fe	2	0	5337.6687	-5.954	0.000	K13	-	-	13.011
Fe	2	0	5337.6710	-0.363	0.000	K13	-	-	12.954
Fe	3	0	5337.7003	-5.390	0.000	K10	-	-	20.609
Fe	2	0	5337.7220	-3.720	0.000	2009A&A...497..611M	Y	N	3.230
Fe	1	0	5337.7359	-6.428	0.000	K07	-	-	3.943
Fe	1	0	5337.7881	-14.077	0.000	K07	-	-	0.915
Fe	2	0	5337.9152	-5.020	0.000	RU	-	-	7.583
Fe	2	0	5337.9657	-3.885	0.000	RU	-	-	10.723
Fe	2	0	5338.0235	-4.515	0.000	RU	-	-	8.307
Fe	2	0	5338.0751	-7.323	0.000	K13	-	-	11.788
Fe	2	0	5338.0831	-4.920	0.000	K13	-	-	12.957
Fe	2	0	5338.1532	-6.752	0.000	K13	-	-	11.788
Fe	1	0	5338.1637	-6.311	0.000	K07	-	-	3.984
Fe	2	0	5338.1917	-6.933	0.000	K13	-	-	11.673
Fe	1	0	5338.3031	-5.824	0.000	K07	-	-	3.984
Fe	1	0	5338.3362	-3.141	0.000	K07	-	-	5.064
Fe	2	0	5338.6441	-4.368	0.000	K13	-	-	11.885
Fe	2	0	5338.7590	-8.365	0.000	K13	-	-	10.329
Fe	1	0	5338.9420	-4.364	0.000	K07	-	-	4.796
Fe	2	0	5339.0279	-4.052	0.000	K13	-	-	12.982
Fe	2	0	5339.0937	-6.120	0.000	K13	-	-	11.149
Fe	2	0	5339.1114	-8.496	0.000	K13	-	-	8.038
Fe	2	0	5339.3355	-5.145	0.000	K13	-	-	12.845
