wavelength_air_A,flux
8.674307321317888636e+03,9.748999999999999888e-01
8.674317318613413590e+03,9.747000000000000108e-01
8.674327315908945820e+03,9.745000000000000329e-01
8.674337313204470775e+03,9.741999999999999549e-01
8.674347310499995729e+03,9.737000000000000099e-01
8.674357307795524321e+03,9.733000000000000540e-01
8.674367305091051094e+03,9.727000000000000091e-01
8.674377302386577867e+03,9.719999999999999751e-01
8.674387299682106459e+03,9.713000000000000522e-01
8.674397296977631413e+03,9.706000000000000183e-01
8.674407294273156367e+03,9.696000000000000174e-01
8.674417291568684959e+03,9.685000000000000275e-01
8.674427288864211732e+03,9.673000000000000487e-01
8.674437286159738505e+03,9.659999999999999698e-01
8.674447283455263459e+03,9.647999999999999909e-01
8.674457280750790233e+03,9.635000000000000231e-01
8.674467278046317006e+03,9.620999999999999552e-01
8.674477275341843779e+03,9.606999999999999984e-01
8.674487272637370552e+03,9.590999999999999526e-01
8.674497269932893687e+03,9.574000000000000288e-01
8.674507267228422279e+03,9.557999999999999829e-01
8.674517264523949052e+03,9.537999999999999812e-01
8.674527261819474006e+03,9.514000000000000234e-01
8.674537259115000779e+03,9.484000000000000208e-01
8.674547256410525733e+03,9.444000000000000172e-01
8.674557253706052506e+03,9.392000000000000348e-01
8.674567251001577461e+03,9.325999999999999845e-01
8.674577248297106053e+03,9.242000000000000215e-01
8.674587245592627369e+03,9.136999999999999567e-01
8.674597242888154142e+03,9.003999999999999782e-01
8.674607240183680915e+03,8.842999999999999750e-01
8.674617237479207688e+03,8.649000000000000021e-01
8.674627234774732642e+03,8.420999999999999597e-01
8.674637232070257596e+03,8.156999999999999806e-01
8.674647229365780731e+03,7.853999999999999870e-01
8.674657226661307504e+03,7.518000000000000238e-01
8.674667223956834277e+03,7.157000000000000028e-01
8.674677221252359232e+03,6.783000000000000140e-01
8.674687218547884186e+03,6.408000000000000362e-01
8.674697215843410959e+03,6.045000000000000373e-01
8.674707213138935913e+03,5.705999999999999961e-01
8.674717210434460867e+03,5.403000000000000025e-01
8.674727207729987640e+03,5.145999999999999464e-01
8.674737205025510775e+03,4.944000000000000061e-01
8.674747202321033910e+03,4.803999999999999937e-01
8.674757199616560683e+03,4.729999999999999760e-01
8.674767196912085637e+03,4.727999999999999980e-01
8.674777194207610592e+03,4.801000000000000267e-01
8.674787191503137365e+03,4.950999999999999845e-01
