species,wavelength_air_A,star,abundance_dex,used,source_table
Na,22056.43,2M14375085-6237526,0.22,True,table_na.dat
Na,22056.43,2M15161949+0244516,-0.07,True,table_na.dat
Na,22056.43,2M17584888-2351011,,False,table_na.dat
Na,22056.43,2M18103303-1626220,0.43,True,table_na.dat
Na,22056.43,2M18142346-2136410,0.34,True,table_na.dat
Na,22056.43,2M18191551-1726223,0.27,True,table_na.dat
Na,22056.43,2M18522108-3022143,0.06,True,table_na.dat
Na,22056.43,HD132813,0.04,True,table_na.dat
Na,22056.43,HD175588,0.36,True,table_na.dat
Na,22056.43,HD89758,-0.19,True,table_na.dat
Na,22056.43,HD224935,0.18,True,table_na.dat
Na,22056.43,HD101153,0.20,True,table_na.dat
Na,22056.43,HIP54396,0.16,True,table_na.dat
Na,22083.66,2M05484106-0602007,-0.12,True,table_na.dat
Na,22083.66,2M05594446-7212111,-0.07,True,table_na.dat
Na,22083.66,2M06035110-7456029,-0.02,True,table_na.dat
Na,22083.66,2M06035214-7255079,-0.01,True,table_na.dat
Na,22083.66,2M06052796-0553384,-0.22,True,table_na.dat
Na,22083.66,2M06074096-0530332,0.04,True,table_na.dat
Na,22083.66,2M06124201-0025095,,False,table_na.dat
Na,22083.66,2M06140107-0641072,0.03,True,table_na.dat
Na,22083.66,2M06143705-0551064,-0.13,True,table_na.dat
Na,22083.66,2M06171159-7259319,-0.12,True,table_na.dat
Na,22083.66,2M06223443-0443153,,False,table_na.dat
Na,22083.66,2M06231693-0530385,-0.09,True,table_na.dat
