element,ion,wavelength_air_A,instrument,ew_mA,rew,log_gf,ep_eV,predicted_depth,ew_method,panel
Fe,I,7207.1115,kpno_solar_atlas,72.4568179999642,-4.997681983285463,-1.271,4.0758,0.401,"integrated over +/-0.137 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720; half-width 0.137 A from line separation | CONCERN: side-band 95th pct is 0.9455, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7212.4353,kpno_solar_atlas,46.6301249999992,-5.189415350635035,-0.825,4.9556,0.281,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7219.6816,kpno_solar_atlas,54.61070300007853,-5.121240277664423,-1.69,4.0758,0.295,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7221.2017,kpno_solar_atlas,45.96684249999589,-5.196164802989137,-1.184,4.5585,0.296,"integrated over +/-0.224 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720; half-width 0.224 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7222.8564,kpno_solar_atlas,29.927939000017133,-5.382632170594114,-2.04,4.607,0.075,"integrated over +/-0.233 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720; half-width 0.233 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7228.6955,kpno_solar_atlas,31.237898499951985,-5.364378121567921,-3.38,2.7586,0.193,"integrated over +/-0.206 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720; half-width 0.206 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7244.8392,kpno_solar_atlas,55.3211265000158,-5.1171377356667485,-0.741,4.9556,0.303,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7256.1338,kpno_solar_atlas,29.518662999977835,-5.390608599398705,-1.59,4.9556,0.091,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7260.9892,kpno_solar_atlas,23.324754000011396,-5.493178718733706,-3.61,2.7275,0.139,"integrated over +/-0.148 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.148 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7261.5181,kpno_solar_atlas,54.02030100008042,-5.128470424478064,-1.325,4.5585,0.255,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9602, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7268.5648,kpno_solar_atlas,28.7410260000372,-5.402946399008167,-2.894,3.8816,0.058,"integrated over +/-0.430 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.430 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7284.8341,kpno_solar_atlas,45.890077000009896,-5.20070087947504,-1.75,4.1426,0.256,"integrated over +/-0.221 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.221 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
