band,element,ion,treatment,deck,n_lines,n_ep_joined,tol_A,use_ep,n_unique,n_absent,n_ambiguous,baseline_n_unique,baseline_kept,baseline_reidentified,src
VIS,Fe,I,1D-LTE,,152,152,0.03,False,129,2,21,136,126,10,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,,152,152,0.03,True,148,3,1,136,136,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,,152,152,0.05,False,125,2,25,136,122,14,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,,152,152,0.05,True,148,3,1,136,136,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,ENGINE-A,,109,109,0.005,False,98,9,2,98,98,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,,109,109,0.005,True,100,9,0,98,98,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,,109,109,0.01,False,99,5,5,98,97,1,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,,109,109,0.01,True,104,5,0,98,98,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,,109,109,0.02,False,95,0,14,98,94,4,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,,109,109,0.02,True,108,0,1,98,98,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,,109,109,0.03,False,93,0,16,98,92,6,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,,109,109,0.03,True,108,0,1,98,98,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,,109,109,0.05,False,92,0,17,98,91,7,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,,109,109,0.05,True,108,0,1,98,98,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,1D-LTE,,101,101,0.005,False,88,11,2,88,88,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,,101,101,0.005,True,90,11,0,88,88,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,,101,101,0.01,False,88,10,3,88,88,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,,101,101,0.01,True,91,10,0,88,88,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,,101,101,0.02,False,86,2,13,88,84,4,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,,101,101,0.02,True,97,3,1,88,88,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,,101,101,0.03,False,85,2,14,88,83,5,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,,101,101,0.03,True,97,3,1,88,88,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,,101,101,0.05,False,80,1,20,88,78,10,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,,101,101,0.05,True,96,3,2,88,87,1,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,ENGINE-A,,44,44,0.005,False,38,5,1,38,38,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,,44,44,0.005,True,39,5,0,38,38,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,,44,44,0.01,False,38,5,1,38,38,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,,44,44,0.01,True,39,5,0,38,38,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,,44,44,0.02,False,39,0,5,38,37,1,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,,44,44,0.02,True,42,1,1,38,38,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,,44,44,0.03,False,39,0,5,38,37,1,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
