element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Mn 1	16914.068	1691.4068	-2.407	5.5785	44993.637	3.5	6.3113	50904.067	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16914.146	1691.4146	-2.583	5.5785	44993.637	3.5	6.3113	50904.067	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16914.149	1691.4149	-2.106	5.5785	44993.637	3.5	6.3113	50904.067	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16914.200	1691.4200	-2.328	5.5785	44993.637	3.5	6.3113	50904.067	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16914.212	1691.4212	-2.613	5.5785	44993.637	3.5	6.3113	50904.067	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16915.120	1691.5120	-2.107	6.6665	53768.949	4.0	7.3993	59679.379	3.0	7.0	1.230	1.140	GA	1.20E+08	8.080	-4.300	-7.290	-7.290	-7.290	1.000	0.004	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Cr 1	16915.438	1691.5438	-1.603	5.2877	42648.177	3.0	6.0205	48558.607	2.0	5.0	1.500	1.500	GA	2.75E+08	8.440	-4.810	-7.400	-7.400	-7.400	1.000	0.002	0.000	X	X	F	0	1	24.0	24.000000	24.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16917.467	1691.7467	-2.554	6.3999	51618.675	3.0	7.1326	57528.299	2.0	5.0	1.290	0.890	GA	8.13E+07	7.910	-4.500	-7.320	-7.320	-7.320	1.000	0.003	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16919.162	1691.9162	-1.665	6.3207	50979.884	4.0	7.0533	56888.701	3.0	7.0	1.240	1.630	GA	1.29E+08	8.110	-4.400	-7.260	-7.260	-7.260	1.000	0.020	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	16920.709	1692.0709	-2.328	7.0693	57017.750	2.0	7.8018	62925.761	1.0	3.0	1.180	0.680	GA	1.29E+08	8.110	-3.170	-6.930	-6.930	-6.930	1.000	0.010	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
