wavelength_air_A,flux
8.626033617054921706e+03,9.909737110137939453e-01
8.626045246634606883e+03,9.902607798576354980e-01
8.626056149394036765e+03,9.898636937141418457e-01
8.626067052181031613e+03,9.902338385581970215e-01
8.626078681850865905e+03,9.908362627029418945e-01
8.626089584694820587e+03,9.912608861923217773e-01
8.626101214425412763e+03,9.912788867950439453e-01
8.626112117326321822e+03,9.909336566925048828e-01
8.626123747117673702e+03,9.909336566925048828e-01
8.626134650075544414e+03,9.911577105522155762e-01
8.626145553060976454e+03,9.908521175384521484e-01
8.626157182942482905e+03,9.898679256439208984e-01
8.626168085984874779e+03,9.883144497871398926e-01
8.626179715927139114e+03,9.865904450416564941e-01
8.626190619026494460e+03,9.850265383720397949e-01
8.626202249029514860e+03,9.835093021392822266e-01
8.626213152185830040e+03,9.816095829010009766e-01
8.626224055369706548e+03,9.792673587799072266e-01
8.626235685462888796e+03,9.769031405448913574e-01
8.626246588703726957e+03,9.752491712570190430e-01
8.626258218857668908e+03,9.744536280632019043e-01
8.626269122155472360e+03,9.741027355194091797e-01
8.626280752370174014e+03,9.746074676513671875e-01
8.626291655724935481e+03,9.756338000297546387e-01
8.626302559107265552e+03,9.772045612335205078e-01
8.626314189412127234e+03,9.793246388435363770e-01
8.626325092851417139e+03,9.812592864036560059e-01
8.626336723217042163e+03,9.833194613456726074e-01
8.626347626713299178e+03,9.849416613578796387e-01
8.626359257139685724e+03,9.859464764595031738e-01
8.626370160692904392e+03,9.867023825645446777e-01
8.626381064273686206e+03,9.875532984733581543e-01
8.626392694790236419e+03,9.886401295661926270e-01
8.626403598427985344e+03,9.895173907279968262e-01
8.626415229005298897e+03,9.898022413253784180e-01
8.626426132700011294e+03,9.895963072776794434e-01
8.626437763338088189e+03,9.892640113830566406e-01
8.626448667089767696e+03,9.885537028312683105e-01
8.626459570869013987e+03,9.871748089790344238e-01
8.626471201597256368e+03,9.852923154830932617e-01
8.626482105433466131e+03,9.833227992057800293e-01
8.626493736222473672e+03,9.814093708992004395e-01
8.626504640115652364e+03,9.791210889816284180e-01
8.626516270965425065e+03,9.761033058166503906e-01
8.626527174915570868e+03,9.729384183883666992e-01
8.626538078893279817e+03,9.702011942863464355e-01
8.626549709833221641e+03,9.681092500686645508e-01
8.626560613867903157e+03,9.663942456245422363e-01
8.626572244868608323e+03,9.648682475090026855e-01
8.626583148960256949e+03,9.643028974533081055e-01
8.626594780021730912e+03,9.645934700965881348e-01
8.626605684170348468e+03,9.654710292816162109e-01
8.626616588346529170e+03,9.672920107841491699e-01
8.626628219498175895e+03,9.697375893592834473e-01
8.626639123731329164e+03,9.724442362785339355e-01
8.626650754943742868e+03,9.752247333526611328e-01
8.626661659233865066e+03,9.779677987098693848e-01
8.626673290507047568e+03,9.805434942245483398e-01
8.626684194854142333e+03,9.827426075935363770e-01
8.626695099228802064e+03,9.847363233566284180e-01
8.626706730592157328e+03,9.863674044609069824e-01
8.626717635023787807e+03,9.879401326179504395e-01
8.626729266447915506e+03,9.894691705703735352e-01
8.626740170936516733e+03,9.905164837837219238e-01
8.626751802421413231e+03,9.912680983543395996e-01
8.626762706966988844e+03,9.920333623886108398e-01
8.626773611540133061e+03,9.922512769699096680e-01
8.626785243115202320e+03,9.921424984931945801e-01
8.626796147745319104e+03,9.925891757011413574e-01
8.626807779381162618e+03,9.931070804595947266e-01
8.626818684068251969e+03,9.934311509132385254e-01
8.626830315764866100e+03,9.937006831169128418e-01
8.626841220508928018e+03,9.938392639160156250e-01
