wavelength_air_A,status,A0,ew_lo,ew_mid,ew_hi,rew,d_rew_dA,recovered_from_ceiling
6012.2095,ok,7.45,40.8549386344879,44.776234118947656,49.335989756949765,-5.1279865408236995,0.4095964137031194,False
6016.6047,ok,7.45,146.75834325390352,148.33664315793115,150.13295601201455,-4.608103031876545,0.049366176240085435,True
6018.2836,ok,7.45,22.4722666313723,24.057892469871263,25.964088515012453,-5.398215069762574,0.3136310097043027,False
6021.8043,ok,7.45,126.17684922161895,125.87400015871187,125.54747356941314,-4.679790603567379,-0.010858503434737488,True
6024.0568,ok,7.45,113.31583065548634,120.56661794897015,128.0767355089525,-4.698661979559284,0.2658983140446969,True
6027.0703,ok,7.45,83.53861159892104,89.72504138333522,96.18284142837291,-4.827192589814125,0.3060517488079606,False
6034.0346,ok,7.45,20.59238714342956,22.29351861085567,24.323311020730664,-5.432429177079982,0.36157999314279543,False
6035.34,ok,7.45,21.315450147110415,23.221896412174384,25.526681191211196,-5.4148040576039795,0.3914992287048502,False
6036.4561,ok,7.45,21.065719176558503,21.342025770570725,21.690713451817878,-5.451546406600454,0.06348773348673564,False
6056.0042,ok,7.45,98.36371246165108,106.54666388675555,115.16189903006898,-4.754646311743251,0.34236953110247326,True
6057.2529,ok,7.45,35.50560444458688,40.15936299791334,45.5550821503735,-5.178488891056839,0.5411996185199452,False
6062.8472,ok,7.45,75.05635559500692,84.58641900379921,94.99083008250334,-4.855375983650753,0.5114710481425022,False
6062.9435,ok,7.45,76.53364376920369,86.14002968862418,96.63532240696627,-4.847478503995877,0.5064175467216736,False
6078.4906,ok,7.45,120.01662096758453,130.2336080730064,140.55574499154358,-4.669072676735209,0.34303603114860026,True
6082.7098,ok,7.45,57.88665087804174,62.47357315703087,67.23399022698153,-4.988400751204564,0.32505231585742034,False
6085.2575,ok,7.45,56.27923331375689,59.34694264109561,62.60403925567082,-5.010880609845706,0.23127091319719573,False
6093.6421,ok,7.45,47.23647823603752,51.428861753227686,55.92482951175232,-5.0736700306408675,0.3666357896700978,False
6094.3724,ok,7.45,22.35880227965918,24.70279650922515,27.452847364466315,-5.392182867640285,0.4456942998180424,False
6096.6565,ok,7.45,55.2535264757956,61.033890925097964,67.22266071386154,-4.999520669320364,0.4257784832988154,False
6098.2432,ok,7.45,31.896893008033818,34.42110988178691,37.34821955449244,-5.248379870481994,0.3426076076816176,False
6100.2704,ok,7.45,25.903172262605572,27.788902530653083,30.05422283205322,-5.34147769044354,0.32276274182122755,False
6105.1272,ok,7.45,22.356623428948403,23.62952282926143,25.202638776729305,-5.412239765228733,0.2601990157001266,False
6108.0624,ok,7.45,78.21160000596448,78.8487654679324,79.62912204748714,-4.889108567175661,0.03900378457639464,False
6127.9058,ok,7.45,61.22206128989108,66.57373537115816,72.06774871694117,-4.964009155201822,0.3541650389809936,False
6135.7863,ok,7.45,35.647442441531524,38.42876669651032,41.72747107068428,-5.203213778622886,0.3419684413437696,False
6141.7304,ok,7.45,111.73483530929312,115.22851722578056,119.03133877297978,-4.7267307751829435,0.13736362515238576,True
6147.8339,ok,7.45,74.72595556805142,82.85070121458347,91.05865525624773,-4.870425936909156,0.42924877531763994,True
6151.6169,ok,7.45,61.44758299276197,66.17136393732594,70.80500583474883,-4.968319194877631,0.3077957904408746,False
6157.7275,ok,7.45,76.36354126423943,81.01718730881163,85.62993785610132,-4.880843304397695,0.2486978439397558,False
6159.3729,ok,7.45,23.265940706747728,25.234132396993207,27.56956326922729,-5.387548120528813,0.36854634760718374,False
6165.3594,ok,7.45,55.4958100360628,60.42840922898316,65.42698967339841,-5.008717236542439,0.35748371887177943,False
6167.8589,ok,7.45,14.181402047805499,14.108398469741593,14.025565517098965,-5.640656712810192,-0.023993941854079104,False
6170.5055,ok,7.45,105.72347294187729,113.18989739308103,121.15562723701738,-4.736513077520695,0.2958608468692969,True
6173.334,ok,7.45,80.67735301712473,85.44475215536306,90.2033829928672,-4.8588343801431035,0.24235592429488806,False
6180.2018,ok,7.45,79.0362772452744,85.22059297517559,91.64802898431329,-4.860458104440035,0.32148326657868265,False
6183.5577,ok,7.45,33.946798532639214,37.270981519017894,41.076685605013886,-5.219867587724465,0.41398285525445777,False
6185.6927,ok,7.45,15.725604951401719,15.872313899024208,16.059319831823043,-5.590748097093674,0.04559893024048245,False
6187.9888,ok,7.45,60.06531303207077,66.02991587029966,72.15274713540782,-4.971808775040969,0.39814563134420666,False
6200.29,ok,7.45,81.47609371378581,86.19500254644338,90.89410523516342,-4.856929915968212,0.23752759879110852,True
6207.2298,ok,7.45,33.83010456669925,35.230292601620015,36.9415986482021,-5.245981573664185,0.1910617272203452,False
6215.143,ok,7.45,154.44688269410383,165.10489990752242,175.81980893171405,-4.575691163232533,0.28144328346040304,True
