wavelength_air_A,flux_normalized,n_frames,min_mtrans
19503.7801,0.993854,1,0.8169
19503.8477,0.994217,1,0.8291
19503.9153,0.994946,1,0.8387
19503.9829,0.988382,1,0.8459
19504.0504,0.985677,1,0.8508
19504.118,0.997202,1,0.8538
19504.1856,0.996485,1,0.8561
19504.2532,0.996051,1,0.8592
19504.3208,0.990836,1,0.8636
19504.3883,0.987361,1,0.8683
19504.4559,0.977365,1,0.8723
19504.5235,0.976245,1,0.8755
19504.5911,0.97684,1,0.878
19504.6587,0.966527,1,0.8796
19504.7262,0.95946,1,0.8803
19504.7938,0.958955,1,0.8798
19504.8614,0.946595,1,0.8781
19504.929,0.93763,1,0.8751
19504.9966,0.923429,1,0.8707
19505.0642,0.901711,1,0.8648
19505.1317,0.880983,1,0.8573
19505.1993,0.848645,1,0.8482
19505.2669,0.816952,1,0.8373
19505.3345,0.78479,1,0.8237
19505.4021,0.758007,1,0.8063
19505.4696,0.722511,1,0.7836
19505.5372,0.6771,1,0.7531
19505.6048,0.644347,1,0.7124
19505.6724,0.604096,1,0.658
19505.74,0.567279,1,0.586
19506.5509,0.872975,1,0.5265
19506.6185,0.896653,1,0.5999
19506.6861,0.920421,1,0.6591
19506.7537,0.938144,1,0.7087
19506.8213,0.952503,1,0.7497
19506.8889,0.956846,1,0.7814
19506.9564,0.958154,1,0.8045
19507.024,0.966085,1,0.8203
19507.0916,0.974323,1,0.8304
19507.1592,0.970487,1,0.8368
19507.2268,0.962146,1,0.8418
19507.2943,0.956411,1,0.8474
19507.3619,0.943856,1,0.8543
19507.4295,0.930498,1,0.862
19507.4971,0.908501,1,0.8691
19507.5647,0.888453,1,0.8753
19507.6322,0.881662,1,0.8817
19507.6998,0.865032,1,0.8885
19507.7674,0.843123,1,0.8949
19507.835,0.819375,1,0.8994
19507.9026,0.801362,1,0.9016
19507.9702,0.766461,1,0.9017
19508.0377,0.719658,1,0.9002
19508.1053,0.689766,1,0.8977
19508.1729,0.672238,1,0.8944
19508.2405,0.671629,1,0.8897
19508.3081,0.688116,1,0.8821
19508.3756,0.719774,1,0.8711
19508.4432,0.759352,1,0.8596
19508.5108,0.810251,1,0.8534
19508.5784,0.846009,1,0.8567
19508.646,0.883647,1,0.8664
19508.7135,0.907598,1,0.8747
19508.7811,0.932451,1,0.8786
19508.8487,0.936244,1,0.8795
19508.9163,0.942866,1,0.8805
19508.9839,0.946616,1,0.8822
19509.0515,0.943822,1,0.8826
19509.119,0.928168,1,0.8807
19509.1866,0.921954,1,0.877
19509.2542,0.907266,1,0.8732
19509.3218,0.899858,1,0.8705
19509.3894,0.903688,1,0.8685
19509.4569,0.920674,1,0.8656
19509.5245,0.937592,1,0.8606
19509.5921,0.950354,1,0.853
19509.6597,0.963719,1,0.8426
19509.7273,0.971165,1,0.8292
19509.7948,0.976414,1,0.812
19509.8624,0.98613,1,0.7899
19509.93,0.986936,1,0.7616
19509.9976,0.987232,1,0.7255
19510.0652,0.990667,1,0.679
19510.1328,0.981809,1,0.6183
19510.2003,0.984201,1,0.5391
19511.0789,0.979853,1,0.5474
19511.1465,0.966148,1,0.618
19511.2141,0.958634,1,0.6729
19511.2816,0.960536,1,0.7148
19511.3492,0.960604,1,0.7464
19511.4168,0.967272,1,0.77
19511.4844,0.982373,1,0.7875
19511.552,0.990418,1,0.8005
19511.6195,0.984718,1,0.8099
19511.6871,1.000382,1,0.8152
19511.7547,0.99982,1,0.8159
19511.8223,1.004446,1,0.8113
19511.8899,1.011971,1,0.7997
19511.9575,1.012849,1,0.7784
19512.025,1.010056,1,0.7474
19512.0926,1.013116,1,0.7159
19512.1602,1.010755,1,0.7007
19512.2278,1.018844,1,0.7097
19512.2954,1.012095,1,0.7338
19512.3629,1.005784,1,0.76
19512.4305,1.001091,1,0.7828
19512.4981,0.999527,1,0.8013
19512.5657,1.003592,1,0.8144
19512.6333,1.000899,1,0.822
19512.7008,1.002366,1,0.8257
19512.7684,1.000434,1,0.8283
19512.836,1.000588,1,0.831
19512.9036,1.009241,1,0.8318
19512.9712,1.005554,1,0.8275
19513.0388,1.008384,1,0.8166
19513.1063,1.010156,1,0.7999
19513.1739,1.004844,1,0.7783
19513.2415,0.998214,1,0.7514
