species,lam_nm,e_low,log_gf,vturb,clean,corr
Fe1,248.6373,0.000000,-1.6990,1.50,no,-0.0193
Fe1,248.6373,0.000000,-1.6990,3.00,no,-0.0408
Fe1,248.6691,0.958165,-0.9111,0.75,no,-0.0158
Fe1,248.6691,0.958165,-0.9111,1.50,no,-0.0316
Fe1,248.6691,0.958165,-0.9111,3.00,no,-0.0620
Fe1,248.7065,1.011064,-0.7490,0.75,no,-0.0178
Fe1,248.7065,1.011064,-0.7490,1.50,no,-0.0355
Fe1,248.7065,1.011064,-0.7490,3.00,no,-0.0698
Fe1,248.7369,0.087286,-1.8960,0.75,no,-0.0069
Fe1,248.7369,0.087286,-1.8960,1.50,no,-0.0245
Fe1,248.7369,0.087286,-1.8960,3.00,no,-0.0618
Fe1,248.8142,0.051570,0.5450,0.75,no,0.0198
Fe1,248.8142,0.051570,0.5450,1.50,no,0.0075
Fe1,248.8142,0.051570,0.5450,3.00,no,-0.0176
Fe1,248.9752,0.121267,-0.1910,0.75,no,0.0127
Fe1,248.9752,0.121267,-0.1910,1.50,no,-0.0011
Fe1,248.9752,0.121267,-0.1910,3.00,no,-0.0305
Fe1,248.9913,1.011064,-1.3919,0.75,no,-0.0001
Fe1,248.9913,1.011064,-1.3919,1.50,no,-0.0227
Fe1,248.9913,1.011064,-1.3919,3.00,no,-0.0734
Fe1,249.0644,0.087286,0.3520,0.75,no,-0.0031
Fe1,249.0644,0.087286,0.3520,1.50,no,-0.0110
Fe1,249.0644,0.087286,0.3520,3.00,no,-0.0267
Fe1,249.2630,0.958165,-2.4560,0.75,no,-0.0061
Fe1,249.2630,0.958165,-2.4560,1.50,no,-0.0129
Fe1,249.2630,0.958165,-2.4560,3.00,no,-0.0258
Fe1,249.4000,1.011064,-1.3821,0.75,no,-0.0096
Fe1,249.4000,1.011064,-1.3821,1.50,no,-0.0169
Fe1,249.4000,1.011064,-1.3821,3.00,no,-0.0305
Fe1,249.4251,0.859003,-1.9470,0.75,no,-0.0127
Fe1,249.4251,0.859003,-1.9470,1.50,no,-0.0203
Fe1,249.4251,0.859003,-1.9470,3.00,no,-0.0346
Fe1,249.5873,0.859003,-1.7600,0.75,no,-0.0136
Fe1,249.5873,0.859003,-1.7600,1.50,no,-0.0212
Fe1,249.5873,0.859003,-1.7600,3.00,no,-0.0354
Fe1,249.6533,0.914610,-0.6550,0.75,no,-0.0133
Fe1,249.6533,0.914610,-0.6550,1.50,no,-0.0212
Fe1,249.6533,0.914610,-0.6550,3.00,no,-0.0365
Fe1,249.8818,0.110115,-3.2430,0.75,no,-0.0070
Fe1,249.8818,0.110115,-3.2430,1.50,no,-0.0131
Fe1,249.8818,0.110115,-3.2430,3.00,no,-0.0248
Fe1,249.8871,0.051570,-3.3030,0.75,no,-0.0083
Fe1,249.8871,0.051570,-3.3030,1.50,no,-0.0149
Fe1,249.8871,0.051570,-3.3030,3.00,no,-0.0243
Fe1,250.1131,0.000000,-0.3530,0.75,no,-0.0053
Fe1,250.1131,0.000000,-0.3530,1.50,no,-0.0123
Fe1,250.1131,0.000000,-0.3530,3.00,no,-0.0257
Fe1,250.1424,0.958165,-2.9891,0.75,no,-0.0057
Fe1,250.1424,0.958165,-2.9891,1.50,no,-0.0178
Fe1,250.1424,0.958165,-2.9891,3.00,no,-0.0422
Fe1,250.1693,0.859003,-1.5061,0.75,no,-0.0065
Fe1,250.1693,0.859003,-1.5061,1.50,no,-0.0133
Fe1,250.1693,0.859003,-1.5061,3.00,no,-0.0263
Fe1,250.7900,0.958165,-0.7849,0.75,no,-0.0126
Fe1,250.7900,0.958165,-0.7849,1.50,no,-0.0203
Fe1,250.7900,0.958165,-0.7849,3.00,no,-0.0353
Fe1,250.8753,0.990119,-1.9469,0.75,no,-0.0105
Fe1,250.8753,0.990119,-1.9469,1.50,no,-0.0175
Fe1,250.8753,0.990119,-1.9469,3.00,no,-0.0307
Fe1,251.0834,0.051570,-0.2150,0.75,no,-0.0058
Fe1,251.0834,0.051570,-0.2150,1.50,no,-0.0130
Fe1,251.0834,0.051570,-0.2150,3.00,no,-0.0270
Fe1,251.2275,0.859003,-1.7289,0.75,no,-0.0083
Fe1,251.2275,0.859003,-1.7289,1.50,no,-0.0153
Fe1,251.2275,0.859003,-1.7289,3.00,no,-0.0283
Fe1,251.2364,0.051570,-1.8780,0.75,no,-0.0064
Fe1,251.2364,0.051570,-1.8780,1.50,no,-0.0129
Fe1,251.2364,0.051570,-1.8780,3.00,no,-0.0256
Fe1,251.5853,1.557370,-2.2370,0.75,no,-0.0086
Fe1,251.5853,1.557370,-2.2370,1.50,no,-0.0164
Fe1,251.5853,1.557370,-2.2370,3.00,no,-0.0318
Fe1,251.6250,0.914610,-2.4960,0.75,no,-0.0099
Fe1,251.6250,0.914610,-2.4960,1.50,no,-0.0168
Fe1,251.6250,0.914610,-2.4960,3.00,no,-0.0299
Fe1,251.6570,0.958165,-1.8350,0.75,no,-0.0105
Fe1,251.6570,0.958165,-1.8350,1.50,no,-0.0179
Fe1,251.6570,0.958165,-1.8350,3.00,no,-0.0315
Fe1,251.7661,0.990119,-0.9780,0.75,no,-0.0077
Fe1,251.7661,0.990119,-0.9780,1.50,no,-0.0151
Fe1,251.7661,0.990119,-0.9780,3.00,no,-0.0295
Fe1,251.8101,0.087286,-0.2588,0.75,no,-0.0051
Fe1,251.8101,0.087286,-0.2588,1.50,no,-0.0129
Fe1,251.8101,0.087286,-0.2588,3.00,no,-0.0281
Fe1,251.9629,1.011064,-1.1949,0.75,no,-0.0090
Fe1,251.9629,1.011064,-1.1949,1.50,no,-0.0165
Fe1,251.9629,1.011064,-1.1949,3.00,no,-0.0310
Fe1,252.1918,0.914610,-1.7919,0.75,no,-0.0064
Fe1,252.1918,0.914610,-1.7919,1.50,no,-0.0137
Fe1,252.1918,0.914610,-1.7919,3.00,no,-0.0278
Fe1,252.2479,0.914610,-1.9219,0.75,no,-0.0005
Fe1,252.2479,0.914610,-1.9219,1.50,no,-0.0134
Fe1,252.2479,0.914610,-1.9219,3.00,no,-0.0393
Fe1,252.2849,0.000000,0.2620,0.75,no,0.0110
Fe1,252.2849,0.000000,0.2620,1.50,no,-0.0018
Fe1,252.2849,0.000000,0.2620,3.00,no,-0.0283
Fe1,252.4292,0.110115,-0.5100,0.75,no,-0.0052
Fe1,252.4292,0.110115,-0.5100,1.50,no,-0.0132
Fe1,252.4292,0.110115,-0.5100,3.00,no,-0.0288
Fe1,252.7265,2.404094,-0.3640,0.75,no,-0.0061
Fe1,252.7265,2.404094,-0.3640,1.50,no,-0.0139
Fe1,252.7265,2.404094,-0.3640,3.00,no,-0.0291
Fe1,252.7434,0.051570,0.1120,0.75,no,0.0006
Fe1,252.7434,0.051570,0.1120,1.50,no,-0.0106
Fe1,252.7434,0.051570,0.1120,3.00,no,-0.0328
Fe1,252.9134,0.087286,-0.3220,0.75,no,-0.0003
