element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Cr,I,5358.9636,32.46,8.25,0.0003,0.0526,-5.2177,42,0.165,UNEXPLAINED,no pipeline rule accounts for this drop
Co,I,5359.1882,16.97,2.28,0.0003,0.1079,-5.4994,0,0.009,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
K,I,5359.5728,43.56,50.68,0.0007,0.0501,-5.09,6,0.165,EW_ERR_EXCESS,err/EW 1.16 > 0.5
Fe,I,5361.5155,64.45,11.28,0.0111,0.1906,-4.9201,1,0.099,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,5361.6248,64.53,11.26,0.0111,0.3469,-4.9195,1,0.099,UNEXPLAINED,no pipeline rule accounts for this drop
Ti,I,5361.7112,64.63,11.26,0.0111,0.3074,-4.9189,3,0.348,UNEXPLAINED,no pipeline rule accounts for this drop
Co,I,5362.7463,117.97,24.8,0.0151,0.4478,-4.6576,1,0.565,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5362.7531,117.97,24.81,0.0151,0.4562,-4.6576,1,0.565,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,II,5362.8613,118.55,10.2,0.0151,0.5596,-4.6555,21,0.188,SATURATED_REW,REW -4.655 > -4.9
Co,I,5362.8637,118.66,9.79,0.0151,0.5596,-4.6551,1,0.565,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5364.1167,225.72,39.5,0.0295,0.0482,-4.3759,5,0.03,SATURATED_REW,REW -4.376 > -4.9
Mn,I,5364.4521,266.32,139.93,0.0251,0.0683,-4.3041,6,0.201,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5364.7663,181.27,19.94,0.0169,0.4395,-4.4712,1,0.697,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5364.8503,181.3,20.5,0.0172,0.7075,-4.4712,1,0.697,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5364.8703,181.34,20.89,0.0173,0.7075,-4.4711,0,0.022,SATURATED_REW,REW -4.471 > -4.9
Fe,I,5365.1931,170.43,10.27,0.0075,0.071,-4.498,2,0.022,SATURATED_REW,REW -4.498 > -4.9
Fe,I,5365.3555,112.47,17.0,0.0248,0.5982,-4.6786,0,0.004,SATURATED_REW,REW -4.679 > -4.9
Fe,I,5365.6216,251.49,232.95,0.031,0.0607,-4.3291,1,0.009,SATURATED_REW,REW -4.329 > -4.9
Fe,I,5366.42,146.93,275.38,0.037,0.0869,-4.5626,1,0.043,SATURATED_REW,REW -4.563 > -4.9
Ti,I,5366.6383,152.17,284.59,0.0354,0.0643,-4.5474,1,0.064,SATURATED_REW,REW -4.547 > -4.9
Fe,I,5367.4653,186.76,45.42,0.0391,0.727,-4.4585,1,0.082,SATURATED_REW,REW -4.458 > -4.9
Cr,I,5368.5361,142.77,144.81,0.0364,0.0883,-4.5752,5,0.072,SATURATED_REW,REW -4.575 > -4.9
Co,I,5369.5661,198.93,139.03,0.0369,0.3888,-4.4312,1,0.246,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5369.5713,196.83,137.73,0.0376,0.3888,-4.4358,12,0.372,SATURATED_REW,REW -4.436 > -4.9
Co,I,5370.3039,250.68,32.52,0.0432,0.1516,-4.3309,1,0.742,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5372.6501,202.42,52.55,0.0412,0.0432,-4.4239,17,0.023,SATURATED_REW,REW -4.424 > -4.9
Ti,I,5373.5433,56.3,20.35,0.0111,0.0681,-4.9798,3,0.513,UNEXPLAINED,no pipeline rule accounts for this drop
Cr,I,5373.5594,57.12,17.52,0.0082,0.1002,-4.9735,1,0.513,UNEXPLAINED,no pipeline rule accounts for this drop
Cr,I,5373.7016,60.32,8.92,0.0231,0.5088,-4.9498,1,0.513,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,5373.7082,60.32,8.92,0.0231,0.5088,-4.9498,0,0.035,UNEXPLAINED,no pipeline rule accounts for this drop
Co,I,5373.9122,65.51,2.78,0.0002,0.0625,-4.914,3,0.513,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5373.9507,65.98,2.15,0.0002,0.0461,-4.9109,3,0.513,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,5374.355,66.35,11.49,0.0047,0.0462,-4.9085,1,0.009,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5374.7702,60.64,17.68,0.0053,0.0502,-4.9476,2,0.022,UNEXPLAINED,no pipeline rule accounts for this drop
Sc,I,5375.3203,32.41,188.62,0.0059,0.048,-5.2197,2,0.007,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Sc,I,5375.3521,32.67,187.85,0.0059,0.048,-5.2163,2,0.007,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Fe,I,5376.8299,25.84,6.16,0.0034,0.1664,-5.3182,0,0.012,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,5376.8889,113.32,14.11,0.0026,0.1664,-4.6762,0,0.012,SATURATED_REW,REW -4.676 > -4.9
Fe,I,5377.0474,120.77,13.71,0.0024,0.0706,-4.6486,0,0.005,SATURATED_REW,REW -4.649 > -4.9
Mn,I,5377.5644,69.18,9.84,0.0018,0.3584,-4.8906,0,0.023,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,5377.6546,67.18,18.72,0.0057,0.359,-4.9034,0,0.023,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5377.6763,66.73,18.76,0.0058,0.359,-4.9063,12,0.368,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5377.7603,64.73,18.52,0.0058,0.164,-4.9195,12,0.368,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5378.2175,106.21,20.57,0.0079,0.0595,-4.7045,1,0.116,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5378.236,109.96,22.08,0.0079,0.0595,-4.6894,21,0.014,SATURATED_REW,REW -4.689 > -4.9
Co,I,5378.2513,109.11,23.96,0.0079,0.0595,-4.6928,1,0.116,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,5380.7281,78.47,9.08,0.0069,0.0814,-4.8361,7,0.534,SATURATED_REW,REW -4.836 > -4.9
Fe,I,5380.8975,76.85,6.94,0.0068,0.1376,-4.8452,14,0.534,SATURATED_REW,REW -4.845 > -4.9
Ti,II,5381.0216,73.95,7.04,0.0067,0.4853,-4.8619,10,0.071,SATURATED_REW,REW -4.862 > -4.9
Co,I,5381.0448,73.52,7.98,0.0067,0.4853,-4.8645,1,0.534,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5381.0663,73.18,9.76,0.0067,0.4853,-4.8665,1,0.534,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5381.1647,71.54,15.54,0.0068,0.1919,-4.8763,4,0.534,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5382.2631,31.86,16.86,0.0271,0.2129,-5.2277,1,0.077,EW_ERR_EXCESS,err/EW 0.53 > 0.5
Ca,I,5382.3309,34.38,17.55,0.0272,0.2129,-5.1947,1,0.317,EW_ERR_EXCESS,err/EW 0.51 > 0.5
Ti,I,5382.9132,242.23,78.65,0.0157,0.0686,-4.3468,0,0.003,SATURATED_REW,REW -4.347 > -4.9
Co,I,5383.3512,235.41,19.24,0.0063,0.7713,-4.3592,1,0.759,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5383.368,235.41,20.0,0.0063,0.7713,-4.3592,0,0.024,SATURATED_REW,REW -4.359 > -4.9
V,I,5383.3922,235.39,21.19,0.0063,0.7713,-4.3593,1,0.759,SATURATED_REW,REW -4.359 > -4.9
V,I,5383.4559,235.35,21.39,0.0064,0.7662,-4.3593,1,0.759,SATURATED_REW,REW -4.359 > -4.9
Ti,I,5384.6295,109.47,107.34,0.0226,0.0399,-4.6919,19,0.01,SATURATED_REW,REW -4.692 > -4.9
Fe,I,5386.3328,40.82,3.59,0.002,0.2999,-5.1204,0,0.014,UNEXPLAINED,no pipeline rule accounts for this drop
Ni,I,5386.3564,40.84,3.97,0.0021,0.2999,-5.1202,2,0.316,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,5386.9601,35.31,5.8,0.0031,0.2216,-5.1834,1,0.16,UNEXPLAINED,no pipeline rule accounts for this drop
Cr,I,5386.9673,35.31,5.8,0.0031,0.2216,-5.1834,1,0.142,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,5387.4804,40.17,17.32,0.0063,0.2061,-5.1275,1,0.151,UNEXPLAINED,no pipeline rule accounts for this drop
Cr,I,5387.5619,33.17,23.34,0.0108,0.2061,-5.2106,1,0.221,EW_ERR_EXCESS,err/EW 0.70 > 0.5
V,I,5388.2702,102.5,105.12,0.0119,0.1182,-4.7207,18,0.109,SATURATED_REW,REW -4.721 > -4.9
Ni,I,5388.339,106.74,84.65,0.011,0.1444,-4.7031,15,0.06,SATURATED_REW,REW -4.703 > -4.9
Mn,I,5388.4982,120.73,76.25,0.0102,0.068,-4.6497,15,0.109,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,5389.1555,108.55,10.71,0.0046,0.0687,-4.6959,1,0.612,SATURATED_REW,REW -4.696 > -4.9
Fe,I,5389.4782,107.13,10.81,0.0087,0.603,-4.7016,0,0.055,SATURATED_REW,REW -4.702 > -4.9
Fe,I,5389.8086,101.25,21.14,0.0108,0.1231,-4.7262,1,0.107,SATURATED_REW,REW -4.726 > -4.9
Ti,I,5389.9886,192.1,108.3,0.0162,0.0868,-4.4481,8,0.137,SATURATED_REW,REW -4.448 > -4.9
V,I,5390.0679,209.63,118.3,0.0163,0.0847,-4.4101,4,0.137,SATURATED_REW,REW -4.410 > -4.9
Cr,I,5390.3788,195.15,51.13,0.0168,0.1183,-4.4413,18,0.042,SATURATED_REW,REW -4.441 > -4.9
Co,I,5390.4275,190.75,48.35,0.0168,0.1573,-4.4512,1,0.119,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5390.4501,188.6,47.87,0.0168,0.2222,-4.4561,1,0.119,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,5390.4873,188.02,48.27,0.0168,0.2552,-4.4574,13,0.119,SATURATED_REW,REW -4.457 > -4.9
Co,I,5390.7594,182.26,48.81,0.0171,0.0464,-4.471,2,0.017,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,5391.057,180.87,106.53,0.0151,0.0379,-4.4743,21,0.079,SATURATED_REW,REW -4.474 > -4.9
Fe,I,5391.2488,126.44,43.78,0.026,0.0849,-4.6298,2,0.079,SATURATED_REW,REW -4.630 > -4.9
Cr,I,5391.3395,155.01,32.08,0.0211,0.2641,-4.5413,2,0.599,SATURATED_REW,REW -4.541 > -4.9
Fe,I,5391.4588,156.72,32.54,0.0212,0.5471,-4.5366,1,0.079,SATURATED_REW,REW -4.537 > -4.9
Fe,I,5391.7838,141.16,20.89,0.0201,0.0742,-4.582,21,0.029,SATURATED_REW,REW -4.582 > -4.9
Sc,I,5391.9892,204.27,45.76,0.0236,0.0784,-4.4215,3,0.145,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Fe,I,5392.0148,227.93,68.25,0.0239,0.0784,-4.3739,22,0.145,SATURATED_REW,REW -4.374 > -4.9
Sc,I,5392.0529,228.49,88.84,0.024,0.0784,-4.3729,3,0.145,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Fe,I,5393.1669,193.14,37.75,0.0235,0.7316,-4.446,0,0.06,SATURATED_REW,REW -4.446 > -4.9
Co,I,5393.6528,223.62,41.13,0.0174,0.052,-4.3824,2,0.06,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5393.761,251.55,38.93,0.019,0.0448,-4.3313,1,0.006,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,5394.6193,79.15,15.5,0.0185,0.4851,-4.8335,2,0.362,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,5394.6506,78.18,20.35,0.0184,0.4866,-4.8389,2,0.362,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5394.68,77.3,25.55,0.0183,0.4866,-4.8438,15,0.611,SATURATED_REW,REW -4.844 > -4.9
Cr,I,5394.7106,76.84,29.58,0.0182,0.4866,-4.8464,16,0.611,SATURATED_REW,REW -4.846 > -4.9
Fe,I,5394.8279,74.99,31.54,0.0177,0.2397,-4.857,15,0.611,SATURATED_REW,REW -4.857 > -4.9
Fe,I,5395.2169,12.37,22.83,0.0349,0.1977,-5.6396,0,0.002,EW_ERR_EXCESS,err/EW 1.85 > 0.5
Ti,I,5397.063,294.68,40.43,0.0203,0.7898,-4.2628,2,0.885,SATURATED_REW,REW -4.263 > -4.9
Fe,I,5397.1273,294.71,40.37,0.0203,0.8287,-4.2628,1,0.156,SATURATED_REW,REW -4.263 > -4.9
Fe,I,5397.1981,293.59,39.99,0.0203,0.8287,-4.2644,1,0.156,SATURATED_REW,REW -4.264 > -4.9
Fe,I,5398.2785,103.64,19.0,0.0288,0.538,-4.7167,0,0.004,SATURATED_REW,REW -4.717 > -4.9
Mn,I,5399.4231,53.99,20.08,0.0237,0.2555,-5.0,0,0.006,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,5399.4526,54.4,20.22,0.0237,0.2592,-4.9968,0,0.004,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5400.3994,131.24,48.01,0.0247,0.4367,-4.6144,1,0.283,SATURATED_REW,REW -4.614 > -4.9
Fe,I,5400.5006,147.24,47.98,0.0259,0.6521,-4.5644,1,0.283,SATURATED_REW,REW -4.564 > -4.9
Cr,I,5400.5969,153.25,46.95,0.0255,0.6283,-4.547,2,0.655,SATURATED_REW,REW -4.547 > -4.9
Fe,I,5400.6547,151.21,45.58,0.0244,0.4308,-4.5529,1,0.283,SATURATED_REW,REW -4.553 > -4.9
Ti,I,5401.3782,194.33,100.7,0.0141,0.1685,-4.444,1,0.198,SATURATED_REW,REW -4.444 > -4.9
Fe,I,5401.5198,180.6,58.84,0.0139,0.0307,-4.4758,1,0.017,SATURATED_REW,REW -4.476 > -4.9
V,I,5401.9261,115.63,202.13,0.0212,0.0697,-4.6695,11,0.056,SATURATED_REW,REW -4.669 > -4.9
Co,I,5401.9285,114.37,203.85,0.0213,0.0748,-4.6742,2,0.055,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5401.9637,110.59,214.04,0.0216,0.0876,-4.6888,2,0.055,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5402.0516,20.75,30.62,0.0239,0.1332,-5.4155,2,0.055,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5402.07,19.32,29.38,0.0248,0.1332,-5.4466,11,0.056,EW_ERR_EXCESS,err/EW 1.52 > 0.5
Y,II,5402.7728,6.22,8.13,0.029,0.1223,-5.9388,15,0.015,EW_ERR_EXCESS,err/EW 1.31 > 0.5
Ti,I,5406.18,288.69,54.16,0.0213,0.0841,-4.2725,18,0.263,SATURATED_REW,REW -4.272 > -4.9
Fe,I,5406.7742,52.43,20.44,0.0383,0.3106,-5.0134,0,0.006,UNEXPLAINED,no pipeline rule accounts for this drop
Mn,I,5407.3224,61.1,50.46,0.0341,0.2898,-4.9469,20,0.182,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,5407.3511,61.64,54.01,0.0337,0.3205,-4.9431,20,0.182,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5407.3816,61.67,55.41,0.0331,0.3218,-4.9429,35,0.43,EW_ERR_EXCESS,err/EW 0.90 > 0.5
Mn,I,5407.4642,61.34,55.09,0.0326,0.3218,-4.9452,20,0.182,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5407.4765,60.57,54.4,0.0326,0.3218,-4.9507,18,0.43,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5407.561,51.28,47.54,0.0322,0.2722,-5.0231,18,0.43,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,II,5407.6173,58.15,52.58,0.0325,0.1736,-4.9685,35,0.43,EW_ERR_EXCESS,err/EW 0.90 > 0.5
Ti,I,5408.9392,232.63,263.37,0.0308,0.0447,-4.3664,5,0.409,SATURATED_REW,REW -4.366 > -4.9
Fe,I,5409.1326,55.22,23.58,0.0362,0.4306,-4.991,0,0.037,UNEXPLAINED,no pipeline rule accounts for this drop
Si,I,5409.7658,179.86,33.82,0.0243,0.7755,-4.4782,2,0.791,SATURATED_REW,REW -4.478 > -4.9
Cr,I,5409.7834,179.57,33.74,0.0243,0.7755,-4.4789,1,0.207,SATURATED_REW,REW -4.479 > -4.9
Si,I,5409.8507,174.82,33.07,0.024,0.7755,-4.4906,2,0.791,SATURATED_REW,REW -4.491 > -4.9
Cr,II,5410.5621,234.02,28.97,0.0275,0.0516,-4.364,2,0.709,SATURATED_REW,REW -4.364 > -4.9
Fe,I,5411.3713,228.2,125.63,0.0258,0.0821,-4.375,1,0.247,SATURATED_REW,REW -4.375 > -4.9
Si,I,5411.959,156.44,62.96,0.0162,0.0328,-4.539,1,0.032,SATURATED_REW,REW -4.539 > -4.9
Fe,I,5411.9786,151.37,62.17,0.0163,0.0328,-4.5533,1,0.011,SATURATED_REW,REW -4.553 > -4.9
Fe,I,5412.7833,9.32,14.66,0.0162,0.1771,-5.764,2,0.048,EW_ERR_EXCESS,err/EW 1.57 > 0.5
Si,I,5413.0992,91.87,122.62,0.0045,0.1233,-4.7703,3,0.23,SATURATED_REW,REW -4.770 > -4.9
Fe,I,5413.1068,92.01,122.62,0.0045,0.1233,-4.7696,2,0.048,SATURATED_REW,REW -4.770 > -4.9
Mn,I,5413.5932,22.85,29.43,0.0206,0.1364,-5.3746,42,0.028,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5413.6059,24.02,30.91,0.0207,0.1456,-5.3529,6,0.182,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5413.6528,31.26,41.75,0.0213,0.1612,-5.2385,6,0.182,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,5413.6576,31.26,41.76,0.0213,0.1612,-5.2385,42,0.028,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5413.7506,142.92,190.41,0.0209,0.1572,-4.5784,7,0.278,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,II,5414.0698,50.46,18.49,0.0228,0.2408,-5.0306,4,0.028,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,5415.1983,217.37,30.42,0.0098,0.7489,-4.3964,1,0.082,SATURATED_REW,REW -4.396 > -4.9
V,I,5415.2488,215.87,30.27,0.0098,0.7489,-4.3994,1,0.747,SATURATED_REW,REW -4.399 > -4.9
Cr,I,5415.6768,211.93,38.4,0.0128,0.0477,-4.4075,1,0.012,SATURATED_REW,REW -4.407 > -4.9
Fe,I,5415.6859,212.95,39.8,0.0132,0.0456,-4.4054,1,0.012,SATURATED_REW,REW -4.405 > -4.9
Fe,I,5417.0332,26.33,21.87,0.0224,0.2902,-5.3133,0,0.004,EW_ERR_EXCESS,err/EW 0.83 > 0.5
Fe,I,5417.113,28.2,23.6,0.0219,0.2837,-5.2835,0,0.004,EW_ERR_EXCESS,err/EW 0.84 > 0.5
Fe,I,5417.8942,92.84,17.83,0.0047,0.0304,-4.7661,2,0.04,SATURATED_REW,REW -4.766 > -4.9
Zr,II,5418.016,101.7,18.16,0.0046,0.0557,-4.7265,2,0.04,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Si,I,5418.1244,107.54,17.95,0.0045,0.0859,-4.7023,2,0.017,SATURATED_REW,REW -4.702 > -4.9
Fe,I,5419.1576,72.71,19.37,0.0094,0.0412,-4.8723,2,0.02,SATURATED_REW,REW -4.872 > -4.9
Ti,I,5419.1915,94.59,42.38,0.0103,0.0412,-4.7581,2,0.008,SATURATED_REW,REW -4.758 > -4.9
Mn,I,5420.2522,94.3,11.93,0.0064,0.3561,-4.7595,1,0.102,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,5420.3699,100.36,20.76,0.0066,0.3967,-4.7325,1,0.102,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,II,5420.9247,198.74,20.45,0.0056,0.1631,-4.4358,1,0.1,SATURATED_REW,REW -4.436 > -4.9
Si,I,5421.1683,210.86,22.17,0.0056,0.2672,-4.4101,2,0.14,SATURATED_REW,REW -4.410 > -4.9
Fe,I,5421.3964,165.22,20.19,0.0065,0.0639,-4.516,2,0.1,SATURATED_REW,REW -4.516 > -4.9
Fe,I,5421.85,123.85,139.74,0.0083,0.1136,-4.6413,1,0.024,SATURATED_REW,REW -4.641 > -4.9
Co,I,5421.8957,15.7,17.03,0.0097,0.1136,-5.5383,3,0.171,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,5421.9851,94.36,198.65,0.0104,0.048,-4.7594,4,0.171,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5423.7382,278.91,26.55,0.0072,0.1259,-4.2888,12,0.03,SATURATED_REW,REW -4.289 > -4.9
V,I,5424.0225,284.28,13.53,0.0061,0.7715,-4.2806,3,0.742,SATURATED_REW,REW -4.281 > -4.9
V,I,5424.0507,284.28,15.63,0.0061,0.7755,-4.2806,3,0.742,SATURATED_REW,REW -4.281 > -4.9
Fe,I,5424.0672,284.28,16.49,0.0061,0.7755,-4.2806,0,0.03,SATURATED_REW,REW -4.281 > -4.9
Fe,II,5425.2485,56.01,16.3,0.0282,0.342,-4.9862,0,0.019,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,5428.6951,292.65,53.29,0.0351,0.0495,-4.2683,2,0.018,SATURATED_REW,REW -4.268 > -4.9
Ti,I,5432.3341,129.33,23.69,0.0064,0.0227,-4.6233,18,0.513,SATURATED_REW,REW -4.623 > -4.9
Mn,I,5432.4995,71.18,22.26,0.0125,0.3565,-4.8826,0,0.013,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,5432.5539,68.48,30.51,0.0202,0.3565,-4.8994,0,0.013,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5432.9475,85.32,32.42,0.0423,0.525,-4.804,0,0.003,SATURATED_REW,REW -4.804 > -4.9
Fe,II,5432.962,85.24,32.44,0.0421,0.525,-4.8044,0,0.003,SATURATED_REW,REW -4.804 > -4.9
Fe,I,5433.1158,87.27,31.35,0.0384,0.1199,-4.7942,16,0.044,SATURATED_REW,REW -4.794 > -4.9
Mn,I,5433.3739,221.04,49.14,0.0301,0.0655,-4.3906,2,0.148,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5433.6426,223.65,49.96,0.0305,0.0627,-4.3855,16,0.044,SATURATED_REW,REW -4.386 > -4.9
V,I,5434.1052,275.89,76.16,0.0248,0.0442,-4.2944,0,0.002,SATURATED_REW,REW -4.294 > -4.9
V,I,5434.1534,247.1,49.71,0.0213,0.0585,-4.3423,0,0.002,SATURATED_REW,REW -4.342 > -4.9
Co,I,5434.5169,226.72,43.38,0.0233,0.8203,-4.3797,1,0.868,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5434.5232,226.98,43.13,0.023,0.8203,-4.3792,0,0.04,SATURATED_REW,REW -4.379 > -4.9
Co,I,5434.5553,227.35,42.35,0.0222,0.8203,-4.3785,1,0.868,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5435.5376,236.48,80.74,0.0298,0.0275,-4.3614,10,0.427,SATURATED_REW,REW -4.361 > -4.9
Fe,II,5435.7855,73.85,17.47,0.0312,0.3396,-4.8669,3,0.427,SATURATED_REW,REW -4.867 > -4.9
Ti,I,5435.82,73.56,17.45,0.0312,0.4364,-4.8686,3,0.427,SATURATED_REW,REW -4.869 > -4.9
Ni,I,5435.832,73.3,17.41,0.0311,0.4364,-4.8702,0,0.011,SATURATED_REW,REW -4.870 > -4.9
Ni,I,5435.852,73.19,17.43,0.0311,0.4364,-4.8708,0,0.011,SATURATED_REW,REW -4.871 > -4.9
Fe,I,5436.2945,47.89,30.15,0.0286,0.3319,-5.0551,0,0.001,EW_ERR_EXCESS,err/EW 0.63 > 0.5
Fe,I,5436.5875,62.16,18.58,0.0116,0.3771,-4.9418,1,0.05,UNEXPLAINED,no pipeline rule accounts for this drop
Ti,I,5436.7159,159.48,29.31,0.0061,0.1831,-4.5326,19,0.571,SATURATED_REW,REW -4.533 > -4.9
Co,I,5436.9552,197.43,37.32,0.0064,0.0429,-4.4399,3,0.289,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,5437.0831,185.37,36.4,0.0068,0.1122,-4.4673,18,0.047,SATURATED_REW,REW -4.467 > -4.9
Fe,I,5437.1951,167.38,28.21,0.0072,0.1786,-4.5117,18,0.047,SATURATED_REW,REW -4.512 > -4.9
Cr,I,5437.7576,102.48,162.27,0.0091,0.0171,-4.7248,4,0.029,SATURATED_REW,REW -4.725 > -4.9
Ti,I,5439.0293,24.08,71.78,0.001,0.0165,-5.3539,21,0.011,EW_ERR_EXCESS,err/EW 2.98 > 0.5
V,II,5439.2749,20.05,15.27,0.0001,0.0213,-5.4334,5,0.012,EW_ERR_EXCESS,err/EW 0.76 > 0.5
Ti,I,5440.5093,60.35,33.66,0.0015,0.0131,-4.955,3,0.026,EW_ERR_EXCESS,err/EW 0.56 > 0.5
Ca,I,5440.5986,57.57,30.87,0.0014,0.0391,-4.9755,3,0.026,EW_ERR_EXCESS,err/EW 0.54 > 0.5
Fe,I,5440.6433,56.05,30.52,0.0014,0.0391,-4.9871,2,0.017,EW_ERR_EXCESS,err/EW 0.54 > 0.5
Fe,I,5441.3386,38.7,1.29,0.0003,0.2591,-5.148,0,0.013,UNEXPLAINED,no pipeline rule accounts for this drop
Ca,I,5441.5166,38.69,1.57,0.0003,0.0429,-5.1481,2,0.268,UNEXPLAINED,no pipeline rule accounts for this drop
Cr,I,5442.4065,16.88,4.73,0.0016,0.0817,-5.5084,1,0.031,UNEXPLAINED,no pipeline rule accounts for this drop
