element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Co,I,3811.0314,36.6,23.96,0.1622,0.8805,-5.0176,16,0.872,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3811.0343,36.6,23.97,0.1622,0.8805,-5.0176,30,0.556,EW_ERR_EXCESS,err/EW 0.65 > 0.5
Co,I,3811.0545,36.07,23.78,0.1626,0.8805,-5.0239,11,0.872,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3811.0558,36.07,23.78,0.1626,0.8805,-5.0239,26,0.556,EW_ERR_EXCESS,err/EW 0.66 > 0.5
Ni,I,3811.2832,42.01,31.63,0.1645,0.8667,-4.9577,23,0.789,EW_ERR_EXCESS,err/EW 0.75 > 0.5
V,I,3811.2973,40.15,30.98,0.1648,0.8667,-4.9774,24,0.789,EW_ERR_EXCESS,err/EW 0.77 > 0.5
Ti,I,3811.3994,27.06,27.22,0.1808,0.8453,-5.1488,19,0.556,EW_ERR_EXCESS,err/EW 1.01 > 0.5
Fe,I,3811.4291,23.42,25.89,0.1909,0.8453,-5.2115,9,0.556,EW_ERR_EXCESS,err/EW 1.11 > 0.5
Ti,I,3811.6168,81.85,41.6,0.1732,0.7044,-4.6681,7,0.881,SATURATED_REW,REW -4.668 > -4.9
Mn,I,3811.6352,84.09,42.25,0.1708,0.7044,-4.6564,7,0.881,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,3811.6518,87.95,43.52,0.1675,0.7044,-4.6369,7,0.881,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3811.804,104.42,48.44,0.1567,0.8936,-4.5623,0,0.08,SATURATED_REW,REW -4.562 > -4.9
Fe,I,3811.8906,112.82,52.53,0.1578,0.926,-4.5288,0,0.08,SATURATED_REW,REW -4.529 > -4.9
Y,II,3811.9174,112.84,52.35,0.1581,0.926,-4.5287,3,0.881,SATURATED_REW,REW -4.529 > -4.9
Cr,I,3811.9412,112.81,52.17,0.1585,0.926,-4.5288,2,0.881,SATURATED_REW,REW -4.529 > -4.9
Ca,I,3812.212,5.29,20.23,0.1758,0.7455,-5.8577,9,0.881,EW_ERR_EXCESS,err/EW 3.82 > 0.5
Mn,II,3812.2391,6.96,21.81,0.1789,0.7455,-5.7386,9,0.881,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
