wavelength_air_A,model_flux
8.210813999999880252e+03,9.954733005213479702e-01
8.210815999999878841e+03,9.955442897317683393e-01
8.210817999999879248e+03,9.956142877472258235e-01
8.210819999999877837e+03,9.956832296790690817e-01
8.210821999999878244e+03,9.957510544217470505e-01
8.210823999999876833e+03,9.958177045954857975e-01
8.210825999999877240e+03,9.958831264126027927e-01
8.210827999999875829e+03,9.959472695384922192e-01
8.210829999999876236e+03,9.960100869960477610e-01
8.210831999999874824e+03,9.960715350972486615e-01
8.210833999999875232e+03,9.961315733725322197e-01
8.210835999999873820e+03,9.961901644863753180e-01
8.210837999999874228e+03,9.962472741642039997e-01
8.210839999999872816e+03,9.963028711732082598e-01
8.210841999999873224e+03,9.963569273672734372e-01
8.210843999999871812e+03,9.964094177618052495e-01
8.210845999999872220e+03,9.964603205455947466e-01
8.210847999999870808e+03,9.965096169693465900e-01
8.210849999999871216e+03,9.965572911036143511e-01
8.210851999999869804e+03,9.966033295552999549e-01
8.210853999999870211e+03,9.966477212226827476e-01
8.210855999999868800e+03,9.966904571277829250e-01
8.210857999999869207e+03,9.967315302914792063e-01
8.210859999999867796e+03,9.967709356134625276e-01
8.210861999999868203e+03,9.968086697533673490e-01
8.210863999999866792e+03,9.968447310486510116e-01
8.210865999999867199e+03,9.968791195102678637e-01
8.210867999999865788e+03,9.969118368743175029e-01
8.210869999999866195e+03,9.969428866434191239e-01
8.210871999999864784e+03,9.969722740219073565e-01
8.210873999999865191e+03,9.970000057288089801e-01
8.210875999999863780e+03,9.970260897267271272e-01
8.210877999999864187e+03,9.970505349646786586e-01
8.210879999999862775e+03,9.970733511865685905e-01
8.210881999999863183e+03,9.970945488121295552e-01
8.210883999999861771e+03,9.971141388461953747e-01
8.210885999999862179e+03,9.971321327862496808e-01
8.210887999999860767e+03,9.971485425406980685e-01
8.210889999999861175e+03,9.971633804006571067e-01
8.210891999999859763e+03,9.971766590982149570e-01
8.210893999999860171e+03,9.971883919015468445e-01
8.210895999999858759e+03,9.971985926585177351e-01
8.210897999999859167e+03,9.972072757025827183e-01
8.210899999999857755e+03,9.972144556467821275e-01
8.210901999999858162e+03,9.972201471395928385e-01
8.210903999999856751e+03,9.972243646739425982e-01
8.210905999999857158e+03,9.972271224666989786e-01
8.210907999999855747e+03,9.972284343850368327e-01
8.210909999999856154e+03,9.972283138731508068e-01
8.210911999999854743e+03,9.972267738621677369e-01
8.210913999999855150e+03,9.972238266916816363e-01
8.210915999999853739e+03,9.972194840912396163e-01
8.210917999999854146e+03,9.972137572471878597e-01
8.210919999999852735e+03,9.972066568857245183e-01
8.210921999999853142e+03,9.971981932697561168e-01
8.210923999999851731e+03,9.971883760344467662e-01
8.210925999999852138e+03,9.971772139187051742e-01
8.210927999999850726e+03,9.971647144910905647e-01
8.210929999999851134e+03,9.971508839524684253e-01
8.210931999999849722e+03,9.971357270052162436e-01
8.210933999999850130e+03,9.971192467447606012e-01
8.210935999999848718e+03,9.971014445307258001e-01
8.210937999999849126e+03,9.970823198361681294e-01
8.210939999999847714e+03,9.970618701163318498e-01
8.210941999999848122e+03,9.970400907442690253e-01
8.210943999999846710e+03,9.970169750288766508e-01
8.210945999999847118e+03,9.969925142359369330e-01
8.210947999999845706e+03,9.969666975125677233e-01
8.210949999999846113e+03,9.969395116541859281e-01
8.210951999999844702e+03,9.969109407889290564e-01
8.210953999999845109e+03,9.968809660831785546e-01
