key,species,wl,gf_ll,gf_synth,dgf,ep,n_comp_ll,n_comp_synth,nist_grade,ll_source,synth_ref,hfs
"(6, 1)",C I,6654.61,-2.024,-2.024,0.0,9.0026,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6662.74,-2.127,-2.127,0.0,8.8481,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6671.849999999999,-1.651,-1.651,0.0,8.8507,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6679.64,-2.351,-2.351,0.0,8.8481,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6688.790000000001,-2.129,-2.129,0.0,8.8507,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6711.32,-2.694,-2.694,0.0,8.5371,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6828.12,-1.461,-1.461,0.0,8.5371,1,1,,VALD3,NIST10,False
"(20, 1)",Ca I,4201.06571,-4.203,-4.203,0.0,2.9325,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4201.24685,-2.343,-2.343,0.0,4.6802,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4203.11672,-2.107,-2.107,0.0,2.9325,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4207.19555,-1.645,-1.645,0.0,4.7353,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4207.37899,-2.291,-2.291,0.0,4.7798,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4210.44389,-1.622,-1.622,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4211.01036,-1.453,-1.453,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4211.93294,-2.332,-2.332,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4218.11858,-2.447,-2.447,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4222.07181,-2.473,-2.473,0.0,4.5541,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4222.61966,-1.97,-1.97,0.0,4.6244,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4223.4458,-2.18,-2.18,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4225.54088,-2.227,-2.227,0.0,4.43,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4226.728,0.244,0.244,0.0,0.0,1,1,,VALD3,SG,False
"(20, 1)",Ca I,4227.78553,-2.372,-2.372,0.0,4.5541,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4230.17183,-1.627,-1.627,0.0,4.43,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4232.1238,-1.146,-1.146,0.0,4.43,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4236.53633,-2.462,-2.462,0.0,4.6802,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4237.19533,-2.272,-2.272,0.0,4.6806,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4240.45726,-1.051,-1.051,0.0,2.709,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4240.60404,-2.341,-2.341,0.0,4.7353,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4241.30839,-2.635,-2.635,0.0,4.6244,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4243.23193,-1.481,-1.481,0.0,4.7353,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4245.48912,-1.315,-1.315,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4245.97706,-1.528,-1.4954603479353934,0.03253965206460663,4.7435,1,2,,VALD3,K07,True
"(20, 1)",Ca I,4247.04023,-2.471,-2.471,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4247.52275,-2.272,-2.272,0.0,4.7353,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4247.99581,-1.938,-1.938,0.0,4.441,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4248.05087,-2.172,-2.172,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4249.04302,-1.039,-1.039,0.0,4.443,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4249.53069,-2.028,-2.028,0.0,4.441,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4250.02046,-1.267,-1.267,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4251.01245,-1.579,-1.579,0.0,4.443,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4252.71431,-2.035,-1.9331701720703112,0.10182982792968898,4.7435,1,2,,VALD3,K07,True
"(20, 1)",Ca I,4263.69944,-0.75,-0.75,0.0,4.4506,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4264.61413,-2.278,-2.278,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4267.86195,-2.553,-2.553,0.0,4.6802,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4271.25906,-2.383,-2.383,0.0,4.6244,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4273.32239,-2.3,-2.3,0.0,4.769,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4284.43475,-2.358,-2.358,0.0,4.1308,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4289.36673,-0.23299999999999998,-0.23299999999999998,0.0,1.8793,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4296.65334,-2.464,-2.464,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4297.16567,-2.324,-2.324,0.0,4.7353,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4298.98825,-0.359,-0.359,0.0,1.8858,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4300.35098,-1.764,-1.764,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4302.62158,-1.32,-1.32,0.0,4.7353,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4302.9227,-2.159,-2.159,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4304.05387,-2.447,-2.447,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4305.66663,-1.007,-1.007,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4307.57643,-2.026,-2.026,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4307.74385,-0.234,-0.234,0.0,1.8858,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4309.5273,-2.301,-2.301,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4312.339,-1.908,-1.908,0.0,2.9325,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4318.65164,-0.139,-0.139,0.0,1.8989,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4321.82237,-2.355,-2.355,0.0,4.769,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4322.84555,-1.856,-1.856,0.0,4.7632,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4323.84097,-2.423,-2.423,0.0,4.6802,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4324.52742,-2.195,-2.195,0.0,4.6806,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4327.64084,-2.38,-2.38,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4331.69869,-1.909,-1.909,0.0,4.769,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4332.41129,-1.844,-1.844,0.0,4.43,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4338.09153,-2.308,-2.308,0.0,4.7798,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4344.54763,-1.637,-1.637,0.0,4.441,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4346.28044,-2.009,-2.009,0.0,4.6244,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4353.43519,-1.536,-1.536,0.0,4.4506,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4355.07891,-0.47000000000000003,-0.47000000000000003,0.0,2.709,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4355.9947,-0.654,-0.654,0.0,4.8767,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4358.01344,-2.076,-2.076,0.0,4.443,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4363.06934,-3.875,-3.864728393212322,0.0102716067876778,2.709,1,2,,VALD3,K07,True
"(20, 1)",Ca I,4364.1411,-0.661,-0.661,0.0,4.877,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4372.76802,-2.301,-2.301,0.0,4.5541,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4378.0791,-2.661,-2.661,0.0,4.5322,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4378.23326,-2.402,-2.402,0.0,4.7632,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4378.72015,-2.29,-2.29,0.0,4.7353,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4379.81977,-1.986,-1.986,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4381.69414,-2.566,-2.566,0.0,4.5313,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4383.53936,-2.44,-2.44,0.0,4.7353,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4384.37102,-2.008,-2.008,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4384.78909,-1.161,-1.161,0.0,4.7353,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4385.66086,-1.977,-1.977,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4385.85211,-2.358,-2.358,0.0,4.7798,1,1,,VALD3,K07,False
