element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,6240.6458,kpno_solar_atlas,57.223288123592575,"PROFILE-FIT (voigt); gap 0.336 A; model integrated; chi2_red=0.001489; sigma_fit=0.0276 A (init 0.0358, floor 0.0053); ew_err=2.92 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0620,lm0624",7.27353125,-5.037656724746998,ENGINE-A,True,,,,,,True,,,,
Fe,I,6270.223,kpno_solar_atlas,60.30865897817917,"PROFILE-FIT (voigt); gap 1.055 A; model integrated; chi2_red=0.0001631; sigma_fit=0.0324 A (init 0.0360, floor 0.0053); ew_err=5.26 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0624",,-5.016903315138153,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6271.2775,kpno_solar_atlas,31.957449013308825,"PROFILE-FIT (voigt); gap 1.055 A; model integrated; chi2_red=0.0002104; sigma_fit=0.0108 A (init 0.0360, floor 0.0053); ew_err=10.67 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0624",7.580359375,-5.292783913757182,ENGINE-A,True,,,,,,True,,,,
Fe,I,6330.8474,kpno_solar_atlas,38.99237527021004,"PROFILE-FIT (voigt); gap 0.756 A; model integrated; chi2_red=1.795e-05; sigma_fit=0.0354 A (init 0.0363, floor 0.0054); ew_err=6.46 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0632",,-5.210482153732002,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6380.7428,kpno_solar_atlas,57.71826012448468,"PROFILE-FIT (voigt); gap 2.517 A; model integrated; chi2_red=3.642e-05; sigma_fit=0.0393 A (init 0.0366, floor 0.0054); ew_err=0.53 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0636",,-5.043558007968207,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6383.7149,kpno_solar_atlas,12.985894126373635,"PROFILE-FIT (voigt); gap 0.920 A; model integrated; chi2_red=1.191e-05; sigma_fit=0.0212 A (init 0.0366, floor 0.0054); ew_err=5.57 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0636",7.718984375,-5.691601625199631,ENGINE-A,True,,,,,,True,,,,
Fe,I,6392.5374,kpno_solar_atlas,21.39793177579137,"PROFILE-FIT (voigt); gap 0.548 A; model integrated; chi2_red=7.757e-05; sigma_fit=0.0283 A (init 0.0367, floor 0.0054); ew_err=20.42 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0636",,-5.475301479076726,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6416.9258,kpno_solar_atlas,43.491594066085504,"PROFILE-FIT (voigt); gap 0.396 A; model integrated; chi2_red=4.974e-06; sigma_fit=0.0442 A (init 0.0368, floor 0.0055); ew_err=2.59 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0640",,-5.168921691659533,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6436.4055,kpno_solar_atlas,13.21617738486186,"PROFILE-FIT (voigt); gap 1.402 A; model integrated; chi2_red=2.07e-05; sigma_fit=0.0199 A (init 0.0369, floor 0.0055); ew_err=0.45 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0640",,-5.687537538248531,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6469.1172,kpno_solar_atlas,69.5050074886661,"PROFILE-FIT (voigt); gap 0.075 A; model integrated; chi2_red=0.000322; sigma_fit=0.0306 A (init 0.0371, floor 0.0055); ew_err=1.92 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0644",7.617515625,-4.968828924792279,ENGINE-A,True,,,,,,True,,,,
Fe,I,6469.1917,kpno_solar_atlas,69.63652347556469,"PROFILE-FIT (voigt); gap 0.075 A; model integrated; chi2_red=0.0003237; sigma_fit=0.0304 A (init 0.0371, floor 0.0055); ew_err=1.94 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0644",7.617515625,-4.968012939347814,ENGINE-A,True,,,,,,True,,,,
Fe,I,6481.8694,kpno_solar_atlas,72.84072788195517,"PROFILE-FIT (voigt); gap 0.898 A; model integrated; chi2_red=0.0001917; sigma_fit=0.0357 A (init 0.0372, floor 0.0055); ew_err=8.45 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0644,lm0648",,-4.949325999441055,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6495.7409,kpno_solar_atlas,74.1921911926632,"PROFILE-FIT (voigt); gap 0.724 A; model integrated; chi2_red=0.001467; sigma_fit=0.0520 A (init 0.0372, floor 0.0055); ew_err=46.07 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0648",7.5999375,-4.942270495855116,ENGINE-A,True,,,,,,True,,,,
Fe,I,6498.9379,kpno_solar_atlas,52.74709944351745,"PROFILE-FIT (voigt); gap 0.083 A; model integrated; chi2_red=0.0002111; sigma_fit=0.0334 A (init 0.0373, floor 0.0055); ew_err=16.53 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0648",7.7575625,-5.090643804299722,ENGINE-A,True,,,,,,True,,,,
Fe,I,6518.3653,kpno_solar_atlas,75.34357125543414,"PROFILE-FIT (voigt); gap 0.237 A; model integrated; chi2_red=0.002252; sigma_fit=0.0087 A (init 0.0374, floor 0.0055); ew_err=4.69 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0648",,-4.937092493652487,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
