# RYA-373 conditioned CRIRES+ Vesta K-band CO (PROVISIONAL) — snapshot @ rya-373 2eadc4d, input to RYA-390 Part B validation.
# wave_vac_A: VACUUM wavelength (Angstrom; CRIRES IDP / molecfit WAVELENGTH_FRAME=VAC). flux_norm: continuum-normalized. err.
# RYA = RYA-373
# PROVIS = True
# TELL = molecfit
# CONTNORM = True
# RESTFRM = False
# SPECSYS = TOPOCENT
# WLEN = K2217
# GATE = 0.0653
# SNRFRAME = 78.8
# RVSTATUS = RV-INSUFFICIENT: ADP.2025-06-06T16:14:11.206.fits: frame-RV INSUFFIC
# GAP1 = FTS solar IR atlas (RYA-162) absent - telluric-gate final cal pending
# GAP2 = revalidate after RYA-387 0.001 re-extraction (anchors from RYA-381)
wave_vac_A,flux_norm,err
22860.50115,1.006729,195.0035
22860.57061,1.000115,194.6315
22860.64007,1.000649,194.4827
22860.70953,1.000925,194.7579
22860.77898,0.996509,194.6250
22860.84844,0.999421,194.3211
22860.91789,1.003464,195.7594
22860.98734,1.000648,195.0540
22861.05679,1.003870,195.8337
22861.12624,0.998534,195.3068
22861.19569,0.998524,195.3730
22861.26514,0.991746,195.0666
22861.33458,0.992208,195.8249
22861.40403,0.988344,195.1303
22861.47347,0.989518,195.3842
22861.54291,0.976044,195.2027
22861.61235,0.973830,194.8898
22861.68178,0.981374,195.1963
22861.75122,0.975706,195.6932
22861.82066,0.986291,195.3111
22861.89009,0.998145,195.8328
22861.95952,1.004864,195.1746
22862.02895,1.003036,195.2276
22862.09838,1.001232,194.4698
22862.16780,0.996051,194.6471
22862.23723,1.002570,194.1526
22862.30665,1.013890,194.2849
22862.37608,1.001852,193.0146
22862.44550,1.013383,192.7740
22862.51492,0.999070,193.3463
22862.58433,0.999445,192.9059
22862.65375,1.008752,193.8904
22862.72317,0.999732,194.8976
22862.79258,1.004304,195.6034
22862.86199,1.001359,195.3463
22862.93140,0.996982,195.1335
22863.00081,0.983916,194.6592
22863.07022,0.987877,195.1271
22863.13962,0.992939,196.2578
22863.20903,0.986076,195.0864
22863.27843,0.984052,196.1363
22863.34783,0.983191,194.7821
22863.41723,0.986095,194.7572
22863.48663,0.990611,195.5623
22863.55603,0.998336,194.7566
22863.62542,0.998654,195.1645
22863.69482,0.996611,194.8237
22863.76421,1.002565,194.3845
22863.83360,0.993395,193.3180
22863.90299,0.996728,193.4913
22863.97238,1.006519,194.0093
22864.04177,0.994806,193.4049
22864.11115,0.993951,192.9779
22864.18053,1.001556,193.1254
22864.24992,0.992850,193.1235
22864.31930,1.003950,193.7501
22864.38868,1.001696,194.3184
22864.45805,0.999838,194.4410
22864.52743,1.002930,194.2450
22864.59680,0.995092,194.7401
22864.66618,0.998836,194.0205
22864.73555,0.996969,194.3012
22864.80492,0.993432,195.1692
22864.87429,1.008689,193.9915
22864.94365,1.008199,194.0948
22865.01302,1.001485,194.7585
22865.08238,1.006955,193.8724
22865.15175,0.996250,195.1203
22865.22111,0.998143,194.6614
22865.29047,0.998034,194.6500
22865.35983,0.993745,194.9271
22865.42918,0.990947,194.1788
22865.49854,0.987392,194.5324
22865.56789,0.987713,194.4167
22865.63724,0.983011,194.1619
22865.70659,0.972964,195.5685
22865.77594,0.948610,195.4982
22865.84529,0.938908,195.1139
22865.91464,0.948239,195.4531
22865.98398,0.952011,194.5481
22866.05332,0.962081,194.7924
22866.12267,0.957584,194.7644
22866.19201,0.957796,194.4697
22866.26134,0.946939,194.2156
22866.33068,0.939117,193.8549
22866.40002,0.899322,194.0272
22866.46935,0.880541,193.5945
22866.53868,0.879833,192.6737
22866.60802,0.889496,190.5385
22866.67735,0.912525,189.5238
22866.74667,0.934435,190.5167
22866.81600,0.941851,190.8299
22866.88533,0.921783,192.0066
22866.95465,0.900199,191.3912
22867.02397,0.880542,191.5814
22867.09329,0.859648,190.6716
22867.16261,0.865228,189.8602
22867.23193,0.896279,186.0759
22867.30125,0.925685,184.3164
22867.37056,0.946178,184.2410
22867.43987,0.968887,185.0734
22867.50918,0.967427,187.4867
22867.57849,0.973142,189.5085
22867.64780,0.979066,190.4614
22867.71711,0.977209,188.4680
22867.78642,0.984155,186.4834
22867.85572,0.980916,184.5483
22867.92502,0.976070,182.4068
22867.99432,0.978848,183.2802
22868.06362,0.965852,186.0990
22868.13292,0.959979,189.0696
22868.20222,0.965791,191.1461
22868.27151,0.955672,193.3472
22868.34081,0.955321,193.2703
22868.41010,0.950758,193.8442
22868.47939,0.959552,194.5208
22868.54868,0.964406,194.4077
22868.61797,0.966332,195.0758
22868.68725,0.968938,194.8816
22868.75654,0.962896,194.2519
22868.82582,0.959690,194.7274
22868.89510,0.954910,193.4297
22868.96438,0.960052,192.8803
22869.03366,0.970287,193.5040
22869.10294,0.963546,192.4467
22869.17222,0.971755,192.5304
22869.24149,0.977083,192.2296
22869.31076,0.961935,193.0088
22869.38003,0.968209,193.4603
22869.44930,0.956569,193.4975
22869.51857,0.948608,194.0856
22869.58784,0.954121,193.4056
22869.65710,0.942433,193.1962
22869.72637,0.935928,192.6577
22869.79563,0.932276,193.3165
22869.86489,0.931191,194.1494
22869.93415,0.935506,193.7359
22870.00341,0.944625,194.4524
22870.07266,0.949823,194.9586
22870.14192,0.953952,193.5683
22870.21117,0.952829,194.0689
22870.28042,0.942614,193.1407
22870.34968,0.943022,192.2260
22870.41892,0.937705,192.8071
22870.48817,0.949209,191.7261
22870.55742,0.958850,191.1041
22870.62666,0.970111,190.7797
22870.69590,0.990454,190.7541
22870.76515,0.979350,191.1383
22870.83439,0.992925,192.0773
22870.90362,0.986451,192.5815
22870.97286,0.995383,192.8695
22871.04210,0.992813,192.9164
22871.11133,0.991839,191.9801
22871.18056,0.998734,192.0384
22871.24979,0.989729,191.5130
22871.31902,0.990871,192.6732
22871.38825,0.997332,193.5558
22871.45748,0.994696,194.6246
22871.52670,0.991831,196.6488
22871.59592,0.992084,195.6488
22871.66515,0.939935,196.8867
22871.73437,0.972651,196.2387
22871.80358,0.970787,196.9820
22871.87280,0.997858,196.8502
22871.94202,0.997117,196.6931
22872.01123,1.009692,197.2744
22872.08045,1.004896,196.4421
22872.14966,1.006484,196.5107
22872.21887,0.994291,197.0133
22872.28807,1.005465,196.7902
22872.35728,1.004581,196.5914
22872.42649,1.000574,196.4742
22872.49569,1.002972,191.5844
22872.56489,1.000380,194.0679
22872.63409,0.992363,194.5692
22872.70329,0.998359,196.5284
22872.77249,0.980619,196.9013
22872.84169,0.985657,197.9725
22872.91088,0.989852,197.3643
22872.98008,0.988328,197.5739
22873.04927,0.993877,196.3866
22873.11846,0.998516,197.3814
22873.18765,1.003150,197.2938
22873.25683,1.002527,196.8714
22873.32602,0.998809,197.1330
22873.39520,0.997724,196.8680
22873.46439,1.004748,196.0503
22873.53357,1.004444,196.6531
22873.60275,0.994449,195.1137
22873.67193,0.993259,195.3898
22873.74110,0.995867,195.8181
22873.81028,0.995710,195.6542
22873.87945,0.990515,196.3017
22873.94862,0.980185,196.6557
22874.01780,0.981475,197.0688
22874.08696,0.984937,197.0179
22874.15613,0.977764,196.7490
22874.22530,0.966446,196.5900
22874.29446,0.975053,197.2252
22874.36363,0.975457,197.3122
22874.43279,0.981016,196.4060
22874.50195,0.980628,196.3321
22874.57111,0.989721,196.6232
22874.64027,0.991156,196.4125
22874.70942,0.992923,196.0190
22874.77858,0.990954,195.1596
22874.84773,0.991702,195.3116
22874.91688,0.991027,195.6108
22874.98603,0.990220,194.9392
22875.05518,0.995118,194.0574
22875.12432,0.986923,194.6018
22875.19347,0.997954,194.7631
22875.26261,0.994518,195.3013
22875.33176,0.997335,195.5145
22875.40090,0.994834,196.1809
22875.47004,0.987633,196.2321
22875.53917,0.982319,196.6271
22875.60831,0.977952,196.3706
22875.67744,0.981501,196.4312
22875.74658,0.956810,196.5146
22875.81571,0.942762,196.3557
22875.88484,0.916398,196.8123
22875.95397,0.896169,196.0777
22876.02310,0.903905,197.2167
22876.09222,0.931183,197.0015
22876.16135,0.951533,197.1947
22876.23047,0.974444,196.9369
22876.29959,0.969707,196.2779
22876.36871,0.970480,195.8780
22876.43783,0.980679,195.4559
22876.50695,0.973374,195.7730
22876.57606,0.966792,193.4703
22876.64517,0.967993,192.2062
22876.71429,0.956574,189.5796
22876.78340,0.945449,187.7208
22876.85251,0.933332,188.6300
22876.92161,0.889867,191.1636
22876.99072,0.845417,193.2684
22877.05983,0.780516,195.4244
22877.12893,0.753072,195.1411
22877.19803,0.767793,195.2313
22877.26713,0.822734,196.2065
22877.33623,0.881775,195.7686
22877.40533,0.926580,194.9479
22877.47442,0.933889,195.1457
22877.54352,0.941780,194.0899
22877.61261,0.951068,193.0378
22877.68170,0.946105,191.6848
22877.75079,0.953853,187.5307
22877.81988,0.959828,182.9577
22877.88897,0.943291,176.1456
22877.95805,0.938017,173.7038
22878.02713,0.922436,175.0774
22878.09622,0.923375,180.5922
22878.16530,0.923613,186.7879
22878.23438,0.928667,191.1587
22878.30345,0.943357,192.1451
22878.37253,0.947411,192.8929
22878.44161,0.945842,193.7628
22878.51068,0.953419,193.3012
22878.57975,0.961456,194.0439
22878.64882,0.968941,194.6807
22878.71789,0.979262,192.9404
22878.78696,0.977377,192.5761
22878.85602,0.977375,190.9766
22878.92509,0.984717,191.0779
