wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
4248.68870,4249.88490,0.51058,122.58000
4248.69870,4249.89490,0.45963,110.34000
4248.70880,4249.90500,0.41867,100.51000
4248.71860,4249.91480,0.39164,94.02000
4248.72860,4249.92480,0.38278,91.89000
4248.73870,4249.93490,0.39549,94.95000
4248.74850,4249.94470,0.43112,103.50000
4248.75850,4249.95470,0.48754,117.04000
4248.76830,4249.96450,0.55872,134.13000
4248.77840,4249.97460,0.63563,152.59000
4248.78850,4249.98470,0.70846,170.08000
4248.79820,4249.99440,0.76983,184.81000
4248.80830,4250.00450,0.81667,196.06000
4248.81840,4250.01460,0.84918,203.86000
4248.82810,4250.02430,0.86822,208.43000
4248.83820,4250.03440,0.87385,209.78000
4248.84830,4250.04450,0.86527,207.72000
4248.85800,4250.05430,0.84094,201.88000
4248.86810,4250.06440,0.79892,191.79000
4248.87790,4250.07420,0.73878,177.35000
4248.88790,4250.08420,0.66422,159.45000
4248.89800,4250.09430,0.58359,140.10000
4248.90780,4250.10410,0.50717,121.75000
4248.91780,4250.11410,0.44410,106.61000
4248.92790,4250.12420,0.40103,96.27000
4248.93770,4250.13400,0.38198,91.70000
4248.94780,4250.14410,0.38879,93.33000
4248.95780,4250.15410,0.42153,101.19000
4248.96760,4250.16390,0.47770,114.68000
4248.97770,4250.17400,0.55086,132.24000
4248.98770,4250.18400,0.63131,151.55000
4248.99750,4250.19380,0.70925,170.26000
