wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3871.13310,3872.23050,0.28227,59.01000
3871.13770,3872.23510,0.28096,58.74000
3871.14200,3872.23940,0.28068,58.68000
3871.14650,3872.24390,0.28116,58.78000
3871.15110,3872.24850,0.28211,58.98000
3871.15540,3872.25280,0.28327,59.22000
3871.16000,3872.25740,0.28445,59.47000
3871.16460,3872.26200,0.28544,59.67000
3871.16880,3872.26620,0.28609,59.81000
3871.17340,3872.27080,0.28618,59.83000
3871.17770,3872.27510,0.28551,59.69000
3871.18230,3872.27980,0.28386,59.34000
3871.18680,3872.28430,0.28106,58.76000
3871.19110,3872.28860,0.27703,57.91000
3871.19570,3872.29320,0.27186,56.83000
3871.20030,3872.29780,0.26575,55.56000
3871.20450,3872.30200,0.25905,54.16000
3871.20910,3872.30660,0.25218,52.72000
3871.21340,3872.31090,0.24559,51.34000
3871.21800,3872.31550,0.23968,50.11000
3871.22250,3872.32000,0.23481,49.09000
3871.22680,3872.32430,0.23117,48.33000
3871.23140,3872.32890,0.22888,47.85000
3871.23600,3872.33350,0.22787,47.64000
3871.24020,3872.33770,0.22801,47.67000
3871.24480,3872.34230,0.22910,47.89000
3871.24940,3872.34690,0.23091,48.27000
3871.25370,3872.35120,0.23323,48.76000
3871.25820,3872.35570,0.23582,49.30000
3871.26250,3872.36000,0.23846,49.85000
3871.26710,3872.36460,0.24090,50.36000
3871.27170,3872.36920,0.24288,50.77000
3871.27590,3872.37340,0.24417,51.04000
3871.28050,3872.37800,0.24459,51.13000
3871.28510,3872.38260,0.24404,51.02000
3871.28940,3872.38690,0.24253,50.70000
3871.29390,3872.39140,0.24017,50.21000
3871.29850,3872.39600,0.23711,49.57000
3871.30280,3872.40030,0.23355,48.82000
3871.30740,3872.40490,0.22970,48.02000
3871.31160,3872.40910,0.22572,47.19000
3871.31620,3872.41370,0.22174,46.35000
3871.32080,3872.41830,0.21787,45.55000
3871.32510,3872.42260,0.21414,44.77000
3871.32970,3872.42720,0.21058,44.02000
3871.33420,3872.43170,0.20714,43.30000
3871.33850,3872.43600,0.20379,42.60000
3871.34310,3872.44060,0.20047,41.91000
3871.34770,3872.44520,0.19718,41.22000
3871.35190,3872.44940,0.19396,40.55000
3871.35650,3872.45400,0.19091,39.91000
3871.36080,3872.45830,0.18815,39.33000
3871.36540,3872.46290,0.18580,38.84000
3871.36990,3872.46740,0.18397,38.46000
3871.37420,3872.47170,0.18274,38.20000
3871.37880,3872.47630,0.18215,38.08000
3871.38340,3872.48090,0.18222,38.09000
3871.38760,3872.48510,0.18292,38.24000
3871.39220,3872.48970,0.18422,38.51000
3871.39680,3872.49430,0.18607,38.90000
3871.40110,3872.49860,0.18845,39.39000
3871.40560,3872.50310,0.19142,40.02000
3871.40990,3872.50740,0.19513,40.79000
3871.41450,3872.51200,0.19984,41.78000
3871.41910,3872.51660,0.20590,43.04000
3871.42330,3872.52080,0.21374,44.68000
3871.42790,3872.52540,0.22385,46.80000
3871.43250,3872.53000,0.23678,49.50000
3871.43680,3872.53430,0.25301,52.89000
3871.44130,3872.53880,0.27279,57.03000
3871.44590,3872.54340,0.29593,61.86000
3871.45020,3872.54770,0.32160,67.23000
3871.45480,3872.55230,0.34831,72.81000
3871.45900,3872.55650,0.37411,78.21000
3871.46360,3872.56110,0.39694,82.98000
3871.46820,3872.56570,0.41508,86.77000
3871.47250,3872.57000,0.42750,89.37000
3871.47710,3872.57460,0.43406,90.74000
3871.48160,3872.57910,0.43540,91.02000
3871.48590,3872.58340,0.43270,90.45000
3871.49050,3872.58800,0.42736,89.34000
3871.49510,3872.59260,0.42072,87.95000
3871.49930,3872.59680,0.41382,86.51000
3871.50390,3872.60140,0.40736,85.16000
3871.50820,3872.60570,0.40158,83.95000
3871.51280,3872.61030,0.39640,82.86000
3871.51730,3872.61480,0.39142,81.82000
3871.52160,3872.61910,0.38614,80.72000
3871.52620,3872.62370,0.38007,79.45000
3871.53080,3872.62830,0.37296,77.96000
3871.53500,3872.63250,0.36483,76.26000
3871.53960,3872.63710,0.35601,74.42000
3871.54420,3872.64170,0.34708,72.55000
3871.54850,3872.64600,0.33871,70.80000
3871.55300,3872.65050,0.33162,69.32000
3871.55730,3872.65480,0.32642,68.24000
3871.56190,3872.65940,0.32364,67.65000
3871.56650,3872.66410,0.32367,67.66000
3871.57070,3872.66830,0.32674,68.30000
3871.57530,3872.67290,0.33291,69.59000
3871.57990,3872.67750,0.34196,71.48000
3871.58420,3872.68180,0.35335,73.86000
3871.58870,3872.68630,0.36620,76.55000
3871.59330,3872.69090,0.37934,79.30000
3871.59760,3872.69520,0.39140,81.82000
3871.60220,3872.69980,0.40103,83.83000
3871.60640,3872.70400,0.40713,85.11000
3871.61100,3872.70860,0.40904,85.51000
3871.61560,3872.71320,0.40671,85.02000
3871.61990,3872.71750,0.40067,83.76000
3871.62450,3872.72210,0.39196,81.93000
3871.62900,3872.72660,0.38191,79.83000
3871.63330,3872.73090,0.37182,77.72000
3871.63790,3872.73550,0.36277,75.83000
3871.64250,3872.74010,0.35541,74.29000
3871.64670,3872.74430,0.34990,73.14000
3871.65130,3872.74890,0.34602,72.33000
3871.65560,3872.75320,0.34328,71.76000
3871.66020,3872.75780,0.34118,71.32000
3871.66470,3872.76230,0.33927,70.92000
3871.66900,3872.76660,0.33727,70.50000
3871.67360,3872.77120,0.33497,70.02000
3871.67820,3872.77580,0.33218,69.44000
3871.68240,3872.78000,0.32863,68.70000
3871.68700,3872.78460,0.32397,67.72000
3871.69160,3872.78920,0.31774,66.42000
3871.69590,3872.79350,0.30951,64.70000
3871.70040,3872.79800,0.29892,62.48000
3871.70470,3872.80230,0.28575,59.73000
3871.70930,3872.80690,0.27002,56.44000
3871.71390,3872.81150,0.25197,52.67000
3871.71810,3872.81570,0.23218,48.53000
3871.72270,3872.82030,0.21148,44.21000
3871.72730,3872.82490,0.19089,39.90000
3871.73160,3872.82920,0.17151,35.85000
3871.73610,3872.83370,0.15429,32.25000
3871.74070,3872.83830,0.13997,29.26000
3871.74500,3872.84260,0.12900,26.97000
3871.74960,3872.84720,0.12159,25.42000
3871.75420,3872.85180,0.11790,24.64000
3871.75840,3872.85600,0.11810,24.69000
3871.76300,3872.86060,0.12249,25.60000
3871.76730,3872.86490,0.13140,27.47000
3871.77190,3872.86950,0.14509,30.33000
3871.77640,3872.87400,0.16363,34.20000
3871.78070,3872.87830,0.18675,39.04000
3871.78530,3872.88290,0.21392,44.72000
3871.78990,3872.88750,0.24438,51.08000
3871.79410,3872.89170,0.27726,57.96000
3871.79870,3872.89630,0.31173,65.16000
3871.80330,3872.90090,0.34699,72.53000
3871.80760,3872.90520,0.38231,79.91000
3871.81210,3872.90970,0.41692,87.15000
3871.81640,3872.91400,0.44998,94.06000
3871.82100,3872.91860,0.48056,100.45000
3871.82560,3872.92320,0.50767,106.12000
3871.82980,3872.92740,0.53036,110.86000
3871.83440,3872.93200,0.54782,114.51000
3871.83900,3872.93660,0.55950,116.95000
3871.84330,3872.94090,0.56510,118.12000
3871.84780,3872.94540,0.56472,118.04000
3871.85240,3872.95000,0.55874,116.79000
3871.85670,3872.95430,0.54789,114.52000
3871.86130,3872.95890,0.53314,111.44000
3871.86550,3872.96310,0.51565,107.79000
3871.87010,3872.96770,0.49667,103.82000
3871.87470,3872.97230,0.47746,99.80000
3871.87900,3872.97660,0.45920,95.99000
3871.88350,3872.98110,0.44292,92.58000
3871.88810,3872.98570,0.42952,89.78000
3871.89240,3872.99000,0.41973,87.73000
3871.89700,3872.99460,0.41410,86.56000
3871.90160,3872.99920,0.41306,86.34000
3871.90580,3873.00340,0.41682,87.13000
3871.91040,3873.00800,0.42544,88.93000
3871.91500,3873.01260,0.43876,91.71000
3871.91930,3873.01690,0.45649,95.42000
3871.92380,3873.02140,0.47812,99.94000
3871.92810,3873.02570,0.50302,105.14000
3871.93270,3873.03030,0.53042,110.87000
3871.93730,3873.03490,0.55942,116.93000
3871.94150,3873.03910,0.58904,123.12000
3871.94610,3873.04370,0.61826,129.23000
3871.95070,3873.04840,0.64608,135.05000
3871.95500,3873.05270,0.67155,140.37000
3871.95950,3873.05720,0.69387,145.04000
3871.96410,3873.06180,0.71232,148.89000
3871.96840,3873.06610,0.72632,151.82000
3871.97300,3873.07070,0.73542,153.72000
3871.97720,3873.07490,0.73925,154.52000
3871.98180,3873.07950,0.73751,154.16000
3871.98640,3873.08410,0.72999,152.58000
3871.99070,3873.08840,0.71655,149.78000
3871.99520,3873.09290,0.69718,145.73000
3871.99980,3873.09750,0.67204,140.47000
3872.00410,3873.10180,0.64156,134.10000
3872.00870,3873.10640,0.60651,126.77000
3872.01320,3873.11090,0.56797,118.72000
3872.01750,3873.11520,0.52736,110.23000
3872.02210,3873.11980,0.48623,101.63000
3872.02670,3873.12440,0.44619,93.26000
3872.03090,3873.12860,0.40867,85.42000
3872.03550,3873.13320,0.37491,78.36000
3872.03980,3873.13750,0.34578,72.28000
3872.04440,3873.14210,0.32183,67.27000
3872.04900,3873.14670,0.30327,63.39000
3872.05320,3873.15090,0.28997,60.61000
3872.05780,3873.15550,0.28158,58.86000
3872.06240,3873.16010,0.27750,58.00000
3872.06670,3873.16440,0.27703,57.90000
3872.07120,3873.16890,0.27940,58.40000
3872.07580,3873.17350,0.28383,59.33000
3872.08010,3873.17780,0.28968,60.55000
3872.08470,3873.18240,0.29647,61.97000
3872.08890,3873.18660,0.30401,63.54000
3872.09350,3873.19120,0.31244,65.31000
3872.09810,3873.19580,0.32215,67.34000
3872.10240,3873.20010,0.33364,69.74000
3872.10690,3873.20460,0.34725,72.58000
3872.11150,3873.20920,0.36288,75.85000
3872.11580,3873.21350,0.37987,79.40000
3872.12040,3873.21810,0.39696,82.97000
3872.12490,3873.22260,0.41253,86.23000
3872.12920,3873.22690,0.42494,88.82000
3872.13380,3873.23150,0.43289,90.48000
3872.13840,3873.23610,0.43571,91.07000
3872.14260,3873.24030,0.43346,90.60000
3872.14720,3873.24490,0.42688,89.22000
3872.15150,3873.24920,0.41722,87.21000
3872.15610,3873.25380,0.40602,84.86000
3872.16060,3873.25830,0.39487,82.53000
