wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3351.02720,3351.99050,0.81136,129.35000
3351.03120,3351.99450,0.78050,124.43000
3351.03520,3351.99850,0.74549,118.85000
3351.03910,3352.00240,0.70824,112.91000
3351.04310,3352.00640,0.67131,107.02000
3351.04710,3352.01040,0.63760,101.65000
3351.05100,3352.01430,0.60999,97.25000
3351.05500,3352.01830,0.59083,94.19000
3351.05900,3352.02230,0.58155,92.71000
3351.06290,3352.02620,0.58248,92.86000
3351.06690,3352.03020,0.59280,94.51000
3351.07090,3352.03420,0.61083,97.38000
3351.07480,3352.03810,0.63440,101.14000
3351.07880,3352.04210,0.66116,105.41000
3351.08280,3352.04610,0.68895,109.84000
3351.08670,3352.05000,0.71598,114.15000
3351.09070,3352.05400,0.74083,118.11000
3351.09470,3352.05800,0.76248,121.56000
3351.09860,3352.06190,0.78026,124.40000
3351.10260,3352.06590,0.79376,126.55000
3351.10660,3352.06990,0.80284,128.00000
3351.11050,3352.07380,0.80760,128.76000
3351.11450,3352.07780,0.80833,128.88000
3351.11850,3352.08180,0.80557,128.44000
3351.12240,3352.08570,0.80008,127.56000
3351.12640,3352.08970,0.79275,126.39000
3351.13040,3352.09370,0.78462,125.10000
3351.13430,3352.09760,0.77669,123.83000
3351.13830,3352.10160,0.76988,122.75000
3351.14230,3352.10560,0.76494,121.96000
3351.14620,3352.10950,0.76239,121.55000
3351.15020,3352.11350,0.76251,121.57000
3351.15420,3352.11750,0.76541,122.04000
3351.15810,3352.12140,0.77093,122.92000
3351.16210,3352.12540,0.77875,124.17000
3351.16610,3352.12940,0.78836,125.70000
3351.17000,3352.13330,0.79912,127.41000
3351.17400,3352.13730,0.81036,129.21000
3351.17800,3352.14130,0.82141,130.97000
3351.18190,3352.14520,0.83169,132.61000
3351.18590,3352.14920,0.84071,134.05000
3351.18990,3352.15320,0.84807,135.22000
3351.19380,3352.15710,0.85344,136.08000
3351.19780,3352.16110,0.85658,136.58000
3351.20180,3352.16510,0.85735,136.70000
3351.20570,3352.16900,0.85581,136.46000
3351.20970,3352.17300,0.85215,135.88000
3351.21370,3352.17700,0.84679,135.02000
3351.21770,3352.18100,0.84030,133.99000
3351.22160,3352.18490,0.83341,132.89000
3351.22560,3352.18890,0.82693,131.86000
3351.22960,3352.19290,0.82173,131.03000
3351.23350,3352.19680,0.81864,130.54000
3351.23750,3352.20080,0.81828,130.48000
3351.24150,3352.20480,0.82096,130.91000
3351.24540,3352.20870,0.82658,131.80000
3351.24940,3352.21270,0.83461,133.08000
3351.25340,3352.21670,0.84423,134.62000
3351.25730,3352.22060,0.85447,136.25000
3351.26130,3352.22460,0.86443,137.84000
3351.26530,3352.22860,0.87343,139.28000
3351.26920,3352.23250,0.88097,140.48000
3351.27320,3352.23650,0.88675,141.40000
3351.27720,3352.24050,0.89066,142.03000
3351.28110,3352.24440,0.89261,142.34000
3351.28510,3352.24840,0.89260,142.34000
3351.28910,3352.25240,0.89073,142.04000
3351.29300,3352.25630,0.88715,141.47000
3351.29700,3352.26030,0.88214,140.67000
3351.30100,3352.26440,0.87604,139.70000
3351.30490,3352.26830,0.86926,138.62000
3351.30860,3352.27200,0.86221,137.49000
3351.31260,3352.27600,0.85532,136.40000
3351.31650,3352.27990,0.84899,135.39000
3351.32050,3352.28390,0.84361,134.53000
3351.32450,3352.28790,0.83954,133.88000
3351.32840,3352.29180,0.83709,133.49000
3351.33240,3352.29580,0.83643,133.39000
3351.33640,3352.29980,0.83759,133.57000
3351.34030,3352.30370,0.84040,134.02000
3351.34430,3352.30770,0.84454,134.68000
3351.34830,3352.31170,0.84955,135.48000
3351.35220,3352.31560,0.85491,136.34000
3351.35620,3352.31960,0.86007,137.16000
3351.36020,3352.32360,0.86448,137.86000
3351.36410,3352.32750,0.86763,138.37000
3351.36810,3352.33150,0.86907,138.60000
3351.37210,3352.33550,0.86848,138.50000
3351.37600,3352.33940,0.86566,138.05000
3351.38000,3352.34340,0.86065,137.26000
3351.38400,3352.34740,0.85370,136.15000
3351.38790,3352.35130,0.84528,134.81000
3351.39190,3352.35530,0.83604,133.33000
3351.39590,3352.35930,0.82674,131.85000
3351.39980,3352.36320,0.81816,130.48000
3351.40380,3352.36720,0.81106,129.35000
3351.40780,3352.37120,0.80603,128.55000
3351.41170,3352.37510,0.80350,128.15000
3351.41570,3352.37910,0.80370,128.18000
