wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
10580.83860,10583.73780,0.98530,67.09000
10580.85080,10583.75000,0.98545,67.10000
10580.86430,10583.76350,0.98574,67.12000
10580.87650,10583.77570,0.98615,67.15000
10580.88990,10583.78910,0.98649,67.17000
10580.90330,10583.80250,0.98673,67.18000
10580.91550,10583.81470,0.98700,67.20000
10580.92900,10583.82820,0.98728,67.22000
10580.94120,10583.84040,0.98736,67.23000
10580.95460,10583.85380,0.98719,67.21000
10580.96680,10583.86600,0.98700,67.20000
10580.98020,10583.87940,0.98703,67.20000
10580.99370,10583.89290,0.98720,67.22000
10581.00590,10583.90510,0.98718,67.21000
10581.01930,10583.91850,0.98690,67.19000
10581.03150,10583.93070,0.98659,67.17000
10581.04490,10583.94410,0.98654,67.17000
10581.05830,10583.95750,0.98670,67.18000
10581.07060,10583.96980,0.98681,67.19000
10581.08400,10583.98330,0.98676,67.18000
10581.09620,10583.99550,0.98671,67.18000
10581.10960,10584.00890,0.98681,67.19000
10581.12300,10584.02230,0.98709,67.21000
10581.13530,10584.03460,0.98739,67.23000
10581.14870,10584.04800,0.98760,67.24000
10581.16090,10584.06020,0.98770,67.25000
10581.17430,10584.07360,0.98766,67.24000
10581.18770,10584.08700,0.98750,67.23000
10581.20000,10584.09930,0.98722,67.21000
10581.21340,10584.11270,0.98684,67.19000
10581.22560,10584.12490,0.98634,67.15000
10581.23900,10584.13830,0.98567,67.11000
10581.25120,10584.15050,0.98482,67.05000
10581.26460,10584.16390,0.98385,66.98000
10581.27810,10584.17740,0.98284,66.91000
10581.29030,10584.18960,0.98177,66.84000
10581.30370,10584.20300,0.98059,66.76000
10581.31590,10584.21520,0.97923,66.67000
10581.32930,10584.22860,0.97772,66.57000
10581.34280,10584.24210,0.97613,66.46000
10581.35500,10584.25430,0.97449,66.34000
10581.36840,10584.26770,0.97272,66.22000
10581.38060,10584.27990,0.97067,66.08000
10581.39400,10584.29330,0.96833,65.93000
10581.40750,10584.30680,0.96574,65.75000
10581.41970,10584.31900,0.96287,65.55000
10581.43310,10584.33240,0.95951,65.32000
10581.44530,10584.34470,0.95540,65.04000
10581.45870,10584.35810,0.95051,64.71000
10581.47090,10584.37030,0.94497,64.33000
10581.48440,10584.38380,0.93900,63.93000
10581.49780,10584.39720,0.93274,63.50000
10581.51000,10584.40940,0.92636,63.07000
10581.52340,10584.42280,0.92017,62.64000
10581.53560,10584.43500,0.91453,62.26000
10581.54910,10584.44850,0.90976,61.94000
10581.56250,10584.46190,0.90607,61.68000
10581.57470,10584.47410,0.90354,61.51000
10581.58810,10584.48750,0.90228,61.43000
10581.60030,10584.49970,0.90242,61.44000
10581.61380,10584.51320,0.90409,61.55000
10581.62720,10584.52660,0.90730,61.77000
10581.63940,10584.53880,0.91180,62.07000
10581.65280,10584.55220,0.91720,62.44000
10581.66500,10584.56440,0.92315,62.85000
10581.67850,10584.57790,0.92945,63.27000
10581.69190,10584.59130,0.93583,63.71000
10581.70410,10584.60350,0.94193,64.12000
10581.71750,10584.61690,0.94752,64.50000
10581.72970,10584.62910,0.95263,64.85000
10581.74320,10584.64260,0.95738,65.18000
10581.75540,10584.65480,0.96167,65.47000
10581.76880,10584.66820,0.96528,65.71000
10581.78220,10584.68160,0.96819,65.91000
10581.79440,10584.69380,0.97062,66.08000
10581.80790,10584.70730,0.97267,66.22000
