wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
7466.72610,7468.78250,0.99524,131.02000
7466.73650,7468.79290,0.99489,130.98000
7466.74680,7468.80330,0.99529,131.03000
7466.75660,7468.81310,0.99531,131.03000
7466.76700,7468.82350,0.99508,131.00000
7466.77670,7468.83320,0.99476,130.96000
7466.78710,7468.84360,0.99386,130.84000
7466.79750,7468.85400,0.99280,130.70000
7466.80730,7468.86380,0.99249,130.66000
7466.81760,7468.87410,0.99226,130.63000
7466.82740,7468.88390,0.99101,130.46000
7466.83780,7468.89430,0.98953,130.27000
7466.84810,7468.90460,0.98941,130.25000
7466.85790,7468.91440,0.99023,130.36000
7466.86830,7468.92480,0.99042,130.38000
7466.87810,7468.93460,0.99024,130.36000
7466.88840,7468.94490,0.99087,130.44000
7466.89820,7468.95470,0.99180,130.56000
7466.90860,7468.96510,0.99204,130.60000
7466.91890,7468.97540,0.99228,130.63000
7466.92870,7468.98520,0.99303,130.73000
7466.93910,7468.99560,0.99325,130.75000
7466.94890,7469.00540,0.99260,130.67000
7466.95920,7469.01570,0.99231,130.63000
7466.96960,7469.02610,0.99287,130.70000
7466.97940,7469.03590,0.99313,130.74000
7466.98970,7469.04620,0.99227,130.62000
7466.99950,7469.05600,0.99091,130.44000
7467.00990,7469.06640,0.99001,130.33000
7467.01970,7469.07620,0.98982,130.30000
7467.03000,7469.08650,0.98995,130.32000
7467.04040,7469.09690,0.99024,130.35000
7467.05020,7469.10670,0.99094,130.45000
7467.06050,7469.11700,0.99198,130.58000
7467.07030,7469.12680,0.99261,130.67000
7467.08070,7469.13720,0.99261,130.67000
7467.09110,7469.14760,0.99267,130.67000
7467.10080,7469.15730,0.99295,130.71000
7467.11120,7469.16770,0.99284,130.70000
7467.12100,7469.17760,0.99253,130.65000
7467.13130,7469.18790,0.99265,130.67000
7467.14170,7469.19830,0.99288,130.70000
7467.15150,7469.20810,0.99299,130.71000
7467.16190,7469.21850,0.99349,130.78000
7467.17160,7469.22820,0.99407,130.86000
7467.18200,7469.23860,0.99422,130.87000
7467.19180,7469.24840,0.99470,130.94000
7467.20210,7469.25870,0.99545,131.04000
7467.21250,7469.26910,0.99507,130.99000
7467.22230,7469.27890,0.99420,130.87000
7467.23270,7469.28930,0.99463,130.93000
7467.24240,7469.29900,0.99523,131.01000
7467.25280,7469.30940,0.99438,130.89000
7467.26320,7469.31980,0.99338,130.76000
7467.27290,7469.32950,0.99328,130.75000
7467.28330,7469.33990,0.99296,130.71000
7467.29310,7469.34970,0.99213,130.60000
7467.30350,7469.36010,0.99147,130.51000
7467.31380,7469.37040,0.99078,130.42000
