reference_line_set,adopted_solar_value_lineage,use_status,source_row,species,system,delta_nu,band,wavelength_vac_nm,source_band,lower_energy_eV,published_loggf,equivalent_width_pm,element_parameter,abundance_3d,abundance_mean_3d,abundance_atmo,abundance_marcs,abundance_hm74,transition_identity_status,canonical_join_status
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,61,CH,X-X,1,(1-0),3405.068,IR,0.124,-3.453,1.060,logepsC,8.479,8.518,8.460,8.452,8.594,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,62,CH,X-X,1,(1-0),3425.336,IR,0.096,-3.588,0.750,logepsC,8.432,8.476,8.413,8.406,8.546,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,63,CH,X-X,1,(1-0),3425.709,IR,0.096,-3.518,0.890,logepsC,8.438,8.477,8.417,8.411,8.551,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,64,CH,X-X,1,(1-0),3426.271,IR,0.096,-3.519,0.920,logepsC,8.454,8.497,8.434,8.426,8.571,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,65,CH,X-X,1,(2-1),3466.055,IR,1.151,-2.275,1.520,logepsC,8.483,8.506,8.449,8.442,8.573,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,66,CH,X-X,1,(2-1),3481.479,IR,1.293,-2.217,1.270,logepsC,8.483,8.508,8.448,8.444,8.570,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,67,CH,X-X,1,(2-1),3481.883,IR,1.293,-2.219,1.250,logepsC,8.478,8.500,8.443,8.438,8.566,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,68,CH,X-X,1,(2-1),3490.577,IR,0.639,-2.935,1.100,logepsC,8.490,8.524,8.464,8.459,8.595,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,69,CH,X-X,1,(2-1),3490.728,IR,0.639,-2.891,1.170,logepsC,8.474,8.506,8.448,8.442,8.578,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,70,CH,X-X,1,(2-1),3516.531,IR,0.557,-2.984,1.100,logepsC,8.458,8.492,8.432,8.428,8.563,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
