wavelength_air_A,model_flux
8.211153999999794905e+03,9.835787502577317820e-01
8.211155999999793494e+03,9.834247883595857997e-01
8.211157999999793901e+03,9.832655565183279212e-01
8.211159999999792490e+03,9.831002912592547993e-01
8.211161999999792897e+03,9.829282076344861840e-01
8.211163999999791486e+03,9.827485020049263609e-01
8.211165999999791893e+03,9.825603551334213259e-01
8.211167999999790482e+03,9.823629356514288480e-01
8.211169999999790889e+03,9.821554038126424357e-01
8.211171999999789477e+03,9.819369154683144085e-01
8.211173999999789885e+03,9.817066260900325636e-01
8.211175999999788473e+03,9.814636947440147363e-01
8.211177999999788881e+03,9.812072879375827172e-01
8.211179999999787469e+03,9.809365833629960507e-01
8.211181999999787877e+03,9.806507736069847159e-01
8.211183999999786465e+03,9.803490699156069965e-01
8.211185999999786873e+03,9.800307061223391125e-01
8.211187999999785461e+03,9.796949428085974798e-01
8.211189999999785869e+03,9.793410717993037418e-01
8.211191999999784457e+03,9.789684209920133107e-01
8.211193999999784864e+03,9.785763595063915465e-01
8.211195999999783453e+03,9.781643029441209336e-01
8.211197999999783860e+03,9.777317185365972385e-01
8.211199999999782449e+03,9.772781298875270473e-01
8.211201999999782856e+03,9.768031211783035905e-01
8.211203999999781445e+03,9.763063408241537955e-01
8.211205999999781852e+03,9.757875047509531052e-01
8.211207999999780441e+03,9.752463994856503948e-01
8.211209999999780848e+03,9.746828852500312168e-01
8.211211999999779437e+03,9.740968991457418236e-01
8.211213999999779844e+03,9.734884584707087507e-01
8.211215999999778433e+03,9.728576641481936349e-01
8.211217999999778840e+03,9.722047042031957131e-01
8.211219999999777428e+03,9.715298571469730415e-01
8.211221999999777836e+03,9.708334950339180258e-01
8.211223999999776424e+03,9.701160859235899991e-01
8.211225999999776832e+03,9.693781955202007694e-01
8.211227999999775420e+03,9.686204879381945521e-01
8.211229999999775828e+03,9.678437256935091826e-01
8.211231999999774416e+03,9.670487691892795112e-01
8.211233999999774824e+03,9.662365759034735602e-01
8.211235999999773412e+03,9.654081994739820427e-01
8.211237999999773820e+03,9.645647886464903120e-01
8.211239999999772408e+03,9.637075860554543683e-01
8.211241999999772815e+03,9.628379266484421439e-01
8.211243999999771404e+03,9.619572356698566917e-01
8.211245999999771811e+03,9.610670260299774004e-01
8.211247999999770400e+03,9.601688950152815760e-01
8.211249999999770807e+03,9.592645202699235929e-01
8.211251999999769396e+03,9.583556551001488621e-01
8.211253999999769803e+03,9.574441232023734871e-01
8.211255999999768392e+03,9.565318129456370499e-01
8.211257999999768799e+03,9.556206713809743958e-01
8.211259999999767388e+03,9.547126980034417176e-01
8.211261999999767795e+03,9.538099383259690534e-01
8.211263999999766384e+03,9.529144770870656700e-01
8.211265999999766791e+03,9.520284310474264045e-01
8.211267999999765379e+03,9.511539411632153884e-01
8.211269999999765787e+03,9.502931642118149780e-01
8.211271999999764375e+03,9.494482638822412390e-01
8.211273999999764783e+03,9.486214016303534668e-01
8.211275999999763371e+03,9.478147275114581216e-01
8.211277999999763779e+03,9.470303712636927163e-01
8.211279999999762367e+03,9.462704337479860284e-01
8.211281999999762775e+03,9.455369787352724265e-01
8.211283999999761363e+03,9.448320249534521986e-01
8.211285999999761771e+03,9.441575381895116470e-01
8.211287999999760359e+03,9.435154233236100474e-01
8.211289999999760767e+03,9.429075160599513783e-01
8.211291999999759355e+03,9.423355743382377803e-01
8.211293999999759762e+03,9.418012693594187690e-01
8.211295999999758351e+03,9.413061765480031928e-01
8.211297999999758758e+03,9.408517667737041901e-01
8.211299999999757347e+03,9.404393984066640177e-01
8.211301999999757754e+03,9.400703105502780099e-01
8.211303999999756343e+03,9.397456176623357749e-01
8.211305999999756750e+03,9.394663054075559350e-01
8.211307999999755339e+03,9.392332274459596064e-01
8.211309999999755746e+03,9.390471027628866096e-01
8.211311999999754335e+03,9.389085132310848181e-01
8.211313999999754742e+03,9.388179011877424429e-01
8.211315999999753330e+03,9.387755668930704012e-01
8.211317999999753738e+03,9.387816658980997486e-01
8.211319999999752326e+03,9.388362064529642836e-01
8.211321999999752734e+03,9.389390473906037426e-01
8.211323999999751322e+03,9.390898969764247539e-01
8.211325999999751730e+03,9.392883132782485767e-01
8.211327999999750318e+03,9.395337062633442038e-01
