reference_line_set,adopted_solar_value_lineage,use_status,source_row,species,system,delta_nu,band,wavelength_vac_nm,source_band,lower_energy_eV,published_loggf,equivalent_width_pm,element_parameter,abundance_3d,abundance_mean_3d,abundance_atmo,abundance_marcs,abundance_hm74,transition_identity_status,canonical_join_status,wavelength_air_A,delta_3d_minus_marcs,geometry
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,224,CN,A-X,0,(0-0),1111.153,NIR,0.294,-1.385,1.22,logepsN,7.877,7.986,7.955,7.949,8.04,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11108.487673367219,-0.07200000000000006,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,225,CN,A-X,0,(0-0),1121.072,NIR,0.152,-1.602,1.005,logepsN,7.845,7.962,7.931,7.924,8.018,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11207.65076332328,-0.07900000000000063,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,226,CN,A-X,0,(0-0),1123.264,NIR,0.152,-1.592,1.138,logepsN,7.893,8.009,7.978,7.971,8.064,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11229.56481616941,-0.07800000000000029,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,227,CN,A-X,0,(0-0),1124.156,NIR,0.482,-1.299,0.872,logepsN,7.822,7.926,7.895,7.889,7.979,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11238.482396037474,-0.06700000000000017,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,228,CN,A-X,0,(0-0),1139.049,NIR,0.421,-1.033,1.998,logepsN,7.879,7.979,7.948,7.942,8.033,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11387.37198645286,-0.06300000000000061,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,229,CN,A-X,0,(0-0),1139.477,NIR,0.665,-1.236,0.743,logepsN,7.869,7.965,7.935,7.929,8.017,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11391.650825077111,-0.0600000000000005,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,230,CN,A-X,0,(0-0),1158.117,NIR,0.616,-0.965,1.475,logepsN,7.854,7.948,7.918,7.912,8.001,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11578.000241769767,-0.05799999999999983,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,231,CN,A-X,0,(0-0),1164.5,NIR,0.665,-0.943,1.546,logepsN,7.902,7.994,7.964,7.958,8.047,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11641.812918589261,-0.05600000000000005,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,232,CN,A-X,0,(0-0),1171.153,NIR,0.525,-1.309,0.946,logepsN,7.885,7.986,7.955,7.949,8.038,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11708.324861767389,-0.06400000000000006,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,233,CN,A-X,0,(0-0),1171.531,NIR,0.74,-0.93,1.242,logepsN,7.858,7.949,7.919,7.913,8.001,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11712.103835815991,-0.055000000000000604,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,234,CN,A-X,0,(0-0),1175.026,NIR,1.052,-1.155,0.345,logepsN,7.823,7.907,7.878,7.871,7.954,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11747.044349703388,-0.04800000000000004,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,235,CN,A-X,0,(0-0),1176.093,NIR,1.052,-1.148,0.422,logepsN,7.906,7.989,7.959,7.954,8.038,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11757.711453609209,-0.04800000000000004,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,236,CN,A-X,0,(0-0),1176.915,NIR,0.57,-1.292,0.849,logepsN,7.861,7.961,7.93,7.924,8.014,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11765.929222488683,-0.06300000000000061,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,237,CN,A-X,0,(0-0),1178.52,NIR,0.593,-1.29,0.903,logepsN,7.912,8.01,7.979,7.973,8.062,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11781.974866065762,-0.06099999999999994,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,238,CN,A-X,0,(0-0),1180.309,NIR,0.82,-0.911,1.205,logepsN,7.903,7.991,7.96,7.955,8.042,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11799.86001015599,-0.05200000000000049,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,239,CN,A-X,0,(0-0),1182.935,NIR,0.616,-1.277,0.813,logepsN,7.871,7.969,7.939,7.932,8.021,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11826.112882252519,-0.06099999999999994,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,240,CN,A-X,0,(0-0),1183.367,NIR,0.848,-0.905,1.06,logepsN,7.864,7.952,7.92,7.915,8.002,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11830.431709637269,-0.051000000000000156,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,241,CN,A-X,0,(0-0),1185.287,NIR,1.146,-1.135,0.323,logepsN,7.866,7.945,7.916,7.91,7.994,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11849.626497970701,-0.04400000000000048,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,242,CN,A-X,0,(0-0),1192.46,NIR,0.689,-1.255,0.768,logepsN,7.893,7.988,7.957,7.952,8.039,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11921.33702689086,-0.05900000000000016,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,243,CN,A-X,0,(0-0),1192.941,NIR,0.932,-0.888,0.924,logepsN,7.864,7.949,7.919,7.914,8.001,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11926.145721183615,-0.04999999999999982,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,244,CN,A-X,0,(0-0),1196.268,NIR,0.962,-0.883,0.979,logepsN,7.916,7.999,7.969,7.963,8.05,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11959.406689697458,-0.04699999999999971,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,245,CN,A-X,0,(0-0),1197.852,NIR,0.74,-1.247,0.661,logepsN,7.866,7.959,7.929,7.922,8.011,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11975.242389693136,-0.05600000000000005,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,246,CN,A-X,0,(0-0),1204.843,NIR,0.793,-1.234,0.605,logepsN,7.864,7.956,7.924,7.919,8.008,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12045.133411029683,-0.054999999999999716,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,247,CN,A-X,0,(0-0),1207.74,NIR,1.052,-0.863,0.75,logepsN,7.858,7.94,7.909,7.904,7.99,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12074.09554620196,-0.04600000000000026,disk_center_intensity
