band,species,wavelength_A,depth,unsaturated,purity,gof,robust,canonical_line_id,action
Y,SrII,10327.311,Y,Y,Y,N,N,gf_167379,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,YII,10329.702, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10330.197, , , , , ,gf_167380,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10330.248, , , , , ,gf_167380,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10331.221, , , , , ,gf_167381,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10332.327,Y,Y,Y,Y,Y,gf_167382,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10333.184,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10336.337,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10340.885,Y,Y,Y,Y,Y,gf_167383,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CaI,10343.819,Y,Y,Y,Y,Y,gf_167384,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10347.965,Y,Y,Y,Y,Y,gf_167385,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10350.77, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10353.804,Y,Y,Y,Y,Y,gf_167386,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CoI,10354.43, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10360.578, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10362.704,Y,Y,Y,Y,Y,gf_167387,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10364.062,Y,Y,Y,Y,Y,gf_167388,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeII,10366.167, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10371.263,Y,Y,Y,Y,Y,gf_167389,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10371.686,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10378.505, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10378.565, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10378.636, , , , , ,gf_167390,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10378.999,Y,Y,U,Y,N,gf_167391,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CoI,10382.306,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10384.927, , , , , ,gf_167392,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10387.483, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10388.745,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10395.794,Y,Y,Y,N,N,gf_167393,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10396.8,Y,Y,Y,N,N,gf_167394,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10397.641, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10407.037,Y,Y,Y,Y,Y,gf_167395,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10414.913, , , , , ,gf_167396,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10416.62, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10423.027,Y,Y,Y,Y,Y,gf_167397,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10423.743,Y,Y,Y,Y,Y,gf_167398,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10435.355,Y,Y,Y,Y,Y,gf_167399,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10440.55,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10441.138,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10441.472,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10448.624, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10449.006, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10455.403,Y,Y,N, ,N,gf_167400,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SI,10455.47,Y,Y,U,Y,N,gf_167401,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SI,10456.79,Y,Y,Y,Y,Y,gf_167402,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10456.938,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SI,10459.46,Y,Y,Y,Y,Y,gf_167403,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10460.05,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10462.155, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10469.652,Y,Y,Y,N,N,gf_167404,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10477.923, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10486.25,Y,Y,Y,Y,Y,gf_167405,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10496.116,Y,Y,Y,Y,Y,gf_167406,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeII,10501.503, , , , , ,gf_167407,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10510.01,Y,Y,Y,Y,Y,gf_167408,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,PI,10511.588, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10517.511,N, , , ,N,gf_167409,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,DyII,10523.39, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,PI,10529.524, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10530.482, , , , , ,gf_167410,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10530.535, , , , , ,gf_167410,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10532.234,Y,Y,Y,N,N,gf_167411,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10535.709,Y,Y,Y,Y,Y,gf_167412,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NI,10539.575, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CI,10541.24, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
