line_id,physical_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew,lab_source_tag,gf_sigma_dex,gf_source_doi,is_diagnostic,gf_tier,diagnostic_excluded_by_registry,w,band,depth,tier,ionx
gf_068274,pk_eb979b316249,26,2.0,Fe II,4508.28,2.856,1,-2.42,PRIMARY LAB DenHartog2019,,synth(GES),lab_rya945,-2.25,,-2.25,True,False,True,,DH19,0.06,10.3847/1538-4365/ab322e,True,LAB,False,4508.28,VIS,0.775,DEEPGRADED,2.0
gf_055698,pk_c44a0875189b,26,1.0,Fe I,4514.184,3.047,1,-1.96,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-2.05,,-2.05,True,False,True,,BEL17,0.05,10.3847/1538-4357/aa8cd3,True,LAB,False,4514.184,VIS,0.683,DEEPGRADED,1.0
gf_068288,pk_5193501e3adb,26,2.0,Fe II,4522.628,2.844,1,-2.29,PRIMARY LAB DenHartog2019,,synth(GES),lab_rya945,-2.03,,-2.03,True,False,True,,DH19,0.06,10.3847/1538-4365/ab322e,True,LAB,False,4522.628,VIS,0.801,DEEPGRADED,2.0
gf_055742,pk_fe291351137c,26,1.0,Fe I,4528.757,3.301,1,-2.02,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-2.02,,-1.991,True,False,True,,RU14,0.04,10.1093/mnras/stu780,True,LAB,False,4528.757,VIS,0.631,DEEPGRADED,1.0
gf_055756,pk_adde7e83a321,26,1.0,Fe I,4531.636,3.634,1,-1.95,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-2.09,,-2.088,True,False,True,,BEL17,0.05,10.3847/1538-4357/aa8cd3,True,LAB,False,4531.636,VIS,0.563,GRADED,1.0
gf_055824,pk_18d86d41deb1,26,1.0,Fe I,4547.847,3.547,1,-0.82,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-1.012,,-1.012,True,False,True,,BEL17,0.02,10.3847/1538-4357/aa8cd3,True,LAB,False,4547.847,VIS,0.752,DEEPGRADED,1.0
gf_068309,pk_bf517eb9096c,26,2.0,Fe II,4549.466,2.828,1,-1.92,PRIMARY LAB DenHartog2019,,synth(GES),lab_rya945,-2.02,,-2.02,True,False,True,,DH19,0.06,10.3847/1538-4365/ab322e,True,LAB,False,4549.466,VIS,0.801,DEEPGRADED,2.0
gf_055842,pk_dc7f8eb7bf1a,26,1.0,Fe I,4554.451,2.865,1,-2.81,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-2.81,,-3.05,True,False,True,,DH14,0.09,10.1088/0067-0049/215/2/23,True,LAB,False,4554.451,VIS,0.376,GRADED,1.0
gf_055883,pk_aaaddc6bac46,26,1.0,Fe I,4565.662,3.241,1,-2.17,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-2.17,,-2.25,True,False,True,,DH14,0.04,10.1088/0067-0049/215/2/23,True,LAB,False,4565.662,VIS,0.565,GRADED,1.0
gf_055910,pk_fe64be1fcf21,26,1.0,Fe I,4574.216,3.211,1,-2.35,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-2.38,,-2.5,True,False,True,,DH14,0.06,10.1088/0067-0049/215/2/23,True,LAB,False,4574.216,VIS,0.473,GRADED,1.0
