key_z,ion,element_raw,wavelength_air_A,excitation_potential_eV,gf_linelist_vald,reference_code,hfs_n_components,lab_log_gf,lab_sigma_dex,lab_source,lab_wavelength_A,n_lab_candidates,adjudicated,delta_lab_minus_vald,nist_log_gf,nist_grade,nist_ref_tp,delta_nist_minus_vald
14,1,Si 1,9585.922,4.9296,-2.36,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,9593.312,6.6161,-0.854,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9599.593,0.8259,-1.417,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9602.13,5.0117,-1.744,VALD3,1,,,,,0,False,,,,,
6,1,C 1,9603.03,7.4804,-0.896,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9604.325,5.0995,-1.514,VALD3,1,,,,,0,False,,,,,
6,1,C 1,9620.8,7.4828,-0.445,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9624.962,6.9316,0.10000000000000002,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9625.651,5.0117,-1.421,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9626.496,5.0331,-0.24899999999999997,VALD3,1,,,,,0,False,,-0.2491831573502454,D+,T5720,-0.00018315735024543311
26,1,Fe 1,9626.823,5.3046,-0.997,VALD3,1,-0.92,0.03,DenHartog2014,9626.8254,1,True,0.07699999999999996,,,,
26,1,Fe 1,9634.183,5.0638,-0.581,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9638.301,0.8484,-0.612,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9639.328,5.3194,-1.06,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9647.37,0.8181,-1.434,VALD3,1,,,,,0,False,,,,,
16,1,S 1,9649.571,8.4114,0.25,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9653.115,4.7331,-0.684,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9657.233,5.0856,-0.78,VALD3,1,,,,,0,False,,,,,
6,1,C 1,9658.44,7.4878,-0.28,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9659.075,5.0638,-1.106,VALD3,1,,,,,0,False,,,,,
20,1,Ca 1,9659.343,4.7386,-0.446,VALD3,1,,,,,0,False,,,,,
12,1,Mg 1,9665.479,6.1182,-1.767,VALD3,1,,,,,0,False,,,,,
24,1,Cr 1,9670.54,2.5443,-1.79,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9675.544,0.836,-0.804,VALD3,1,,,,,0,False,,,,,
20,1,Ca 1,9676.294,4.7353,-0.522,VALD3,1,,,,,0,False,,,,,
20,1,Ca 1,9688.669,4.7386,-0.16899999999999998,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9688.87,0.8129,-1.61,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,9689.386,6.0986,-1.14,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9693.84,5.0856,-1.661,VALD3,1,,,,,0,False,,,,,
20,1,Ca 1,9696.299,4.7435,-0.16899999999999998,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9699.772,5.0638,-1.431,VALD3,1,,,,,0,False,,,,,
20,1,Ca 1,9701.933,4.7435,0.08000000000000002,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9705.665,0.8259,-1.009,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9718.96,1.5025,-1.181,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9723.132,5.0117,-1.608,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9728.405,0.8181,-1.206,VALD3,1,,,,,0,False,,,,,
24,1,Cr 1,9730.315,3.5505,-0.77,VALD3,1,,,,,0,False,,,,,
24,1,Cr 1,9734.562,2.5438,-1.95,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9738.573,4.9913,0.15000000000000002,VALD3,1,,,,,0,False,,0.1486026548060934,D+,T5720,-0.001397345193906635
26,1,Fe 1,9738.9,5.3194,-1.387,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9743.606,0.8129,-1.306,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9747.318,4.58,-1.79,VALD3,1,,,,,0,False,,,,,
22,2,Ti 2,9747.949,2.5977,-2.3,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9753.091,4.7955,-0.782,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9763.38,5.0995,-0.412,VALD3,1,,,,,0,False,,-0.4122890349810886,C,T5720,-0.0002890349810886206
26,1,Fe 1,9763.895,5.0331,-0.744,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9768.313,4.652,-2.164,VALD3,1,-2.09,0.14,DenHartog2014,9768.3155,1,True,0.07400000000000029,,,,
14,1,Si 1,9768.351,4.9538,-2.679,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9770.298,0.8484,-1.581,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9783.311,0.836,-1.428,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9783.59,0.8181,-1.617,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9783.993,4.9913,-1.212,VALD3,1,-1.23,0.09,DenHartog2014,9783.991,1,True,-0.018000000000000016,,,,
26,1,Fe 1,9786.641,4.6076,-1.676,VALD3,1,-1.84,0.04,Ruffoni2014,9786.645,1,True,-0.16400000000000015,,,,
22,1,Ti 1,9787.686,0.8259,-1.444,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,9788.783,6.0827,-1.661,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9800.308,5.0856,-0.453,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9800.798,5.0995,-1.197,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9811.504,5.0117,-1.362,VALD3,1,,,,,0,False,,,,,
12,1,Mg 1,9821.617,5.932,-1.41,VALD3,1,,,,,0,False,,,,,
12,1,Mg 1,9828.132,5.9328,-1.89,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9832.14,1.8871,-1.13,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9834.185,4.9913,-1.214,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,9839.328,6.0827,-1.726,VALD3,1,,,,,0,False,,,,,
20,2,Ca 2,9854.759,7.5051,-0.205,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9861.734,5.0638,-0.142,VALD3,1,,,,,0,False,,-0.1420647352805709,D+,T5720,-6.473528057091005e-05
26,1,Fe 1,9868.186,5.0856,-0.979,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,9872.207,6.6161,-1.102,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9881.522,4.5844,-1.711,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,9887.047,6.2227,-1.326,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9889.035,5.0331,-0.446,VALD3,1,,,,,0,False,,-0.4458744184869873,D+,T5720,0.00012558151301272913
20,2,Ca 2,9890.628000000002,8.438,1.2611948886913589,VALD3,2,,,,,0,False,,,,,
14,1,Si 1,9891.725,6.1248,-1.321,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9898.006,4.7861,-1.715,VALD3,1,,,,,0,False,,,,,
28,1,Ni 1,9898.928,4.2357,-1.249,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9913.18,4.9913,-1.266,VALD3,1,-1.74,0.05,DenHartog2014,9913.1793,1,True,-0.474,,,,
26,1,Fe 1,9924.388,3.5465,-3.127,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9927.351,1.8792,-1.29,VALD3,1,,,,,0,False,,,,,
22,2,Ti 2,9930.925,2.5903,-1.98,VALD3,1,,,,,0,False,,,,,
20,2,Ca 2,9931.374,7.5148,0.09199999999999998,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9944.207,5.0117,-1.338,VALD3,1,-1.28,0.03,DenHartog2014,9944.2057,1,True,0.05800000000000005,,,,
24,1,Cr 1,9949.073,3.5561,-1.093,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9951.157000000001,5.3933,-1.267,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9953.47,5.4457,-1.309,VALD3,1,,,,,0,False,,,,,
11,1,Na 1,9961.256,3.617,-0.82,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9977.641,5.0638,-1.66,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9980.463,5.0331,-1.379,VALD3,1,,,,,0,False,,,,,
12,1,Mg 1,9986.475,5.932,-1.676,VALD3,1,,,,,0,False,,,,,
12,1,Mg 1,9993.209,5.9328,-1.455,VALD3,1,,,,,0,False,,,,,
26,2,Fe 2,9997.598,5.4841,-1.867,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,10034.492,1.4601,-1.77,VALD3,1,,,,,0,False,,,,,
