# host=Mac machine=arm64 python=3.12.13 numpy=2.2.6 ncalls=2 nlines=473
call_seq,wave,element,normal_abund
0,541.876800,Ti 2,5.0300000000000002
0,549.286200,Ti 2,7.4450000000000003
0,551.753300,Si 1,9.3930000000000007
0,566.667700,Si 1,9.2080000000000002
0,570.110400,Si 1,9.2460000000000004
0,570.840000,Si 1,8.4339999999999993
0,571.108800,Mg 1,7.3799999999999999
0,577.214600,Si 1,7.8399999999999999
0,578.038400,Si 1,9.3670000000000009
0,607.692500,Si 1,8.0600000000000005
0,609.191900,Si 1,7.9550000000000001
0,613.157300,Si 1,8.0579999999999998
0,615.422600,Na 1,6.391
0,616.074700,Na 1,6.3479999999999999
0,619.441600,Si 1,8.2249999999999996
0,623.731900,Si 1,7.798
0,624.381500,Si 1,7.8920000000000003
0,631.923700,Mg 1,9.4670000000000005
0,637.137100,Si 2,7.8700000000000001
0,641.498000,Si 1,7.8330000000000002
0,643.345700,Si 1,8.8930000000000007
0,658.370700,Si 1,7.8040000000000003
0,675.715000,S 1,7.3860000000000001
0,670.776300,Li 1,0.72699999999999998
1,429.354300,Cr 1,5.6340000000000003
1,434.878600,Y 1,4.327
1,439.417600,Cr 1,9.4710000000000001
1,442.512700,Cr 1,9.6679999999999993
1,444.879200,Si 1,9.4120000000000008
1,444.914200,Ti 1,5.8330000000000002
1,447.382700,Cr 1,7.7699999999999996
1,450.683900,Cr 1,nan
1,454.222000,Zr 1,6.5800000000000001
1,454.876400,Ti 1,4.8040000000000003
1,456.831400,Ti 2,7.7750000000000004
1,457.510700,Cr 1,8.7210000000000001
1,457.855100,Ca 1,6.5970000000000004
1,458.739400,Ni 1,10.129
1,458.819900,Cr 2,5.8209999999999997
1,460.926500,Ti 2,4.8029999999999999
1,461.737000,Cr 1,8.5500000000000007
1,462.907900,Zr 2,6.0099999999999998
1,469.079300,Ti 1,8.7799999999999994
1,470.061000,Cr 1,8.5860000000000003
1,470.459100,Cu 1,nan
1,472.388200,Ni 1,9.1150000000000002
1,473.883200,Si 1,8.4440000000000008
1,474.278900,Ti 1,4.9809999999999999
1,474.530700,Cr 1,8.6180000000000003
1,474.850300,V 1,7.0679999999999996
1,475.927000,Ti 1,4.6959999999999997
1,475.947000,Cr 1,nan
1,475.975300,Cr 1,8.5579999999999998
1,476.741600,Cu 1,nan
1,477.758500,Cr 1,7.2359999999999998
1,478.763500,Ti 1,9.6690000000000005
1,479.342600,Ni 1,8.9760000000000009
1,480.781100,Cr 1,9.7759999999999998
1,481.504000,Zr 1,6.1630000000000003
1,481.613900,Cr 1,nan
1,483.739600,Ti 1,8.1660000000000004
1,483.925100,Ti 1,9.1739999999999995
1,491.522900,Ti 1,4.8319999999999999
1,494.306700,Ti 1,8.8019999999999996
1,496.309600,Ni 1,9.3840000000000003
1,496.472000,Ti 1,7.4100000000000001
1,496.492700,Cr 1,8.1549999999999994
1,498.859900,Ti 1,8.0619999999999994
1,499.258100,Cr 1,9.6170000000000009
1,499.709700,Ti 1,6.125
1,499.812100,Mn 1,6.7709999999999999
1,499.821800,Ni 1,6.2649999999999997
1,500.964500,Ti 1,7.2779999999999996
1,503.839800,Ti 1,4.6159999999999997
1,505.407400,Ti 1,7.4080000000000004
1,505.558100,Cr 1,7.7800000000000002
1,513.292900,Ti 1,8.9939999999999998
1,518.590200,Ti 2,4.6059999999999999
1,518.655300,Ni 1,5.4569999999999999
1,518.868700,Ti 2,5.9299999999999997
1,521.153000,Ti 2,5.0049999999999999
1,521.413100,Cr 1,5.7839999999999998
1,521.490100,Cr 1,nan
1,521.528400,Cr 1,8.4990000000000006
1,521.614400,Cr 1,8.5779999999999994
1,522.089100,Cr 1,6.3019999999999996
1,522.387700,Cr 1,8.7200000000000006
1,523.896100,Cr 1,5.6319999999999997
1,524.145800,Cr 1,8.1859999999999999
1,524.335400,Cr 1,7.9249999999999998
1,524.494100,Ni 1,8.2279999999999998
1,524.635300,Ti 1,9.1690000000000005
1,524.676800,Cr 2,8.7539999999999996
1,525.092100,Ti 1,8.3100000000000005
1,525.511400,Cr 1,7.7709999999999999
1,525.997300,Ti 1,6.649
1,527.987600,Cr 2,7.9539999999999997
1,528.391100,Ni 1,10.603999999999999
1,528.526600,Ca 2,8.9960000000000004
1,528.938700,Mn 1,nan
1,529.337600,Cr 1,8.2799999999999994
1,530.001100,Ti 1,5.1920000000000002
1,534.475600,Cr 1,7.7560000000000002
1,535.008900,Zr 2,6.75
1,535.106800,Ti 1,6.6420000000000003
1,536.734000,Cr 1,8.827
1,536.935600,Cr 2,9.4619999999999997
1,537.246600,Zr 2,6.9329999999999998
1,537.659900,Ti 1,7.9980000000000002
1,539.233100,Ni 1,8.7870000000000008
1,539.415800,Ti 1,9.1859999999999999
1,539.624700,Ti 2,8.4909999999999997
1,540.960800,Ti 1,7.8170000000000002
1,541.121800,Ni 1,8.4320000000000004
1,541.291900,Ca 1,nan
1,541.876800,Ti 2,5.0300000000000002
1,542.005300,Cr 1,8.5280000000000005
1,545.689300,Ti 1,8.8849999999999998
1,547.119200,Ti 1,7.1669999999999998
1,547.422300,Ti 1,6.8819999999999997
1,548.297500,Cr 1,nan
1,548.898200,Si 1,9.3640000000000008
1,549.014800,Ti 1,5.0599999999999996
1,549.286200,Ti 2,7.4450000000000003
1,549.500800,Mn 1,6.8070000000000004
1,550.744100,Cr 1,9.5690000000000008
1,551.753300,Si 1,9.3840000000000003
1,556.657400,Cr 1,9.6519999999999992
1,558.999600,Ti 1,8.0020000000000007
1,560.677400,S 1,8.5399999999999991
1,561.663900,V 1,8.6739999999999995
1,561.834600,Ti 1,7.3090000000000002
1,562.222000,Si 1,8.2249999999999996
1,564.173800,Cr 1,7.8120000000000003
1,564.503300,Si 1,9.2479999999999993
1,564.856500,Ti 1,6.2850000000000001
1,565.048300,Si 1,9.7520000000000007
1,565.059800,Si 1,9.1229999999999993
1,565.476700,Ti 1,9.141
1,566.067700,Si 1,7.9089999999999998
1,566.215000,Ti 1,6.9119999999999999
1,566.667700,Si 1,9.2059999999999995
1,566.780500,Cr 1,8.1430000000000007
1,566.994300,Ni 1,7.2969999999999997
1,567.417500,Cr 1,8.2129999999999992
1,567.506700,Cr 1,10.212
1,567.575500,Si 1,9.6150000000000002
1,567.658400,V 1,6.359
1,567.991600,Ti 1,6.6420000000000003
1,568.263300,Na 1,6.6920000000000002
1,568.820500,Na 1,6.4690000000000003
1,568.946000,Ti 1,5.0730000000000004
1,570.110400,Si 1,8.9120000000000008
1,570.164500,Ti 1,8.1709999999999994
1,570.200700,Ti 1,8.6839999999999993
1,570.389800,Ti 1,6.7359999999999998
1,570.642400,S 1,9.3610000000000007
1,570.840000,Si 1,8.4339999999999993
1,571.108800,Mg 1,7.3799999999999999
1,571.277100,Cr 1,8.3030000000000008
1,571.388000,Ti 1,6.9470000000000001
1,571.751800,Ca 1,nan
1,571.826000,Mn 1,nan
1,572.017900,Mn 1,nan
1,572.102100,Si 1,6.7530000000000001
1,573.539900,Ca 1,nan
1,573.662400,Cr 1,6.7729999999999997
1,575.685100,Ti 1,6.1310000000000002
1,575.763000,Ca 1,nan
1,576.342800,Si 1,10.367000000000001
1,577.003200,V 1,5.6130000000000004
1,577.214600,Si 1,7.8380000000000001
1,578.038400,Si 1,9.3640000000000008
1,578.838100,Cr 1,7.1029999999999998
1,579.217300,Cr 1,8.8239999999999998
1,579.459900,Cr 1,7.4219999999999997
1,579.850900,Cr 1,7.8460000000000001
1,579.891700,V 1,6.7569999999999997
1,580.425900,Ti 1,6.4630000000000001
1,582.021500,Ni 1,7.4219999999999997
1,582.279700,S 1,8.4480000000000004
1,582.414900,Cr 1,6.8330000000000002
1,583.159600,Ni 1,6.4329999999999998
1,583.247300,Ti 1,5.9790000000000001
1,583.781400,Cr 1,7.8499999999999996
