element,ion,wave_air_A,log_gf,ep_eV,predicted_depth,instruments,measured_in_pool,gf_canonical,log_gf_intake,gf_source_intake
Cr,I,3574.195,-3.637,0.9829,0.082,kpno_solar_atlas|delbouille_liege_intensity,False,True,-3.637,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3578.769,-0.363,3.1952,0.544,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.363,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3579.9035,-2.225,2.5441,0.062,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.225,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3586.2354,-1.178,3.1044,0.177,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.178,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3587.212,-1.262,3.1442,0.139,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.262,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3589.069,-0.8920000000000001,3.4216,0.17,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.892,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3590.3103,-0.312,3.1676,0.583,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.312,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3593.5816,-0.138,3.9659,0.262,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.138,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3599.3898,-0.923,2.9151,0.378,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.923,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3601.8802,-0.6,3.4216,0.29,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.6,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3602.5653,-3.015,2.7088,0.075,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.535,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3603.0426,-0.574,3.1952,0.422,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.574,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3604.5646,-1.472,2.5438,0.143,kpno_solar_atlas|delbouille_liege_intensity,False,False,-1.472,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3604.9269,-0.857,2.7099,0.533,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.857,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3605.0403,-1.673,2.5443,0.195,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.673,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3605.3947,-1.017,2.5446,0.535,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.017,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3605.525,0.177,3.8495,0.484,kpno_solar_atlas|delbouille_liege_intensity,False,True,0.177,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3605.6193,-3.64,1.03,0.074,kpno_solar_atlas|delbouille_liege_intensity,False,True,-3.64,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3607.9144,-0.935,3.9796,0.051,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.935,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3608.404,0.0859999999999999,3.8496,0.433,kpno_solar_atlas|delbouille_liege_intensity,False,True,0.086,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3608.6393,-1.908,4.9202,0.067,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.908,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3609.0241,-1.388,2.5438,0.323,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.388,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3612.6043,-0.0129999999999999,3.8504,0.378,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.013,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3613.6624,-1.143,2.9151,0.266,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.143,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3617.1423,-0.3782862098765301,4.0964,0.129,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.384,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3617.2728,-1.616,4.9274,0.12,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.616,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3620.8397,-1.317,3.4216,0.071,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.317,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3626.2051,-0.181,4.099,0.191,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.181,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3633.9985,-1.635,4.9441,0.112,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.635,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3634.7222,-1.255,3.4216,0.081,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.255,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3634.8455,-0.317,3.4348,0.432,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.317,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3635.003,-0.29,4.1055,0.153,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.29,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3635.2785,-3.67,0.0,0.475,kpno_solar_atlas|delbouille_liege_intensity,False,True,-3.67,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3640.9848,-2.141,2.5438,0.075,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.541,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3644.7488,-0.591,4.186,0.07,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.591,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3647.948,-0.477,4.1055,0.116,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.477,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3650.3584,-0.861,4.9844,0.412,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.861,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3651.6672,-3.07,2.4212,0.529,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.851,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3654.6369,-0.459,4.1055,0.119,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.459,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3655.8828,-1.877,2.5443,0.138,kpno_solar_atlas|delbouille_liege_intensity,False,False,-1.877,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3658.1578,-1.453,4.9202,0.189,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.453,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3662.3684,-2.165,2.5438,0.075,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.165,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3662.621,-3.775,2.4212,0.179,kpno_solar_atlas|delbouille_liege_intensity,False,True,-3.775,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3664.9414,-0.968,4.9877,0.362,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.968,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3665.4452,-2.333,2.434,0.051,kpno_solar_atlas|delbouille_liege_intensity,False,False,-2.333,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3666.1675,-1.376,2.5438,0.348,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.376,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3668.0273,-1.516,2.5438,0.274,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.516,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3671.9293,-1.369,3.4348,0.066,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.369,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3673.5856,-1.444,3.4216,0.057,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.444,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3673.6925,-0.694,4.0964,0.074,kpno_solar_atlas|delbouille_liege_intensity,False,False,-0.694,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3676.2993,-0.538,2.9872,0.579,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.538,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3676.4783,-1.163,2.434,0.14,kpno_solar_atlas|delbouille_liege_intensity,False,False,-1.163,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3678.8945,-0.97,3.847,0.067,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.97,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3680.9931,-0.909,3.8446,0.077,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.909,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3681.6879,-0.8759999999999999,2.9872,0.384,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.876,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3683.6781,-1.296,3.4216,0.08,kpno_solar_atlas|delbouille_liege_intensity,False,False,-1.296,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3684.2105,-1.742,3.9659,0.296,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.151,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3686.106,-1.861610570894856,2.5446,0.137,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.878,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3686.6732,-1.19,4.7812,0.344,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.19,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3686.867,-1.597,2.5443,0.235,kpno_solar_atlas|delbouille_liege_intensity,False,False,-1.597,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3687.054,-1.712,2.5438,0.189,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.019,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3687.2358,-0.221,2.5446,0.596,kpno_solar_atlas|delbouille_liege_intensity,False,False,-0.221,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3687.32,-1.117,2.5438,0.498,kpno_solar_atlas|delbouille_liege_intensity,False,False,-1.117,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3687.5174,-1.0047750357416945,2.5441,0.556,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.015,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3688.0099,-1.168,2.4546,0.102,kpno_solar_atlas|delbouille_liege_intensity,False,False,-1.168,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3689.6244,-1.069,3.4348,0.125,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.069,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3693.0791,-0.779,3.4488,0.213,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.779,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3696.7536,-1.97,4.9202,0.067,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.97,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3697.9963,-1.093,4.7745,0.39,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.093,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3705.0552,-1.083,3.0133,0.118,kpno_solar_atlas|delbouille_liege_intensity,False,False,-1.083,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3709.181,-3.613,2.5432,0.193,kpno_solar_atlas|delbouille_liege_intensity,False,True,-3.613,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3714.3881,-0.587,3.8904,0.136,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.587,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3715.3996,-1.076,4.9274,0.332,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.076,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3716.5195,0.1049999999999999,3.8923,0.443,kpno_solar_atlas|delbouille_liege_intensity,False,True,0.105,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3717.7558,-1.54,3.0111,0.109,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.54,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3723.3708,-1.709,4.9441,0.11,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.709,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3724.9497,-0.752,3.8887,0.099,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.752,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3726.8423,-0.516,3.8904,0.155,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.516,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3727.3755,-1.578,4.7812,0.184,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.578,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3728.2365,-1.225,3.5505,0.071,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.225,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3728.9388,-3.004,2.7056,0.052,kpno_solar_atlas|delbouille_liege_intensity,False,False,-3.004,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3729.217,-0.83,3.8875,0.083,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.83,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3730.4853,-0.706,3.8887,0.109,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.706,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3731.6808,-0.772,3.8904,0.094,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.772,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3732.5648,-0.498,3.8887,0.161,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.498,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3733.437,-1.768,3.0106,0.066,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.768,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3733.8321,-0.274,3.8923,0.246,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.274,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3734.4652,-0.066,3.8904,0.347,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.066,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3736.4447,-1.893,3.0133,0.05,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.893,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3737.5445,-1.848,4.7745,0.113,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.848,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3742.9477,-0.93,2.5439,0.595,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.93,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3743.0383,-0.6,3.8875,0.132,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.6,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3743.1393,-3.721,2.5441,0.157,kpno_solar_atlas|delbouille_liege_intensity,False,True,-3.721,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3744.304,-0.286,3.8887,0.242,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.286,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3744.9436,-0.727,4.2074,0.053,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.727,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3747.2507,-0.191,4.186,0.168,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.191,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3748.1542,-1.704,2.9151,0.093,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.704,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3748.8968,-3.057,2.7058,0.377,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.971,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3750.5247,-1.77,5.0108,0.085,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.77,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3752.3093,-0.677,3.8872,0.113,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.677,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3752.6947,-0.439,3.8875,0.179,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.439,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3755.1269,-3.383,3.1054,0.107,kpno_solar_atlas|delbouille_liege_intensity,False,True,-3.383,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3755.8216,-1.067,2.7079,0.426,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.067,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3757.1637,-1.04,2.5438,0.536,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.247,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3757.4889,-0.625,3.8872,0.125,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.625,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3758.7176,-3.605,0.9414,0.1,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.372,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3760.9081,-1.23,3.3752,0.1,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.23,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3761.6724,-2.894,2.7056,0.462,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.894,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3761.8446,-2.7939011761925547,2.7058,0.433,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.95,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3761.9042,-3.314,2.7058,0.253,kpno_solar_atlas|delbouille_liege_intensity,False,False,-3.314,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3765.5851,-2.24,3.104,0.591,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.24,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3766.6365,-2.98,3.1049,0.235,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.98,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3767.1983,-2.76,3.1054,0.334,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.76,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3767.4248,-2.036,2.5441,0.1,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.036,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3767.5471,-1.768,2.9872,0.07,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.768,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3767.6784,-1.273,2.5443,0.399,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.273,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3768.7327,-0.92,2.5443,0.598,kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.92,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3769.3151,-4.027,2.5439,0.086,kpno_solar_atlas|delbouille_liege_intensity,False,True,-4.027,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3774.8692,-2.132,2.7088,0.057,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.132,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3776.1735,-1.94,2.7099,0.087,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.94,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3777.3176,-1.422,2.5441,0.319,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.422,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,II,3778.6804,-2.024,5.0108,0.05,kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.024,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3785.2085,-1.636,2.7079,0.158,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.636,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3786.2156,-1.425,2.7088,0.239,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.425,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3788.8594,-0.545,3.01,0.551,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.545,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3789.4914,-1.3778,2.5446,0.221,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.626,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3789.7243,-2.839,0.9684,0.395,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.839,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3790.1065,-1.718,2.7079,0.134,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.51,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3790.2222,-0.923,3.0111,0.339,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.923,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3790.482,-0.463,3.0111,0.591,harps|kpno_solar_atlas|delbouille_liege_intensity,False,False,-0.463,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3791.2205,-1.395,2.7099,0.252,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.395,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3792.3679,-1.318,2.5438,0.372,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.318,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3792.8872,-1.63,2.5443,0.219,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.63,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3793.5443,-1.938,2.7099,0.087,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.938,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3797.3899,-0.534,3.8446,0.161,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.534,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3797.4703,-1.66,2.5443,0.208,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.66,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3797.8636,-1.956,2.5446,0.116,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.956,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3799.2138,-1.482,2.8719,0.157,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.482,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3806.5588,-3.289,0.9829,0.171,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-3.289,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3806.8181,-0.844,3.4488,0.185,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.844,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3807.9222,-0.977,3.0133,0.31,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.977,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3808.7178,-0.614,3.847,0.137,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.614,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3809.4834,-0.583,4.186,0.077,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.583,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3812.2454,-3.047,3.1216,0.138,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.004,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3814.6233,-1.18,3.4216,0.1,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.18,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3815.7738,-1.904,2.5443,0.128,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.904,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3816.1906,-0.9493,2.5446,0.462,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.161,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3817.845,-0.91,2.5441,0.598,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.91,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3818.4593,-1.1331,2.5446,0.432,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.211,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3819.3932,-0.178,4.4464,0.105,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.178,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3819.8193,-0.977,3.8496,0.065,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-0.977,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3819.8894,-1.771,2.9872,0.069,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.771,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3819.9676,-2.16,2.5438,0.076,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.16,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3820.4758,-1.575,2.5443,0.243,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.575,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3820.8739,-1.254,2.5446,0.407,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.254,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3821.2181,-1.607,3.0869,0.08,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.607,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3821.4062,-2.026,2.5438,0.101,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.026,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Cr,I,3821.5833,-2.017,2.5438,0.103,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-2.017,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
