element,ion,wavelength_air_A,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Fe,I,6411.648,132.4,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6419.949,86.8,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6430.845,114.2,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6469.192,58.6,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6494.98,157.2,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6496.466,67.5,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6498.938,48.3,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6608.025,17.9,2.8,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6609.11,68.7,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6663.441,119.6,1.7,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6667.71,11.7,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6677.985,128.5,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6752.707,40.6,2.0,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6793.258,14.6,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
