element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes
Cr,I,3797.1299,3.0128,-0.385,VALD3,,8.32,-5.32,-7.64,0.782,True,3,
Ti,I,3797.1506,2.2497,-2.322,VALD3,,7.46,-5.63,-7.43,0.027,True,3,
Ti,I,3797.1695,2.2393,-2.725,VALD3,,7.44,-5.8,-7.43,0.011,True,3,
Fe,I,3797.3022,3.9433,-3.201,VALD3,,8.07,-6.1,-7.3,0.136,True,1,
Cr,I,3797.3899,3.8446,-0.534,VALD3,,8.31,-5.64,-7.7,0.438,True,3,
Co,I,3797.4437,2.0421,-3.372,VALD3,,8.61,-5.9,-7.72,0.034,True,3,
Fe,I,3797.445,3.3014,-2.484,VALD3,,7.67,-4.71,-7.5,0.704,True,1,
Cr,I,3797.4703,2.5443,-1.66,VALD3,,7.1,-5.85,-7.79,0.592,True,3,
Ni,I,3797.4722,3.8983,-1.7,VALD3,,8.25,-5.0,-7.49,0.293,True,2,
Fe,I,3797.5144,3.2367,0.109,VALD3,,8.1,-6.08,-7.79,0.96,True,1,
Mn,I,3797.6568,4.2581,-1.7,VALD3,,7.96,-6.16,-7.77,0.044,True,3,
Cr,I,3797.6795,3.8904,-1.855,VALD3,,8.39,-5.97,-7.72,0.035,True,3,
Ti,I,3797.708,0.0211,-4.857,VALD3,,7.94,-6.05,-7.76,0.024,True,3,
Cr,I,3797.7157,3.0133,0.21,VALD3,,8.32,-5.32,-7.64,0.86,True,3,
Cr,I,3797.8636,2.5446,-1.956,VALD3,,7.1,-5.85,-7.79,0.444,True,3,
H,I,3797.87,10.1988,-2.131,VALD3,,8.0,2.0,10.0,0.125,True,0,
H,I,3797.8751,10.1988,-2.274,VALD3,,8.0,2.0,10.0,0.101,True,0,
H,I,3797.8756,10.1988,-2.575,VALD3,,8.0,2.0,10.0,0.062,True,0,
H,I,3797.9227,10.1989,-1.876,VALD3,,8.0,2.0,10.0,0.171,True,0,
H,I,3797.9228,10.1989,-2.83,VALD3,,8.0,2.0,10.0,0.039,True,0,
H,I,3797.9232,10.1989,-3.349,VALD3,,8.0,2.0,10.0,0.014,True,0,
Fe,I,3797.9488,2.5881,-1.994,VALD3,,7.54,-6.1,-7.708,0.901,True,1,
Co,I,3798.0928,2.1367,-2.855,VALD3,,8.18,-5.98,-7.79,0.082,False,3,
Ti,I,3798.3078,1.4298,-0.97,VALD3,,8.54,-5.51,-7.62,0.77,True,3,
Fe,II,3798.3573,2.3417,-4.446,VALD3,,8.56,-6.63,-7.789,0.277,True,1,
Ti,I,3798.3767,2.7778,-1.939,VALD3,,7.92,-4.4,-7.32,0.018,True,3,
Fe,I,3798.5109,0.9146,-1.114,VALD3,,8.16,-6.11,-7.694,0.979,True,1,
Mn,I,3798.5128,4.7944,-1.784,VALD3,,8.21,-4.43,-7.69,0.011,True,3,
Fe,I,3798.5196,4.1426,-1.802,VALD3,,8.03,-3.71,-7.26,0.618,True,1,
Cr,I,3798.5708,3.3752,-1.804,VALD3,,7.72,-4.65,-7.49,0.127,True,3,
Cr,I,3798.5728,4.2074,-1.451,VALD3,,8.09,-5.17,-7.56,0.041,True,3,
Fe,II,3798.5863,2.6419,-4.46,VALD3,,8.5,-6.56,-7.778,0.168,True,1,
Cr,I,3798.6345,4.0964,-1.676,VALD3,,7.95,-5.97,-7.74,0.032,True,3,
